                                                                                                                                                                                                                                                                
                        1                        2                        3                        4                        5                        6                        7                        8                        9                       10                       11
                        j                        l                     n_pg                      n_p                      n_g                      eta                 Re(freq)                 Im(freq)                      f_T                        H                   L_star
                        3                        1                     -134                       13                      147 -0.9996922187636879E+000  0.1312559306906058E-002 -0.4411070496021810E-003  0.6796636641900650E-004  0.8614059670728553E-006  0.2231040837440136E+038
                        1                        2                        3                        4                        5                        6                        7                        8                        9                       10                       11                       12                       13
                        x                 Re(xi_r)                 Im(xi_r)                 Re(xi_h)                 Im(xi_h)                    dW_dx                    dE_dx                        T                      M_r                      rho                        P            Re(prop_type)            Im(prop_type)
  0.0000000000000000E+000  0.1686856709172092E-007  0.1730394858925015E-010  0.1686855425098971E-007  0.1731537715707595E-010  0.0000000000000000E+000  0.0000000000000000E+000  0.3144428011617867E+008  0.0000000000000000E+000  0.8809858528928345E+001  0.3897496902307036E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1230439216380033E-002  0.1686739027785585E-007  0.1914573481243792E-010  0.1686671251983769E-007  0.2005047430465678E-010 -0.2876016463145936E-031  0.1626558677089078E-018  0.3144393308720459E+008  0.1554156788989439E+028  0.8809680832282577E+001  0.3897372068094722E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1390349579094589E-002  0.1686722240471605E-007  0.1935849750623433E-010  0.1686652278052085E-007  0.2019732053259152E-010 -0.2063860265937848E-031  0.2076755782031041E-018  0.3144382864427352E+008  0.2242254627296695E+028  0.8809627854432872E+001  0.3897334508263110E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1550259941809145E-002  0.1686707512531077E-007  0.1952062194875706E-010  0.1686641788282539E-007  0.2017274479837481E-010 -0.7739799414135323E-032  0.2581886978794888E-018  0.3144370663705524E+008  0.3108313681728273E+028  0.8809564878275756E+001  0.3897290609147664E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1751736435659237E-002  0.1686693113949502E-007  0.1965062289177690E-010  0.1686640445057485E-007  0.2006378078049434E-010  0.4569676175234885E-032  0.3296541631154423E-018  0.3144354046079358E+008  0.4484511391965673E+028  0.8809479599835903E+001  0.3897230882699723E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1953212929509329E-002  0.1686682761020156E-007  0.1972128263800621E-010  0.1686639877944069E-007  0.1995779546371567E-010 -0.6815044614911172E-033  0.4098392524128486E-018  0.3144335415775765E+008  0.6216627464998507E+028  0.8809384391867930E+001  0.3897163817095206E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.2207061445626085E-002  0.1686672453364513E-007  0.1977407235861643E-010  0.1686630304765988E-007  0.1997000211724703E-010 -0.4454324693926312E-031  0.5232768479021903E-018  0.3144309091728190E+008  0.8969028353809802E+028  0.8809249628777154E+001  0.3897069119969658E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.2460909961742842E-002  0.1686663482212678E-007  0.1983576480137924E-010  0.1686622564772844E-007  0.2020688208087908E-010 -0.8235592570132565E-031  0.6505526984878495E-018  0.3144279580832796E+008  0.1243325503153898E+029  0.8809098493133275E+001  0.3896962975940792E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.2780747079570460E-002  0.1686658530585023E-007  0.1993966092100345E-010  0.1686657989001509E-007  0.2041974526656980E-010  0.1255227971675486E-030  0.8306437320275591E-018  0.3144237812421418E+008  0.1793807443093998E+029  0.8808884623516668E+001  0.3896812737218206E+017  0.0000000000000000E+000  0.0000000000000000E+000
