                                                                                                                                                                                                                                                                
                        1                        2                        3                        4                        5                        6                        7                        8                        9                       10
                        l                     n_pg                      n_p                      n_g                      eta                 Re(freq)                 Im(freq)                      f_T                        H                   L_star
                        1                     -182                        4                      186 -0.9999820499747216E+000  0.8214733425117325E-002 -0.1450733900258311E-003  0.1385753102586020E-003  0.3374092262286987E-004  0.2231040837440136E+038
                        1                        2                        3                        4                        5                        6                        7                        8                        9                       10                       11                       12                       13
                        x                 Re(xi_r)                 Im(xi_r)                 Re(xi_h)                 Im(xi_h)                    dW_dx                    dE_dx                        T                      M_r                      rho                        P            Re(prop_type)            Im(prop_type)
  0.0000000000000000E+000  0.1097885458426039E-002  0.1699888855231133E-002  0.1097885461962544E-002  0.1699888866927169E-002  0.0000000000000000E+000  0.0000000000000000E+000  0.3144428011617867E+008  0.0000000000000000E+000  0.8809858528928345E+001  0.3897496902307036E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1230439216380033E-002  0.1098059564096955E-002  0.1699846092664896E-002  0.1098128311780466E-002  0.1699796339792483E-002  0.2788490338110820E-016  0.2341378770955887E-008  0.3144393308720459E+008  0.1554156788989439E+028  0.8809680832282577E+001  0.3897372068094722E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1390349579094589E-002  0.1098086125827424E-002  0.1699841119455811E-002  0.1098182183432670E-002  0.1699768163929189E-002  0.8960391969263642E-016  0.2989508638673688E-008  0.3144382864427352E+008  0.2242254627296695E+028  0.8809627854432872E+001  0.3897334508263110E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1550259941809145E-002  0.1098119384084504E-002  0.1699833060783439E-002  0.1098262535155249E-002  0.1699728680639094E-002  0.1399933164180527E-015  0.3716741360318737E-008  0.3144370663705524E+008  0.3108313681728273E+028  0.8809564878275756E+001  0.3897290609147664E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1751736435659237E-002  0.1098171770871948E-002  0.1699819761308417E-002  0.1098373900419302E-002  0.1699684921713245E-002  0.2112963729864397E-015  0.4745651689549379E-008  0.3144354046079358E+008  0.4484511391965673E+028  0.8809479599835903E+001  0.3897230882699723E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1953212929509329E-002  0.1098233487975178E-002  0.1699804573058588E-002  0.1098493156945029E-002  0.1699635960612839E-002  0.3340305255639693E-015  0.5900143064776915E-008  0.3144335415775765E+008  0.6216627464998507E+028  0.8809384391867930E+001  0.3897163817095206E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.2207061445626085E-002  0.1098323126896314E-002  0.1699782494558258E-002  0.1098664681548619E-002  0.1699563527334628E-002  0.5564934813657595E-015  0.7533540186079697E-008  0.3144309091728190E+008  0.8969028353809802E+028  0.8809249628777154E+001  0.3897069119969658E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.2460909961742842E-002  0.1098424919975334E-002  0.1699757178492363E-002  0.1098851546199607E-002  0.1699483370550977E-002  0.8183788625953355E-015  0.9366317780550904E-008  0.3144279580832796E+008  0.1243325503153898E+029  0.8809098493133275E+001  0.3896962975940792E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.2780747079570460E-002  0.1098570196742730E-002  0.1699721556782485E-002  0.1099122362235351E-002  0.1699375464044124E-002  0.1408397288482757E-014  0.1195950012983126E-007  0.3144237812421418E+008  0.1793807443093998E+029  0.8808884623516668E+001  0.3896812737218206E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.3100584197398078E-002  0.1098734101542495E-002  0.1699680934794791E-002  0.1099422569313691E-002  0.1699240814536311E-002  0.2130623688096945E-014  0.1486919409542286E-007  0.3144190947360448E+008  0.2486651016682734E+029  0.8808644659577121E+001  0.3896644170446609E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.3503569740506772E-002  0.1098965815174937E-002  0.1699623720631664E-002  0.1099839948082597E-002  0.1699074382239469E-002  0.3324537143027217E-014  0.1898633747513258E-007  0.3144124652044245E+008  0.3587620517142375E+029  0.8808305211284477E+001  0.3896405724109603E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.3906555283615465E-002  0.1099227092110157E-002  0.1699559590398529E-002  0.1100332159079711E-002  0.1698864182364342E-002  0.5829590217883000E-014  0.2360627586838491E-007  0.3144050247934918E+008  0.4973302043740408E+029  0.8807924249878939E+001  0.3896138123471238E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.4414317287084366E-002  0.1099595701405840E-002  0.1699467916725728E-002  0.1100977132986386E-002  0.1698585760077100E-002  0.7663259645882049E-014  0.3014332128781442E-007  0.3143944759221375E+008  0.7175258917648111E+029  0.8807384140143281E+001  0.3895758744389098E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.4922079290553267E-002  0.1100010182768336E-002  0.1699366614697420E-002  0.1101767436156605E-002  0.1698277541670198E-002  0.1544132035991803E-013  0.3748007772091534E-007  0.3143826683672113E+008  0.9946604097855757E+029  0.8806779602486007E+001  0.3895334126635625E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.5561883397253933E-002  0.1100596147823061E-002  0.1699220749197365E-002  0.1102791680004268E-002  0.1697802915052950E-002  0.1882855745855322E-013  0.4786065826790235E-007  0.3143660148211733E+008  0.1435057250214402E+030  0.8805926983101799E+001  0.3894735290999813E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.6201687503954599E-002  0.1101252876061896E-002  0.1699059668456259E-002  0.1104027130708224E-002  0.1697346419653046E-002  0.3821766631631469E-013  0.5951449800010395E-007  0.3143475092046576E+008  0.1989320820586571E+030  0.8804979603809391E+001  0.3894069936848281E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.7430882992974669E-002  0.1102721149512007E-002  0.1698694497837462E-002  0.1106649478776043E-002  0.1696160465712602E-002  0.6333347895021472E-013  0.8546287064361913E-007  0.3143071216614765E+008  0.3421638022472812E+030  0.8802912257907520E+001  0.3892618142316296E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.8349851357179238E-002  0.1103983488081831E-002  0.1698383306241943E-002  0.1108967483988213E-002  0.1695275606500038E-002  0.1176563044949750E-012  0.1079386681837167E-006  0.3142719912181407E+008  0.4853955224359053E+030  0.8801114198809492E+001  0.3891355618690693E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.9746695126362705E-002  0.1106188486143045E-002  0.1697836513611322E-002  0.1112945785740754E-002  0.1693490991716412E-002  0.1987330407601758E-012  0.1471227680633868E-006  0.3142095492048138E+008  0.7718589628131536E+030  0.8797918483313302E+001  0.3889112151659474E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1172957197444048E-001  0.1109897679409417E-002  0.1696915828829148E-002  0.1119631279759595E-002  0.1690760784575161E-002  0.4314126606559843E-012  0.2132273952817271E-006  0.3141040489872044E+008  0.1344785843567650E+031  0.8792520121599235E+001  0.3885323526924107E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1440751532966070E-001  0.1115974259987526E-002  0.1695402204360286E-002  0.1130537187796036E-002  0.1685999842778749E-002  0.9628531131241044E-012  0.3220386937813776E-006  0.3139302975729479E+008  0.2490639605076643E+031  0.8783632215227446E+001  0.3879089059274745E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1616039198067824E-001  0.1120572798577958E-002  0.1694259508561463E-002  0.1138779485225727E-002  0.1682580723256552E-002  0.1506065635236747E-011  0.4055330273957277E-006  0.3137970331667398E+008  0.3513156272799137E+031  0.8776817582261671E+001  0.3874311625247094E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1791326863169577E-001  0.1125681207603043E-002  0.1692986951383025E-002  0.1147985791072581E-002  0.1678499347070011E-002  0.2347450866548725E-011  0.4987259556246718E-006  0.3136487240206400E+008  0.4782347128094629E+031  0.8769236277972498E+001  0.3868999300851417E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.2016840980679306E-001  0.1132996160818230E-002  0.1691157846430743E-002  0.1160966916354676E-002  0.1672974454010754E-002  0.3513823354162781E-011  0.6331129320059299E-006  0.3134366754122632E+008  0.6820356340110371E+031  0.8758402711821896E+001  0.3861412718746542E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.2242355098189034E-001  0.1141121747050620E-002  0.1689119231913353E-002  0.1175424917145295E-002  0.1666539688962888E-002  0.5716405117875875E-011  0.7838040340009851E-006  0.3131997569615312E+008  0.9365762174132809E+031  0.8746304777616952E+001  0.3852947508410007E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.2737711710419195E-001  0.1161838727867307E-002  0.1683875823632469E-002  0.1211533315708709E-002  0.1650636021570720E-002  0.1142981383089717E-010  0.1173240767012454E-005  0.3125899479111049E+008  0.1700865699341081E+032  0.8715193520533274E+001  0.3831212615585796E+017  0.0000000000000000E+000  0.0000000000000000E+000
