                                                                                                                                                                                                                                                                
                        1                        2                        3                        4                        5                        6                        7                        8                        9                       10                       11
                        j                        l                     n_pg                      n_p                      n_g                      eta                 Re(freq)                 Im(freq)                      f_T                        H                   L_star
                       11                        1                      -15                        4                       19 -0.9125715094978881E+000  0.1772320857896713E-002 -0.9705214656753019E-004  0.5954101647976444E+001  0.1570560611667873E-005  0.2231040837440136E+038
                        1                        2                        3                        4                        5                        6                        7                        8                        9                       10                       11                       12                       13
                        x                 Re(xi_r)                 Im(xi_r)                 Re(xi_h)                 Im(xi_h)                    dW_dx                    dE_dx                        T                      M_r                      rho                        P            Re(prop_type)            Im(prop_type)
  0.0000000000000000E+000  0.3210453615330315E-010  0.1161541737659325E-011  0.3634206018563752E-011  0.1951687709164027E-010  0.0000000000000000E+000  0.0000000000000000E+000  0.3144428011617867E+008  0.0000000000000000E+000  0.8809858528928345E+001  0.3897496902307036E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1230439216380033E-002  0.4467902748169383E-010  0.1551571960156099E-010  0.7983593208920473E-010  0.1773324516798195E-011  0.6538047205879937E-030  0.2856932738223614E-023  0.3144393308720459E+008  0.1554156788989439E+028  0.8809680832282577E+001  0.3897372068094722E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1390349579094589E-002  0.5275957225564585E-010  0.1296637816363454E-010  0.8382032860372066E-010  0.5817932518795945E-011  0.1631211171853913E-029  0.4153954382289652E-023  0.3144382864427352E+008  0.2242254627296695E+028  0.8809627854432872E+001  0.3897334508263110E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1550259941809145E-002  0.5877876773882569E-010  0.1194893463509699E-010  0.8306291644393500E-010  0.9742395748328081E-011  0.1249400231490713E-029  0.5320303839809054E-023  0.3144370663705524E+008  0.3108313681728273E+028  0.8809564878275756E+001  0.3897290609147664E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1751736435659237E-002  0.6371321296769211E-010  0.1170530798495118E-010  0.7986529811478264E-010  0.1191544680088496E-010  0.2710699066784500E-030  0.6658114455145658E-023  0.3144354046079358E+008  0.4484511391965673E+028  0.8809479599835903E+001  0.3897230882699723E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1953212929509329E-002  0.6665198125231200E-010  0.1175584024492607E-010  0.7752120435176315E-010  0.1201033630918617E-010 -0.9344415593525754E-031  0.8110066805748134E-023  0.3144335415775765E+008  0.6216627464998507E+028  0.8809384391867930E+001  0.3897163817095206E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.2207061445626085E-002  0.6887554306886394E-010  0.1177723736605159E-010  0.7622779037762402E-010  0.1169809462125461E-010 -0.5134744272973400E-031  0.1028707998778038E-022  0.3144309091728190E+008  0.8969028353809802E+028  0.8809249628777154E+001  0.3897069119969658E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.2460909961742842E-002  0.7026215942681525E-010  0.1175964981988485E-010  0.7565963985683631E-010  0.1167710527481098E-010  0.2261352060604438E-031  0.1280375638112454E-022  0.3144279580832796E+008  0.1243325503153898E+029  0.8809098493133275E+001  0.3896962975940792E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.2780747079570460E-002  0.7137841446587235E-010  0.1175377994957573E-010  0.7512834913655713E-010  0.1178825044092190E-010  0.1891722100845142E-031  0.1635064660010528E-022  0.3144237812421418E+008  0.1793807443093998E+029  0.8808884623516668E+001  0.3896812737218206E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.3100584197398078E-002  0.7207623915549176E-010  0.1176488789346314E-010  0.7474274356300669E-010  0.1183258034677359E-010  0.3953338333649641E-032  0.2031177413186038E-022  0.3144190947360448E+008  0.2486651016682734E+029  0.8808644659577121E+001  0.3896644170446609E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.3503569740506772E-002  0.7262499285728491E-010  0.1178153961381600E-010  0.7445536949520836E-010  0.1185032820945512E-010  0.4481097593433956E-032  0.2592586692243752E-022  0.3144124652044245E+008  0.3587620517142375E+029  0.8808305211284477E+001  0.3896405724109603E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.3906555283615465E-002  0.7296680333573069E-010  0.1179732788712157E-010  0.7427935698850073E-010  0.1187373907750479E-010  0.4782842181926121E-032  0.3222939697095372E-022  0.3144050247934918E+008  0.4973302043740408E+029  0.8807924249878939E+001  0.3896138123471238E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.4414317287084366E-002  0.7323628979572858E-010  0.1181622858150087E-010  0.7413204918261719E-010  0.1189472476526738E-010  0.2675434852467981E-032  0.4114244788916844E-022  0.3143944759221375E+008  0.7175258917648111E+029  0.8807384140143281E+001  0.3895758744389098E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.4922079290553267E-002  0.7340296918772863E-010  0.1183280271023297E-010  0.7403978194618459E-010  0.1190672834608057E-010  0.2003251863242736E-032  0.5114230225022626E-022  0.3143826683672113E+008  0.9946604097855757E+029  0.8806779602486007E+001  0.3895334126635625E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.5561883397253933E-002  0.7353338103626575E-010  0.1185009570964211E-010  0.7396512274020539E-010  0.1191789202735601E-010  0.1407458900679676E-032  0.6528795939215590E-022  0.3143660148211733E+008  0.1435057250214402E+030  0.8805926983101799E+001  0.3894735290999813E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.6201687503954599E-002  0.7361334275351997E-010  0.1186415167843907E-010  0.7391674207324826E-010  0.1192561532516245E-010  0.9466681518328884E-033  0.8115488823827904E-022  0.3143475092046576E+008  0.1989320820586571E+030  0.8804979603809391E+001  0.3894069936848281E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.7430882992974669E-002  0.7369874442473417E-010  0.1188166323418237E-010  0.7386859826317407E-010  0.1191729809916413E-010 -0.3361454946244857E-033  0.1164746946919659E-021  0.3143071216614765E+008  0.3421638022472812E+030  0.8802912257907520E+001  0.3892618142316296E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.8349851357179238E-002  0.7373073186408184E-010  0.1189058246683121E-010  0.7383530507726545E-010  0.1193154520898799E-010  0.1022120616194427E-032  0.1469975205728508E-021  0.3142719912181407E+008  0.4853955224359053E+030  0.8801114198809492E+001  0.3891355618690693E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.9746695126362705E-002  0.7375856462105020E-010  0.1189881105310178E-010  0.7383361940242960E-010  0.1191110581414243E-010  0.5755483279246807E-033  0.2002547466747821E-021  0.3142095492048138E+008  0.7718589628131536E+030  0.8797918483313302E+001  0.3889112151659474E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1172957197444048E-001  0.7377577655626302E-010  0.1190251655962228E-010  0.7379255642160147E-010  0.1191014326070889E-010 -0.2335870516267849E-032  0.2896800668932844E-021  0.3141040489872044E+008  0.1344785843567650E+031  0.8792520121599235E+001  0.3885323526924107E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1306854365205059E-001  0.7377982833074422E-010  0.1190682549491117E-010  0.7379981566051521E-010  0.1193906791137335E-010 -0.1190284779913597E-032  0.3595090655816048E-021  0.3140216578342090E+008  0.1859360405852860E+031  0.8788305148143580E+001  0.3882366429922671E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1440751532966070E-001  0.7378125737825169E-010  0.1190888269702127E-010  0.7377514175696988E-010  0.1189772588953526E-010  0.1061706967664307E-031  0.4364852688922479E-021  0.3139302975729479E+008  0.2490639605076643E+031  0.8783632215227446E+001  0.3879089059274745E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1616039198067824E-001  0.7378072549933821E-010  0.1191055485770337E-010  0.7378093876084325E-010  0.1193618861313303E-010 -0.2134774132463832E-031  0.5488440757725493E-021  0.3137970331667398E+008  0.3513156272799137E+031  0.8776817582261671E+001  0.3874311625247094E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1791326863169577E-001  0.7377920830162736E-010  0.1191157594485570E-010  0.7376294972631382E-010  0.1189579348575983E-010  0.3654031581900138E-031  0.6734833934848304E-021  0.3136487240206400E+008  0.4782347128094629E+031  0.8769236277972498E+001  0.3868999300851417E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.2016840980679306E-001  0.7377532469251267E-010  0.1191154653092477E-010  0.7375678741479575E-010  0.1192689676207245E-010 -0.4935810832362387E-031  0.8526289482689219E-021  0.3134366754122632E+008  0.6820356340110371E+031  0.8758402711821896E+001  0.3861412718746542E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.2242355098189034E-001  0.7377130947323385E-010  0.1191083818812330E-010  0.7375001779068854E-010  0.1188868890981204E-010  0.6642293301372893E-031  0.1052229435467345E-020  0.3131997569615312E+008  0.9365762174132809E+031  0.8746304777616952E+001  0.3852947508410007E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.2490033404304114E-001  0.7376407065336449E-010  0.1191306962684415E-010  0.7371404425214001E-010  0.1195634713662425E-010 -0.6980238537833831E-031  0.1294662874787972E-020  0.3129091421931731E+008  0.1281171157781540E+032  0.8731465541670596E+001  0.3842579735883554E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.2737711710419195E-001  0.7375571193928430E-010  0.1192238161437340E-010  0.7371516945091853E-010  0.1197709404875322E-010  0.2148625892914234E-031  0.1562139475179138E-020  0.3125899479111049E+008  0.1700865699341081E+032  0.8715193520533274E+001  0.3831212615585796E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.3099852327334694E-001  0.7374772471560452E-010  0.1192906312151481E-010  0.7371908047138123E-010  0.1192734257244908E-010  0.3208232524737260E-031  0.1996479110977224E-020  0.3120767765398002E+008  0.2464471193081212E+032  0.8689077092961560E+001  0.3812991370632807E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.3461992944250194E-001  0.7374630701241361E-010  0.1192789415464602E-010  0.7375954630390679E-010  0.1191841165333870E-010 -0.4413145591508109E-031  0.2483622536858222E-020  0.3115096956428050E+008  0.3425992184025560E+032  0.8660274811762854E+001  0.3792940157346141E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.3714789747025999E-001  0.7374730227228356E-010  0.1192507113692254E-010  0.7374665767727293E-010  0.1189403918912330E-010  0.3064296537596673E-031  0.2851612536670293E-020  0.3110832623757451E+008  0.4226215559665923E+032  0.8638675266306826E+001  0.3777917877174986E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.3937709683054759E-001  0.7374906526253358E-010  0.1192266053822474E-010  0.7377856966518332E-010  0.1191199328942268E-010 -0.1699600400341712E-031  0.3198476079602044E-020  0.3106759887776568E+008  0.5026438935306287E+032  0.8618054239185760E+001  0.3763600690152378E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.4138341753795411E-001  0.7374995364638843E-010  0.1192179338392377E-010  0.7373723345182623E-010  0.1191480377685542E-010  0.1773130583038342E-031  0.3522199650421001E-020  0.3102900468508133E+008  0.5826662310946430E+032  0.8598540129594136E+001  0.3750069218093824E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.4321593657665807E-001  0.7375056220050710E-010  0.1192209956822544E-010  0.7377633814186301E-010  0.1193598420258191E-010 -0.1025652602279154E-031  0.3835583825745526E-020  0.3099198693793378E+008  0.6626885686586793E+032  0.8579839282941284E+001  0.3737119771491416E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.4593711156760537E-001  0.7375133341139089E-010  0.1192172884101204E-010  0.7373593738656516E-010  0.1190143563779639E-010  0.1027706602770219E-031  0.4315593597310583E-020  0.3093407715466239E+008  0.7943025053765603E+032  0.8550624377478179E+001  0.3716922779554010E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.4837688031311878E-001  0.7375165391626616E-010  0.1192233903716164E-010  0.7377142380104337E-010  0.1195409450474139E-010  0.4078416205137323E-032  0.4774580179923882E-020  0.3087969074118688E+008  0.9259164420944411E+032  0.8523262173443401E+001  0.3698034704796883E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.4951216220910803E-001  0.7375178417719451E-010  0.1192258288507056E-010  0.7373728929017240E-010  0.1190128501589415E-010 -0.1990093748896918E-031  0.4989812332894809E-020  0.3085342029276911E+008  0.9917234104535141E+032  0.8510060961777860E+001  0.3688934599056993E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.5059927652014702E-001  0.7375145694283141E-010  0.1192335569667080E-010  0.7375054570316975E-010  0.1198009096559621E-010  0.7630195184578755E-031  0.5205761523040904E-020  0.3082758010734437E+008  0.1057530378812565E+033  0.8497078084704299E+001  0.3679995223100930E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.5264788853012425E-001  0.7375202033211092E-010  0.1192414001544836E-010  0.7376574450818819E-010  0.1188690951920469E-010 -0.9539187480244709E-031  0.5619044001671985E-020  0.3077707344579864E+008  0.1189144315530424E+033  0.8471706311407587E+001  0.3662555341778813E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.5713769892717446E-001  0.7375413944903591E-010  0.1191998310678131E-010  0.7375982404153544E-010  0.1190532695361804E-010 -0.2236425633649259E-030  0.6572442345003322E-020  0.3066046485881656E+008  0.1513779653978692E+033  0.8413345146451565E+001  0.3622534156029461E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.5914950389796402E-001  0.7375419710045037E-010  0.1192104036630559E-010  0.7374877645345123E-010  0.1196614995271372E-010  0.1611642181636309E-030  0.7020410054614309E-020  0.3060565494455188E+008  0.1676097323202870E+033  0.8386022465927670E+001  0.3603842511874899E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.6103893703936696E-001  0.7375367900220020E-010  0.1192162191255531E-010  0.7374132962730151E-010  0.1189497977193821E-010 -0.8196800528787877E-031  0.7449846669568867E-020  0.3055223772331221E+008  0.1838414992427026E+033  0.8359414588949594E+001  0.3585679970353480E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.6282354814504003E-001  0.7375359348584700E-010  0.1192177096800928E-010  0.7376179893887191E-010  0.1195342442412608E-010  0.4999392928954026E-031  0.7871624142279294E-020  0.3050034174632774E+008  0.2000732661651182E+033  0.8333610499833398E+001  0.3568096702666827E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.6451717915636790E-001  0.7375323005550109E-010  0.1192214782044463E-010  0.7373034920818319E-010  0.1190459491042553E-010 -0.1093768173285963E-031  0.8271000280294348E-020  0.3044978274357085E+008  0.2163050330875338E+033  0.8308512801331551E+001  0.3551024300694311E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.6613096278999962E-001  0.7375302986392301E-010  0.1192220310127257E-010  0.7376684445614995E-010  0.1194183241820828E-010 -0.1612037593357791E-032  0.8670840265744868E-020  0.3040043016356905E+008  0.2325368000099516E+033  0.8284053932310760E+001  0.3534414404370811E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.6767400211730763E-001  0.7375284072757967E-010  0.1192238790232084E-010  0.7373002306630182E-010  0.1191066995010416E-010  0.7208335088653155E-032  0.9047313273010045E-020  0.3035213997408783E+008  0.2487685669323695E+033  0.8260155741431308E+001  0.3518213068040260E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.6943354312073864E-001  0.7375258720151950E-010  0.1192247433465017E-010  0.7376443973044629E-010  0.1193734437845292E-010 -0.1407304756060223E-032  0.9498259097170697E-020  0.3029579924137232E+008  0.2681421091008555E+033  0.8232320332228856E+001  0.3499376079460860E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.7111362314426474E-001  0.7375252231244890E-010  0.1192253771504913E-010  0.7373702790227181E-010  0.1191015560137665E-010 -0.4350304077181116E-032  0.9925075331156310E-020  0.3024077856613654E+008  0.2875156512693395E+033  0.8205190853674264E+001  0.3481050204804040E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.7272299716370018E-001  0.7375227128576044E-010  0.1192265376566646E-010  0.7375568256703861E-010  0.1194000458862586E-010  0.2509216586455263E-031  0.1035012450976991E-019  0.3018693442117444E+008  0.3068891934378234E+033  0.8178689904947396E+001  0.3463181596746797E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.7426897398140106E-001  0.7375229351820361E-010  0.1192282167426913E-010  0.7374916651239986E-010  0.1191327176883670E-010 -0.3805298316693881E-031  0.1075846294302470E-019  0.3013401862152865E+008  0.3262627356063095E+033  0.8152669392889498E+001  0.3445674824162889E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.7719461221003364E-001  0.7375239377240460E-010  0.1192206503971516E-010  0.7375530136861380E-010  0.1191154555863727E-010 -0.9091109343823792E-032  0.1155217159535345E-019  0.3003129480421250E+008  0.3650098199432861E+033  0.8102319760629774E+001  0.3411879229180688E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.7858397555097336E-001  0.7375242979902202E-010  0.1192220736903179E-010  0.7375091717708512E-010  0.1194059700053119E-010  0.3095090719976588E-032  0.1193577152011010E-019  0.2998135282774877E+008  0.3843833621117700E+033  0.8077921111273993E+001  0.3395540022713008E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.7992984255307617E-001  0.7375230512596981E-010  0.1192226765420830E-010  0.7374589136278197E-010  0.1190736223826366E-010  0.4288088616896780E-032  0.1230912975299063E-019  0.2993213505506295E+008  0.4037569042802539E+033  0.8053905846432908E+001  0.3379487384281644E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.8065142478902217E-001  0.7375230138612628E-010  0.1192223900034859E-010  0.7375813503416252E-010  0.1193391355826778E-010  0.6957918998111728E-033  0.1251574814984591E-019  0.2990540705229283E+008  0.4143921058067846E+033  0.8040875793801385E+001  0.3370790279593302E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.8206042538946336E-001  0.7375227526492046E-010  0.1192232636460025E-010  0.7374429416238078E-010  0.1191559722722048E-010 -0.6672760494933291E-033  0.1291147583070710E-019  0.2985246211685222E+008  0.4356625088598638E+033  0.8015075058088065E+001  0.3353599175565744E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.8409525466695360E-001  0.7375223401316609E-010  0.1192225143245756E-010  0.7375715835960117E-010  0.1192567301286358E-010  0.4027542864352961E-032  0.1349928974392050E-019  0.2977472643178261E+008  0.4675681134394691E+033  0.7977310303972629E+001  0.3328483280561725E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.8540394278588319E-001  0.7375221878476305E-010  0.1192236299900484E-010  0.7374577848989556E-010  0.1192605974073795E-010 -0.4568832508804406E-032  0.1387692478169483E-019  0.2972386513875860E+008  0.4888385164925505E+033  0.7952661953824917E+001  0.3312124781584788E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.8674192679344601E-001  0.7375215927948275E-010  0.1192238162361702E-010  0.7375420161334763E-010  0.1191976696363271E-010  0.5864841206428114E-032  0.1427099708420690E-019  0.2967107395250377E+008  0.5111987633126899E+033  0.7927109694545329E+001  0.3295200093696216E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.8804395645169318E-001  0.7375216209530344E-010  0.1192240249065237E-010  0.7374978327640684E-010  0.1192628548480649E-010 -0.5208445883861556E-032  0.1465511121293317E-019  0.2961900517330130E+008  0.5335590101328316E+033  0.7901952560823476E+001  0.3278566892507739E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.8931252096853093E-001  0.7375213041157293E-010  0.1192244079198460E-010  0.7375179213315093E-010  0.1192110741337549E-010  0.5317908379481375E-032  0.1503345902107673E-019  0.2956760725703865E+008  0.5559192569529711E+033  0.7877161588280287E+001  0.3262205343246977E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.9054984584648075E-001  0.7375213336122064E-010  0.1192244328677043E-010  0.7375221209377278E-010  0.1192382363572071E-010 -0.4542089936667528E-032  0.1540516303299287E-019  0.2951683960518203E+008  0.5782795037731127E+033  0.7852714622084076E+001  0.3246099878004000E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.9181050071920109E-001  0.7375212578033062E-010  0.1192247030621685E-010  0.7375100403610128E-010  0.1192290475777344E-010  0.4492552325295771E-032  0.1578595205160876E-019  0.2946447661557291E+008  0.6016246709016267E+033  0.7827541997960108E+001  0.3229546297781794E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.9304132750157214E-001  0.7375213455215969E-010  0.1192248123714497E-010  0.7375343786916046E-010  0.1192272464445842E-010 -0.3889019270583142E-032  0.1616130161980151E-019  0.2941273342513739E+008  0.6249698380301429E+033  0.7802709503131299E+001  0.3213246286961618E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.9424417180181971E-001  0.7375215328337560E-010  0.1192246007447023E-010  0.7375185384331062E-010  0.1192043085473134E-010  0.2522741202239913E-032  0.1652929487214445E-019  0.2936162698184961E+008  0.6483150051586591E+033  0.7778236078573532E+001  0.3197207772215368E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.9483562545389382E-001  0.7375216394163756E-010  0.1192244447302333E-010  0.7375407290755171E-010  0.1192190160843824E-010 -0.3257935861961922E-033  0.1671205211143086E-019  0.2933628165952126E+008  0.6599875887229172E+033  0.7766113334440183E+001  0.3189274132180287E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.9542069752898553E-001  0.7375217726783726E-010  0.1192243285110967E-010  0.7375233653699183E-010  0.1192101116628740E-010 -0.1078661578604073E-032  0.1689203061780732E-019  0.2931103672368535E+008  0.6716601722871752E+033  0.7754039299290795E+001  0.3181381922282686E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.9661609893705191E-001  0.7375220835436327E-010  0.1192239639337857E-010  0.7375406497681632E-010  0.1192075924449691E-010  0.1275963610839189E-032  0.1726294459255276E-019  0.2925902690690525E+008  0.6958999912654682E+033  0.7729193542855184E+001  0.3165164229584806E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.9778631285524561E-001  0.7375223241892654E-010  0.1192239172980532E-010  0.7375190910368990E-010  0.1192351481283131E-010 -0.1850325045576758E-032  0.1762706255248660E-019  0.2920761598525171E+008  0.7201398102437634E+033  0.7704688836573804E+001  0.3149194926672464E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.9893274730782692E-001  0.7375226460455142E-010  0.1192238572113901E-010  0.7375488430548176E-010  0.1192062862753488E-010  0.3208075305540252E-032  0.1798688528597036E-019  0.2915672261343491E+008  0.7443796292220585E+033  0.7680470260609074E+001  0.3133441103296934E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1000566892767231E+000  0.7375229149333144E-010  0.1192235239509388E-010  0.7375159668834928E-010  0.1192104440889208E-010 -0.4185099137675453E-032  0.1833950224628502E-019  0.2910632593958115E+008  0.7686194482003560E+033  0.7656527228570941E+001  0.3117894782076676E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1011960712507061E+000  0.7375232895533585E-010  0.1192234906053881E-010  0.7375584281020319E-010  0.1192324683434222E-010  0.5455948577076182E-032  0.1870112638769374E-019  0.2905473486957905E+008  0.7936750774152293E+033  0.7632057807560289E+001  0.3102035581225028E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1023138773840018E+000  0.7375236781209654E-010  0.1192229920817187E-010  0.7375190945498162E-010  0.1191676454734738E-010 -0.2640357907907207E-032  0.1905428141457799E-019  0.2900363455618050E+008  0.8187307066301026E+033  0.7607862811777250E+001  0.3086382837810044E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1034112071629845E+000  0.7375239247596928E-010  0.1192228526611351E-010  0.7375467502795707E-010  0.1192640951009578E-010 -0.2458705872195268E-032  0.1940545054137003E-019  0.2895300732247221E+008  0.8437863358449760E+033  0.7583933633027575E+001  0.3070929833910553E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1044890738113777E+000  0.7375244247655927E-010  0.1192227182848884E-010  0.7375448941291662E-010  0.1191677092640326E-010  0.1126363571258941E-031  0.1974950187859873E-019  0.2890276406221545E+008  0.8688419650598492E+033  0.7560204693000190E+001  0.3055639389065160E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1066516313121691E+000  0.7375255902871397E-010  0.1192205849034272E-010  0.7375446068301591E-010  0.1191689188431307E-010 -0.2957903803898037E-031  0.2044474554713558E-019  0.2880073414345673E+008  0.9204453977046886E+033  0.7512173812453947E+001  0.3024764770708726E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1077057120333424E+000  0.7375260331181722E-010  0.1192203988423071E-010  0.7375466931119198E-010  0.1192529092436863E-010  0.2278754728193695E-031  0.2078593251626710E-019  0.2875042180215223E+008  0.9462471140271125E+033  0.7488568775287073E+001  0.3009627817594620E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1087427783731696E+000  0.7375261832067791E-010  0.1192201955500191E-010  0.7375157879661042E-010  0.1191664759034192E-010 -0.1179571316180861E-031  0.2112019204356273E-019  0.2870045164506102E+008  0.9720488303495344E+033  0.7465142227847206E+001  0.2994638008661138E+017  0.0000000000000000E+000  0.0000000000000000E+000
