                                                                                                                                                                                                                                                                
                        1                        2                        3                        4                        5                        6                        7                        8                        9                       10                       11
                        j                        l                     n_pg                      n_p                      n_g                      eta                 Re(freq)                 Im(freq)                      f_T                        H                   L_star
                       22                        1                     -198                       18                      216 -0.9999999999998429E+000  0.2890873490140778E-002 -0.3923305161232244E-003  0.7795488668000024E-004  0.4178574767999361E-005  0.2231040837440136E+038
                        1                        2                        3                        4                        5                        6                        7                        8                        9                       10                       11                       12                       13
                        x                 Re(xi_r)                 Im(xi_r)                 Re(xi_h)                 Im(xi_h)                    dW_dx                    dE_dx                        T                      M_r                      rho                        P            Re(prop_type)            Im(prop_type)
  0.0000000000000000E+000  0.1464674446098569E-006 -0.1804628901073962E-008  0.1464674667567650E-006 -0.1804588398632624E-008  0.0000000000000000E+000  0.0000000000000000E+000  0.3144428011617867E+008  0.0000000000000000E+000  0.8809858528928345E+001  0.3897496902307036E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1230439216380033E-002  0.1464668923987190E-006 -0.1809616032542078E-008  0.1464656253569865E-006 -0.1812432291911835E-008  0.1596279203652736E-027  0.1226696065621717E-016  0.3144393308720459E+008  0.1554156788989439E+028  0.8809680832282577E+001  0.3897372068094722E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1390349579094589E-002  0.1464665983351800E-006 -0.1810428486694713E-008  0.1464653024174088E-006 -0.1814182500246778E-008  0.5993964940679545E-027  0.1566247168940800E-016  0.3144382864427352E+008  0.2242254627296695E+028  0.8809627854432872E+001  0.3897334508263110E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1550259941809145E-002  0.1464662949413625E-006 -0.1811466512087268E-008  0.1464646029502946E-006 -0.1817146171138467E-008  0.1087447227992677E-026  0.1947220043321657E-016  0.3144370663705524E+008  0.3108313681728273E+028  0.8809564878275756E+001  0.3897290609147664E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1751736435659237E-002  0.1464658866859392E-006 -0.1813209109334556E-008  0.1464639774776961E-006 -0.1821670147396209E-008  0.1762600135083532E-026  0.2486201297569112E-016  0.3144354046079358E+008  0.4484511391965673E+028  0.8809479599835903E+001  0.3897230882699723E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1953212929509329E-002  0.1464654898868475E-006 -0.1815370502061416E-008  0.1464634416796177E-006 -0.1826607381328083E-008  0.2667800048707949E-026  0.3090940487331648E-016  0.3144335415775765E+008  0.6216627464998507E+028  0.8809384391867930E+001  0.3897163817095206E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.2207061445626085E-002  0.1464649986550181E-006 -0.1818578217082833E-008  0.1464626223204193E-006 -0.1833405577561408E-008  0.4326263200060409E-026  0.3946479686706188E-016  0.3144309091728190E+008  0.8969028353809802E+028  0.8809249628777154E+001  0.3897069119969658E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.2460909961742842E-002  0.1464644824137553E-006 -0.1822255573298724E-008  0.1464616236187646E-006 -0.1840960360867172E-008  0.6707321013290309E-026  0.4906372499740340E-016  0.3144279580832796E+008  0.1243325503153898E+029  0.8809098493133275E+001  0.3896962975940792E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.2780747079570460E-002  0.1464637846946148E-006 -0.1827532165370809E-008  0.1464602965183888E-006 -0.1851712532862365E-008  0.1099871738151181E-025  0.6264343228623841E-016  0.3144237812421418E+008  0.1793807443093998E+029  0.8808884623516668E+001  0.3896812737218206E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.3100584197398078E-002  0.1464630061474279E-006 -0.1833506531453502E-008  0.1464585620422452E-006 -0.1863810625707095E-008  0.1722109605276242E-025  0.7787896158251525E-016  0.3144190947360448E+008  0.2486651016682734E+029  0.8808644659577121E+001  0.3896644170446609E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.3503569740506772E-002  0.1464618974816593E-006 -0.1841979254219346E-008  0.1464562599683228E-006 -0.1880537216436878E-008  0.2682521472690716E-025  0.9943233879033156E-016  0.3144124652044245E+008  0.3587620517142375E+029  0.8808305211284477E+001  0.3896405724109603E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.3906555283615465E-002  0.1464606800514652E-006 -0.1851507293697835E-008  0.1464538964919970E-006 -0.1899837473540735E-008  0.4458459726189753E-025  0.1236131744302314E-015  0.3144050247934918E+008  0.4973302043740408E+029  0.8807924249878939E+001  0.3896138123471238E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.4414317287084366E-002  0.1464588827191996E-006 -0.1865059141838951E-008  0.1464493574306602E-006 -0.1926863275710298E-008  0.6912937915092532E-025  0.1578183537578765E-015  0.3143944759221375E+008  0.7175258917648111E+029  0.8807384140143281E+001  0.3895758744389098E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.4922079290553267E-002  0.1464568285245576E-006 -0.1880164008799457E-008  0.1464455208796746E-006 -0.1956082867408896E-008  0.1039147487150066E-024  0.1961916427503736E-015  0.3143826683672113E+008  0.9946604097855757E+029  0.8806779602486007E+001  0.3895334126635625E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.5561883397253933E-002  0.1464539419463648E-006 -0.1901746969645251E-008  0.1464390878452636E-006 -0.2001196712834354E-008  0.1971352210472978E-024  0.2504706410981948E-015  0.3143660148211733E+008  0.1435057250214402E+030  0.8805926983101799E+001  0.3894735290999813E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.6201687503954599E-002  0.1464504374848945E-006 -0.1925947687640155E-008  0.1464300168749680E-006 -0.2047112749315416E-008  0.2397828420876986E-024  0.3113482617386425E-015  0.3143475092046576E+008  0.1989320820586571E+030  0.8804979603809391E+001  0.3894069936848281E+017  0.0000000000000000E+000  0.0000000000000000E+000
