                                                                                                                                                                                                                                                                
                        1                        2                        3                        4                        5                        6                        7                        8                        9                       10                       11
                        j                        l                     n_pg                      n_p                      n_g                      eta                 Re(freq)                 Im(freq)                      f_T                        H                   L_star
                       36                        1                     -188                        6                      194 -0.9999899222996521E+000  0.7135447751407467E-002 -0.1568584209210859E-003  0.1117705745017445E-003  0.2545730730653294E-004  0.2231040837440136E+038
                        1                        2                        3                        4                        5                        6                        7                        8                        9                       10                       11                       12                       13
                        x                 Re(xi_r)                 Im(xi_r)                 Re(xi_h)                 Im(xi_h)                    dW_dx                    dE_dx                        T                      M_r                      rho                        P            Re(prop_type)            Im(prop_type)
  0.0000000000000000E+000  0.1237187228396342E-002  0.4268890817274962E-003  0.1237187250440589E-002  0.4268890910535769E-003  0.0000000000000000E+000  0.0000000000000000E+000  0.3144428011617867E+008  0.0000000000000000E+000  0.8809858528928345E+001  0.3897496902307036E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1230439216380033E-002  0.1237289274085217E-002  0.4267469403377908E-003  0.1237319649047304E-002  0.4266687410786950E-003  0.1347523670751597E-016  0.9793881017582666E-009  0.3144393308720459E+008  0.1554156788989439E+028  0.8809680832282577E+001  0.3897372068094722E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1390349579094589E-002  0.1237304914348891E-002  0.4267262560737135E-003  0.1237343128533899E-002  0.4266143830789319E-003  0.4246726122089359E-016  0.1250499903332262E-008  0.3144382864427352E+008  0.2242254627296695E+028  0.8809627854432872E+001  0.3897334508263110E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1550259941809145E-002  0.1237323362027708E-002  0.4266990630375796E-003  0.1237379716085316E-002  0.4265349925837058E-003  0.6722586910281395E-016  0.1554702657954816E-008  0.3144370663705524E+008  0.3108313681728273E+028  0.8809564878275756E+001  0.3897290609147664E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1751736435659237E-002  0.1237352331224776E-002  0.4266557832545457E-003  0.1237438686794731E-002  0.4264325077408274E-003  0.1024491351128602E-015  0.1985109381810037E-008  0.3144354046079358E+008  0.4484511391965673E+028  0.8809479599835903E+001  0.3897230882699723E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1953212929509329E-002  0.1237386986243855E-002  0.4266050509943651E-003  0.1237500182135557E-002  0.4263207578398520E-003  0.1611879868475671E-015  0.2468053722253894E-008  0.3144335415775765E+008  0.6216627464998507E+028  0.8809384391867930E+001  0.3897163817095206E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.2207061445626085E-002  0.1237437286781318E-002  0.4265315303892273E-003  0.1237586026823287E-002  0.4261615063049364E-003  0.2622986744057358E-015  0.3151344022293363E-008  0.3144309091728190E+008  0.8969028353809802E+028  0.8809249628777154E+001  0.3897069119969658E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.2460909961742842E-002  0.1237494582690146E-002  0.4264479626319382E-003  0.1237683600154539E-002  0.4259843947154150E-003  0.4055651550279943E-015  0.3918070391726414E-008  0.3144279580832796E+008  0.1243325503153898E+029  0.8809098493133275E+001  0.3896962975940792E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.2780747079570460E-002  0.1237576452961489E-002  0.4263286470024737E-003  0.1237819799942989E-002  0.4257322334134170E-003  0.6649359292862645E-015  0.5002906974921003E-008  0.3144237812421418E+008  0.1793807443093998E+029  0.8808884623516668E+001  0.3896812737218206E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.3100584197398078E-002  0.1237668517614980E-002  0.4261944153066951E-003  0.1237971507714996E-002  0.4254531672960783E-003  0.1006888258024536E-014  0.6220246400358076E-008  0.3144190947360448E+008  0.2486651016682734E+029  0.8808644659577121E+001  0.3896644170446609E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.3503569740506772E-002  0.1237799461325090E-002  0.4260039239602332E-003  0.1238190773889168E-002  0.4250537634105010E-003  0.1699968519346038E-014  0.7942794675056716E-008  0.3144124652044245E+008  0.3587620517142375E+029  0.8808305211284477E+001  0.3896405724109603E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.3906555283615465E-002  0.1237946165903694E-002  0.4257899183455558E-003  0.1238427125321228E-002  0.4246083463934583E-003  0.2515217330536708E-014  0.9875775349263042E-008  0.3144050247934918E+008  0.4973302043740408E+029  0.8807924249878939E+001  0.3896138123471238E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.4414317287084366E-002  0.1238154225697233E-002  0.4254871634239105E-003  0.1238776793091266E-002  0.4239811025602893E-003  0.4265066115748755E-014  0.1261135814703708E-007  0.3143944759221375E+008  0.7175258917648111E+029  0.8807384140143281E+001  0.3895758744389098E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.4922079290553267E-002  0.1238387453424707E-002  0.4251471157292146E-003  0.1239152374322653E-002  0.4232666546085368E-003  0.6445614499110444E-014  0.1568127826079387E-007  0.3143826683672113E+008  0.9946604097855757E+029  0.8806779602486007E+001  0.3895334126635625E+017  0.0000000000000000E+000  0.0000000000000000E+000
