                                                                                                                                                                                                                                                                
                        1                        2                        3                        4                        5                        6                        7                        8                        9                       10                       11
                        j                        l                     n_pg                      n_p                      n_g                      eta                 Re(freq)                 Im(freq)                      f_T                        H                   L_star
                       40                        1                     -175                        3                      178 -0.9999970193071857E+000  0.9350814022345553E-002 -0.1697201852811472E-003  0.6412214192258461E-003  0.4371886144024707E-004  0.2231040837440136E+038
                        1                        2                        3                        4                        5                        6                        7                        8                        9                       10                       11                       12                       13
                        x                 Re(xi_r)                 Im(xi_r)                 Re(xi_h)                 Im(xi_h)                    dW_dx                    dE_dx                        T                      M_r                      rho                        P            Re(prop_type)            Im(prop_type)
  0.0000000000000000E+000 -0.6076061810912382E-003 -0.8398291775983061E-003 -0.6076061427343760E-003 -0.8398291736487406E-003  0.0000000000000000E+000  0.0000000000000000E+000  0.3144428011617867E+008  0.0000000000000000E+000  0.8809858528928345E+001  0.3897496902307036E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1230439216380033E-002 -0.6076682988269818E-003 -0.8398150072734713E-003 -0.6076892504056143E-003 -0.8397939147598590E-003  0.6413135794149185E-017  0.6143566539192105E-009  0.3144393308720459E+008  0.1554156788989439E+028  0.8809680832282577E+001  0.3897372068094722E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1390349579094589E-002 -0.6076780881734236E-003 -0.8398136969171309E-003 -0.6077080254219106E-003 -0.8397835614859373E-003  0.2100587035263888E-016  0.7844195602202126E-009  0.3144382864427352E+008  0.2242254627296695E+028  0.8809627854432872E+001  0.3897334508263110E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1550259941809145E-002 -0.6076903157659318E-003 -0.8398113755290479E-003 -0.6077358568430579E-003 -0.8397691608683884E-003  0.3212060768770182E-016  0.9752375513734421E-009  0.3144370663705524E+008  0.3108313681728273E+028  0.8809564878275756E+001  0.3897290609147664E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1751736435659237E-002 -0.6077094747163934E-003 -0.8398074515055411E-003 -0.6077743188733218E-003 -0.8397531664418879E-003  0.4869071225748561E-016  0.1245209126894995E-008  0.3144354046079358E+008  0.4484511391965673E+028  0.8809479599835903E+001  0.3897230882699723E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1953212929509329E-002 -0.6077319987862851E-003 -0.8398029291050565E-003 -0.6078156232081668E-003 -0.8397347047026833E-003  0.7787991383002433E-016  0.1548128816932812E-008  0.3144335415775765E+008  0.6216627464998507E+028  0.8809384391867930E+001  0.3897163817095206E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.2207061445626085E-002 -0.6077646304939268E-003 -0.8397962880659659E-003 -0.6078744312611741E-003 -0.8397079911982982E-003  0.1263312982537988E-015  0.1976701690269576E-008  0.3144309091728190E+008  0.8969028353809802E+028  0.8809249628777154E+001  0.3897069119969658E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.2460909961742842E-002 -0.6078017063669536E-003 -0.8397887183909145E-003 -0.6079397212232047E-003 -0.8396789561957275E-003  0.1928206011288191E-015  0.2457586940506809E-008  0.3144279580832796E+008  0.1243325503153898E+029  0.8809098493133275E+001  0.3896962975940792E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.2780747079570460E-002 -0.6078546303352228E-003 -0.8397779289709504E-003 -0.6080328610728245E-003 -0.8396372231042507E-003  0.3226298450775175E-015  0.3137962390239745E-008  0.3144237812421418E+008  0.1793807443093998E+029  0.8808884623516668E+001  0.3896812737218206E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.3100584197398078E-002 -0.6079141729840553E-003 -0.8397657186053896E-003 -0.6081356198005342E-003 -0.8395902449555423E-003  0.4811610412670264E-015  0.3901390174900045E-008  0.3144190947360448E+008  0.2486651016682734E+029  0.8808644659577121E+001  0.3896644170446609E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.3503569740506772E-002 -0.6079986704804385E-003 -0.8397484810492910E-003 -0.6082831576712355E-003 -0.8395254725986385E-003  0.8128245200653507E-015  0.4981568554343630E-008  0.3144124652044245E+008  0.3587620517142375E+029  0.8808305211284477E+001  0.3896405724109603E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.3906555283615465E-002 -0.6080935623118994E-003 -0.8397290287154561E-003 -0.6084468697564259E-003 -0.8394495034183018E-003  0.1227104581072187E-014  0.6193614679222231E-008  0.3144050247934918E+008  0.4973302043740408E+029  0.8807924249878939E+001  0.3896138123471238E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.4414317287084366E-002 -0.6082278640613568E-003 -0.8397015782171019E-003 -0.6086789161286584E-003 -0.8393478561420754E-003  0.2002362439948190E-014  0.7908654295259685E-008  0.3143944759221375E+008  0.7175258917648111E+029  0.8807384140143281E+001  0.3895758744389098E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.4922079290553267E-002 -0.6083786297360552E-003 -0.8396707555819403E-003 -0.6089410181615915E-003 -0.8392272921641196E-003  0.3178648945320330E-014  0.9833136679521571E-008  0.3143826683672113E+008  0.9946604097855757E+029  0.8806779602486007E+001  0.3895334126635625E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.5561883397253933E-002 -0.6085918388080662E-003 -0.8396271049950663E-003 -0.6093060179786637E-003 -0.8390647440937851E-003  0.4896476248857063E-014  0.1255648026194130E-007  0.3143660148211733E+008  0.1435057250214402E+030  0.8805926983101799E+001  0.3894735290999813E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.6201687503954599E-002 -0.6088310190747593E-003 -0.8395782223675411E-003 -0.6097237736515330E-003 -0.8388757566594627E-003  0.8194074899687432E-014  0.1561266602350994E-007  0.3143475092046576E+008  0.1989320820586571E+030  0.8804979603809391E+001  0.3894069936848281E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.7430882992974669E-002 -0.6093650700408199E-003 -0.8394683651470137E-003 -0.6106360525712096E-003 -0.8384634503480382E-003  0.1536163937939274E-013  0.2241880260979697E-007  0.3143071216614765E+008  0.3421638022472812E+030  0.8802912257907520E+001  0.3892618142316296E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.8349851357179238E-002 -0.6098249019344737E-003 -0.8393745626165451E-003 -0.6114349844904105E-003 -0.8381063931189670E-003  0.2677628646858736E-013  0.2831106422067085E-007  0.3142719912181407E+008  0.4853955224359053E+030  0.8801114198809492E+001  0.3891355618690693E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.9746695126362705E-002 -0.6106273378485009E-003 -0.8392104319937698E-003 -0.6128078129444656E-003 -0.8374822364207588E-003  0.4558116236577223E-013  0.3858523074941943E-007  0.3142095492048138E+008  0.7718589628131536E+030  0.8797918483313302E+001  0.3889112151659474E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1172957197444048E-001 -0.6119782739670170E-003 -0.8389341349316722E-003 -0.6151247445364326E-003 -0.8364399166929231E-003  0.1012173796954537E-012  0.5590611868697069E-007  0.3141040489872044E+008  0.1344785843567650E+031  0.8792520121599235E+001  0.3885323526924107E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1306854365205059E-001 -0.6130233608658962E-003 -0.8387216755906302E-003 -0.6169073741999815E-003 -0.8356277055737291E-003  0.1482998446231435E-012  0.6942088654149311E-007  0.3140216578342090E+008  0.1859360405852860E+031  0.8788305148143580E+001  0.3882366429922671E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1440751532966070E-001 -0.6141789748131322E-003 -0.8384870740967528E-003 -0.6188973375322462E-003 -0.8347318258148114E-003  0.2297339786256488E-012  0.8440702832708168E-007  0.3139302975729479E+008  0.2490639605076643E+031  0.8783632215227446E+001  0.3879089059274745E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1616039198067824E-001 -0.6158591047873616E-003 -0.8381459659593390E-003 -0.6217505433540809E-003 -0.8334277823083398E-003  0.3427912118093265E-012  0.1062509774830568E-006  0.3137970331667398E+008  0.3513156272799137E+031  0.8776817582261671E+001  0.3874311625247094E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1791326863169577E-001 -0.6177242431528694E-003 -0.8377684486411208E-003 -0.6249288681668195E-003 -0.8319904175052972E-003  0.5396391405318914E-012  0.1306310239748419E-006  0.3136487240206400E+008  0.4782347128094629E+031  0.8769236277972498E+001  0.3868999300851417E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.2016840980679306E-001 -0.6203954719247294E-003 -0.8372284834457304E-003 -0.6294324356224254E-003 -0.8299204358393354E-003  0.8221716520490727E-012  0.1657348771064979E-006  0.3134366754122632E+008  0.6820356340110371E+031  0.8758402711821896E+001  0.3861412718746542E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.2242355098189034E-001 -0.6233633873099476E-003 -0.8366306703431457E-003 -0.6344261652603156E-003 -0.8276407564248853E-003  0.1288688003900692E-011  0.2050748681588302E-006  0.3131997569615312E+008  0.9365762174132809E+031  0.8746304777616952E+001  0.3852947508410007E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.2490033404304114E-001 -0.6269604844486652E-003 -0.8359097807370051E-003 -0.6404251626323294E-003 -0.8248736761959622E-003  0.1874874206893851E-011  0.2531810900284520E-006  0.3129091421931731E+008  0.1281171157781540E+032  0.8731465541670596E+001  0.3842579735883554E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.2737711710419195E-001 -0.6309019194614413E-003 -0.8351264325241809E-003 -0.6469578324219633E-003 -0.8218784151680219E-003  0.2764732707542048E-011  0.3064721580341486E-006  0.3125899479111049E+008  0.1700865699341081E+032  0.8715193520533274E+001  0.3831212615585796E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.3099852327334694E-001 -0.6372733278995102E-003 -0.8338652578479391E-003 -0.6573669235337044E-003 -0.8169818244617621E-003  0.4357501992314851E-011  0.3937742621915500E-006  0.3120767765398002E+008  0.2464471193081212E+032  0.8689077092961560E+001  0.3812991370632807E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.3461992944250194E-001 -0.6443240460602369E-003 -0.8324768917227003E-003 -0.6687303621816759E-003 -0.8116353507109492E-003  0.6670651981418185E-011  0.4924100197500574E-006  0.3115096956428050E+008  0.3425992184025560E+032  0.8660274811762854E+001  0.3792940157346141E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.3714789747025999E-001 -0.6496334287111165E-003 -0.8314457029733322E-003 -0.6772129562484350E-003 -0.8076296196277952E-003  0.8630153784425370E-011  0.5680914379709587E-006  0.3110832623757451E+008  0.4226215559665923E+032  0.8638675266306826E+001  0.3777917877174986E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.3937709683054759E-001 -0.6545739046281649E-003 -0.8304975682668814E-003 -0.6850096124722917E-003 -0.8039551113270428E-003  0.1068149400964521E-010  0.6395182406782200E-006  0.3106759887776568E+008  0.5026438935306287E+032  0.8618054239185760E+001  0.3763600690152378E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.4138341753795411E-001 -0.6592202945681599E-003 -0.8296155862297716E-003 -0.6922577774547222E-003 -0.8004939156192899E-003  0.1282642861133727E-010  0.7075881850052831E-006  0.3102900468508133E+008  0.5826662310946430E+032  0.8598540129594136E+001  0.3750069218093824E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.4321593657665807E-001 -0.6636243701163222E-003 -0.8287884856745504E-003 -0.6990581328120951E-003 -0.7972640384706742E-003  0.1489201528500288E-010  0.7729528500456572E-006  0.3099198693793378E+008  0.6626885686586793E+032  0.8579839282941284E+001  0.3737119771491416E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.4593711156760537E-001 -0.6704379173223205E-003 -0.8275256900066917E-003 -0.7094370011975428E-003 -0.7922674980221984E-003  0.1865199481421183E-010  0.8756315068199304E-006  0.3093407715466239E+008  0.7943025053765603E+032  0.8550624377478179E+001  0.3716922779554010E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.4837688031311878E-001 -0.6768107989835481E-003 -0.8263648118909704E-003 -0.7189820992863995E-003 -0.7876857882474790E-003  0.2203701917823470E-010  0.9735509518343409E-006  0.3087969074118688E+008  0.9259164420944411E+032  0.8523262173443401E+001  0.3698034704796883E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.4951216220910803E-001 -0.6798577663846537E-003 -0.8258171567640167E-003 -0.7235061177976262E-003 -0.7854830101594383E-003  0.2438304175224472E-010  0.1020988273839188E-005  0.3085342029276911E+008  0.9917234104535141E+032  0.8510060961777860E+001  0.3688934599056993E+017  0.0000000000000000E+000  0.0000000000000000E+000
