                                                                                                                                                                                                                                                                
                        1                        2                        3                        4                        5                        6                        7                        8                        9                       10                       11
                        j                        l                     n_pg                      n_p                      n_g                      eta                 Re(freq)                 Im(freq)                      f_T                        H                   L_star
                       41                        1                      -90                       10                      100 -0.1000000000000000E+001  0.9554381823948278E-002 -0.1214002716520412E-002  0.2302956607864157E+002  0.4564310601889667E-004  0.2231040837440136E+038
                        1                        2                        3                        4                        5                        6                        7                        8                        9                       10                       11                       12                       13
                        x                 Re(xi_r)                 Im(xi_r)                 Re(xi_h)                 Im(xi_h)                    dW_dx                    dE_dx                        T                      M_r                      rho                        P            Re(prop_type)            Im(prop_type)
  0.0000000000000000E+000 -0.4288705079849422E-008 -0.5883251025634761E-007 -0.4288705371358257E-008 -0.5883250874357711E-007  0.0000000000000000E+000  0.0000000000000000E+000  0.3144428011617867E+008  0.0000000000000000E+000  0.8809858528928345E+001  0.3897496902307036E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1230439216380033E-002 -0.4288692060117277E-008 -0.5883260818301234E-007 -0.4288659192280325E-008 -0.5883230107391566E-007 -0.4029392563511744E-031  0.1989442912058158E-017  0.3144393308720459E+008  0.1554156788989439E+028  0.8809680832282577E+001  0.3897372068094722E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1390349579094589E-002 -0.4288684891632405E-008 -0.5883254355565784E-007 -0.4288658592897307E-008 -0.5883231532441550E-007 -0.5597254775055722E-032  0.2540132554407173E-017  0.3144382864427352E+008  0.2242254627296695E+028  0.8809627854432872E+001  0.3897334508263110E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1550259941809145E-002 -0.4288680020288064E-008 -0.5883250155371119E-007 -0.4288660841887323E-008 -0.5883233417655329E-007 -0.1193668192123889E-032  0.3158015705566555E-017  0.3144370663705524E+008  0.3108313681728273E+028  0.8809564878275756E+001  0.3897290609147664E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1751736435659237E-002 -0.4288675864778535E-008 -0.5883246827224797E-007 -0.4288659965170782E-008 -0.5883234887562651E-007 -0.8592985333159184E-031  0.4032167237780959E-017  0.3144354046079358E+008  0.4484511391965673E+028  0.8809479599835903E+001  0.3897230882699723E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1953212929509329E-002 -0.4288672926633739E-008 -0.5883244716705061E-007 -0.4288660918444225E-008 -0.5883236032390739E-007  0.1169108020874983E-030  0.5012974618784189E-017  0.3144335415775765E+008  0.6216627464998507E+028  0.8809384391867930E+001  0.3897163817095206E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.2207061445626085E-002 -0.4288670942718355E-008 -0.5883243051897912E-007 -0.4288665257456735E-008 -0.5883236130971954E-007 -0.3134765810827648E-031  0.6400567178349523E-017  0.3144309091728190E+008  0.8969028353809802E+028  0.8809249628777154E+001  0.3897069119969658E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.2460909961742842E-002 -0.4288668811287187E-008 -0.5883241909728263E-007 -0.4288653509616826E-008 -0.5883236425483855E-007 -0.7470927940365573E-030  0.7957443668921801E-017  0.3144279580832796E+008  0.1243325503153898E+029  0.8809098493133275E+001  0.3896962975940792E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.2780747079570460E-002 -0.4288667331126862E-008 -0.5883241139545823E-007 -0.4288668321877264E-008 -0.5883237328450083E-007  0.2102522650626793E-029  0.1016002135074095E-016  0.3144237812421418E+008  0.1793807443093998E+029  0.8808884623516668E+001  0.3896812737218206E+017  0.0000000000000000E+000  0.0000000000000000E+000
