                                                                                                                                                                                                                                                                
                        1                        2                        3                        4                        5                        6                        7                        8                        9                       10                       11
                        j                        l                     n_pg                      n_p                      n_g                      eta                 Re(freq)                 Im(freq)                      f_T                        H                   L_star
                       42                        1                     -158                        0                      158 -0.9999944439971669E+000  0.1083601409166420E-001 -0.1674646105264342E-003  0.3112242175734874E+000  0.5870960069737247E-004  0.2231040837440136E+038
                        1                        2                        3                        4                        5                        6                        7                        8                        9                       10                       11                       12                       13
                        x                 Re(xi_r)                 Im(xi_r)                 Re(xi_h)                 Im(xi_h)                    dW_dx                    dE_dx                        T                      M_r                      rho                        P            Re(prop_type)            Im(prop_type)
  0.0000000000000000E+000  0.1589676570177043E-002 -0.4757599284683882E-003  0.1589676576244851E-002 -0.4757599075436881E-003  0.0000000000000000E+000  0.0000000000000000E+000  0.3144428011617867E+008  0.0000000000000000E+000  0.8809858528928345E+001  0.3897496902307036E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1230439216380033E-002  0.1589691344984016E-002 -0.4758269701890699E-003  0.1589672215898693E-002 -0.4758525728256784E-003  0.1408355715344308E-016  0.1574282180260707E-008  0.3144393308720459E+008  0.1554156788989439E+028  0.8809680832282577E+001  0.3897372068094722E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1390349579094589E-002  0.1589695203648496E-002 -0.4758374520362241E-003  0.1589669362053285E-002 -0.4758748007413127E-003  0.4703936525113524E-016  0.2010064984913344E-008  0.3144382864427352E+008  0.2242254627296695E+028  0.8809627854432872E+001  0.3897334508263110E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1550259941809145E-002  0.1589699274105249E-002 -0.4758507927671050E-003  0.1589666058833012E-002 -0.4759072038428578E-003  0.7058374863151278E-016  0.2499030237513561E-008  0.3144370663705524E+008  0.3108313681728273E+028  0.8809564878275756E+001  0.3897290609147664E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1751736435659237E-002  0.1589705177156315E-002 -0.4758717060076148E-003  0.1589665050307334E-002 -0.4759502065104836E-003  0.1071233310100054E-015  0.3190816161220533E-008  0.3144354046079358E+008  0.4484511391965673E+028  0.8809479599835903E+001  0.3897230882699723E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1953212929509329E-002  0.1589712080485741E-002 -0.4758961913349551E-003  0.1589662593625327E-002 -0.4759969592000423E-003  0.1720431002396922E-015  0.3967025400931858E-008  0.3144335415775765E+008  0.6216627464998507E+028  0.8809384391867930E+001  0.3897163817095206E+017  0.0000000000000000E+000  0.0000000000000000E+000
