                                                                                                                                                                                                                                                                
                        1                        2                        3                        4                        5                        6                        7                        8                        9                       10                       11
                        j                        l                     n_pg                      n_p                      n_g                      eta                 Re(freq)                 Im(freq)                      f_T                        H                   L_star
                       43                        1                     -116                        0                      116 -0.9999999047031541E+000  0.1505953708879093E-001 -0.2971447746576584E-003  0.2197590933183714E+002  0.1133948286643353E-003  0.2231040837440136E+038
                        1                        2                        3                        4                        5                        6                        7                        8                        9                       10                       11                       12                       13
                        x                 Re(xi_r)                 Im(xi_r)                 Re(xi_h)                 Im(xi_h)                    dW_dx                    dE_dx                        T                      M_r                      rho                        P            Re(prop_type)            Im(prop_type)
  0.0000000000000000E+000  0.2460549747135743E-003  0.3280907439562080E-003  0.2460549742375561E-003  0.3280907442753404E-003  0.0000000000000000E+000  0.0000000000000000E+000  0.3144428011617867E+008  0.0000000000000000E+000  0.8809858528928345E+001  0.3897496902307036E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1230439216380033E-002  0.2460632652837026E-003  0.3280927107684898E-003  0.2460633078423064E-003  0.3280882191743578E-003  0.6139190175525801E-018  0.9616052075760739E-010  0.3144393308720459E+008  0.1554156788989439E+028  0.8809680832282577E+001  0.3897372068094722E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1390349579094589E-002  0.2460647948607363E-003  0.3280933852180103E-003  0.2460654325340512E-003  0.3280875814466894E-003  0.2138011530856075E-017  0.1227789723182350E-009  0.3144382864427352E+008  0.2242254627296695E+028  0.8809627854432872E+001  0.3897334508263110E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1550259941809145E-002  0.2460666843382975E-003  0.3280941189996759E-003  0.2460684867721840E-003  0.3280867380686056E-003  0.3048789364701638E-017  0.1526457685313834E-009  0.3144370663705524E+008  0.3108313681728273E+028  0.8809564878275756E+001  0.3897290609147664E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1751736435659237E-002  0.2460695698258805E-003  0.3280951566069583E-003  0.2460725744440178E-003  0.3280858963457306E-003  0.4732073694290851E-017  0.1949006836362077E-009  0.3144354046079358E+008  0.4484511391965673E+028  0.8809479599835903E+001  0.3897230882699723E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1953212929509329E-002  0.2460729157969665E-003  0.3280963361366141E-003  0.2460769819601458E-003  0.3280848169317493E-003  0.7538603017888151E-017  0.2423119995886033E-009  0.3144335415775765E+008  0.6216627464998507E+028  0.8809384391867930E+001  0.3897163817095206E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.2207061445626085E-002  0.2460777447269186E-003  0.3280980076030947E-003  0.2460833551787770E-003  0.3280833242731425E-003  0.1236954093713478E-016  0.3093888428751210E-009  0.3144309091728190E+008  0.8969028353809802E+028  0.8809249628777154E+001  0.3897069119969658E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.2460909961742842E-002  0.2460832180846504E-003  0.3280998828500491E-003  0.2460903199450460E-003  0.3280816077305784E-003  0.1861110807644819E-016  0.3846512397014759E-009  0.3144279580832796E+008  0.1243325503153898E+029  0.8809098493133275E+001  0.3896962975940792E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.2780747079570460E-002  0.2460910085050166E-003  0.3281025458645748E-003  0.2461002928538570E-003  0.3280793121163982E-003  0.3113933032566548E-016  0.4911326242023934E-009  0.3144237812421418E+008  0.1793807443093998E+029  0.8808884623516668E+001  0.3896812737218206E+017  0.0000000000000000E+000  0.0000000000000000E+000
