                                                                                                                                                                                                                                                                
                        1                        2                        3                        4                        5                        6                        7                        8                        9                       10                       11
                        j                        l                     n_pg                      n_p                      n_g                      eta                 Re(freq)                 Im(freq)                      f_T                        H                   L_star
                        5                        1                      -10                        0                       10 -0.9038925062068026E+000  0.1769190678675547E+000 -0.1266551969831360E-003  0.9140813796883695E+001  0.1565017828756216E-001  0.2231040837440136E+038
                        1                        2                        3                        4                        5                        6                        7                        8                        9                       10                       11                       12                       13
                        x                 Re(xi_r)                 Im(xi_r)                 Re(xi_h)                 Im(xi_h)                    dW_dx                    dE_dx                        T                      M_r                      rho                        P            Re(prop_type)            Im(prop_type)
  0.0000000000000000E+000  0.3364404323738881E-001 -0.7976244848620445E-003  0.3364404323755629E-001 -0.7976244848881997E-003  0.0000000000000000E+000  0.0000000000000000E+000  0.3144428011617867E+008  0.0000000000000000E+000  0.8809858528928345E+001  0.3897496902307036E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1230439216380033E-002  0.3364445884106683E-001 -0.7976346236173239E-003  0.3364410757789140E-001 -0.7976264449950197E-003  0.3660761873137586E-015  0.6475326899006663E-006  0.3144393308720459E+008  0.1554156788989439E+028  0.8809680832282577E+001  0.3897372068094722E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1390349579094589E-002  0.3364456177435445E-001 -0.7976371012406703E-003  0.3364414465238665E-001 -0.7976273974247993E-003  0.7662685909238118E-015  0.8267768371164695E-006  0.3144382864427352E+008  0.2242254627296695E+028  0.8809627854432872E+001  0.3897334508263110E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1550259941809145E-002  0.3364468391984182E-001 -0.7976400471856969E-003  0.3364419358859431E-001 -0.7976287336833501E-003  0.2773623363423413E-014  0.1027893502228334E-005  0.3144370663705524E+008  0.3108313681728273E+028  0.8809564878275756E+001  0.3897290609147664E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1751736435659237E-002  0.3364486303492179E-001 -0.7976443760035624E-003  0.3364425957707255E-001 -0.7976304782979410E-003  0.1132309682835982E-014  0.1312426739280002E-005  0.3144354046079358E+008  0.4484511391965673E+028  0.8809479599835903E+001  0.3897230882699723E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1953212929509329E-002  0.3364506771466455E-001 -0.7976493220543165E-003  0.3364433132866598E-001 -0.7976323717488840E-003  0.5652315181333302E-014  0.1631680138973423E-005  0.3144335415775765E+008  0.6216627464998507E+028  0.8809384391867930E+001  0.3897163817095206E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.2207061445626085E-002  0.3364536052435039E-001 -0.7976564051625245E-003  0.3364443154028612E-001 -0.7976351014281738E-003  0.6977291886220106E-014  0.2083350282591706E-005  0.3144309091728190E+008  0.8969028353809802E+028  0.8809249628777154E+001  0.3897069119969658E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.2460909961742842E-002  0.3364569086546731E-001 -0.7976643933048853E-003  0.3364454294046047E-001 -0.7976379871156730E-003  0.6495538714542944E-014  0.2590133834672469E-005  0.3144279580832796E+008  0.1243325503153898E+029  0.8809098493133275E+001  0.3896962975940792E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.2780747079570460E-002  0.3364615993304674E-001 -0.7976757422413977E-003  0.3364469962903219E-001 -0.7976422966754795E-003  0.2932240343412324E-013  0.3307119786001116E-005  0.3144237812421418E+008  0.1793807443093998E+029  0.8808884623516668E+001  0.3896812737218206E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.3100584197398078E-002  0.3364668703912888E-001 -0.7976884919820868E-003  0.3364487514238992E-001 -0.7976468322623982E-003  0.9283417119404417E-015  0.4111589333030625E-005  0.3144190947360448E+008  0.2486651016682734E+029  0.8808644659577121E+001  0.3896644170446609E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.3503569740506772E-002  0.3364743380299786E-001 -0.7977065598321324E-003  0.3364512277197106E-001 -0.7976536324450249E-003  0.9242841557718391E-013  0.5249744389390665E-005  0.3144124652044245E+008  0.3587620517142375E+029  0.8808305211284477E+001  0.3896405724109603E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.3906555283615465E-002  0.3364827194691992E-001 -0.7977268353069382E-003  0.3364540064026410E-001 -0.7976608506820587E-003 -0.1637666017743154E-013  0.6526762131628326E-005  0.3144050247934918E+008  0.4973302043740408E+029  0.8807924249878939E+001  0.3896138123471238E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.4414317287084366E-002  0.3364945863358722E-001 -0.7977555461989266E-003  0.3364579393663111E-001 -0.7976715882935926E-003  0.2486066071388949E-012  0.8333496862370928E-005  0.3143944759221375E+008  0.7175258917648111E+029  0.8807384140143281E+001  0.3895758744389098E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.4922079290553267E-002  0.3365079028680083E-001 -0.7977877612072503E-003  0.3364623665256371E-001 -0.7976831643132911E-003 -0.4608015983373443E-013  0.1036064191578532E-004  0.3143826683672113E+008  0.9946604097855757E+029  0.8806779602486007E+001  0.3895334126635625E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.5561883397253933E-002  0.3365267486650016E-001 -0.7978333556037186E-003  0.3364685415992497E-001 -0.7976999459369225E-003  0.6111135554954568E-012  0.1322872564661182E-004  0.3143660148211733E+008  0.1435057250214402E+030  0.8805926983101799E+001  0.3894735290999813E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.6201687503954599E-002  0.3365478752439092E-001 -0.7978844656144928E-003  0.3364755058946458E-001 -0.7977182842299025E-003 -0.6407678813496565E-013  0.1644664987404822E-004  0.3143475092046576E+008  0.1989320820586571E+030  0.8804979603809391E+001  0.3894069936848281E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.7430882992974669E-002  0.3365949775456722E-001 -0.7979984261434392E-003  0.3364910267037313E-001 -0.7977600530932259E-003  0.1663318079836289E-011  0.2361042446921304E-004  0.3143071216614765E+008  0.3421638022472812E+030  0.8802912257907520E+001  0.3892618142316296E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.8349851357179238E-002  0.3366357295507121E-001 -0.7980970084917821E-003  0.3365047260920258E-001 -0.7977962696596947E-003  0.2753875792159289E-012  0.2980920265883551E-004  0.3142719912181407E+008  0.4853955224359053E+030  0.8801114198809492E+001  0.3891355618690693E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.9746695126362705E-002  0.3367068890642184E-001 -0.7982691498526419E-003  0.3365282128183950E-001 -0.7978592964119868E-003  0.4302722652138883E-011  0.4061173568192949E-004  0.3142095492048138E+008  0.7718589628131536E+030  0.8797918483313302E+001  0.3889112151659474E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1172957197444048E-001  0.3368268488191245E-001 -0.7985593328641754E-003  0.3365677790861267E-001 -0.7979645625808751E-003  0.2747653424289700E-011  0.5880385932844948E-004  0.3141040489872044E+008  0.1344785843567650E+031  0.8792520121599235E+001  0.3885323526924107E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1440751532966070E-001  0.3370241286314857E-001 -0.7990365131062724E-003  0.3366327201375802E-001 -0.7981380677739186E-003  0.1647353309158484E-010  0.8868738657621659E-004  0.3139302975729479E+008  0.2490639605076643E+031  0.8783632215227446E+001  0.3879089059274745E+017  0.0000000000000000E+000  0.0000000000000000E+000
