                                                                                                                                                                                                                                                                
                        1                        2                        3                        4                        5                        6                        7                        8                        9                       10                       11
                        j                        l                     n_pg                      n_p                      n_g                      eta                 Re(freq)                 Im(freq)                      f_T                        H                   L_star
                        6                        1                       -9                        0                        9 -0.7468205299204070E+000  0.1944294491196976E+000 -0.5640513294344119E-004  0.8004959874072918E+001  0.1890140534249453E-001  0.2231040837440136E+038
                        1                        2                        3                        4                        5                        6                        7                        8                        9                       10                       11                       12                       13
                        x                 Re(xi_r)                 Im(xi_r)                 Re(xi_h)                 Im(xi_h)                    dW_dx                    dE_dx                        T                      M_r                      rho                        P            Re(prop_type)            Im(prop_type)
  0.0000000000000000E+000 -0.3710801190370284E-001  0.2172846811183181E-002 -0.3710801190380556E-001  0.2172846811216590E-002  0.0000000000000000E+000  0.0000000000000000E+000  0.3144428011617867E+008  0.0000000000000000E+000  0.8809858528928345E+001  0.3897496902307036E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1230439216380033E-002 -0.3710846953967952E-001  0.2172873848920085E-002 -0.3710808237092107E-001  0.2172851297062792E-002  0.3991260207648051E-015  0.7899928493754965E-006  0.3144393308720459E+008  0.1554156788989439E+028  0.8809680832282577E+001  0.3897372068094722E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1390349579094589E-002 -0.3710858280359944E-001  0.2172880515448711E-002 -0.3710812318395954E-001  0.2172853757926367E-002  0.1022482344127281E-014  0.1008671522875704E-005  0.3144382864427352E+008  0.2242254627296695E+028  0.8809627854432872E+001  0.3897334508263110E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1550259941809145E-002 -0.3710871724058931E-001  0.2172888432342060E-002 -0.3710817701078994E-001  0.2172857047208645E-002  0.2611542253190833E-014  0.1254034761312863E-005  0.3144370663705524E+008  0.3108313681728273E+028  0.8809564878275756E+001  0.3897290609147664E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1751736435659237E-002 -0.3710891440750825E-001  0.2172900050225847E-002 -0.3710824964174399E-001  0.2172861461260096E-002  0.2117204591414454E-014  0.1601166588769902E-005  0.3144354046079358E+008  0.4484511391965673E+028  0.8809479599835903E+001  0.3897230882699723E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1953212929509329E-002 -0.3710913973087728E-001  0.2172913326339506E-002 -0.3710832854418294E-001  0.2172866232853041E-002  0.4786547977537852E-014  0.1990657155907615E-005  0.3144335415775765E+008  0.6216627464998507E+028  0.8809384391867930E+001  0.3897163817095206E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.2207061445626085E-002 -0.3710946208627836E-001  0.2172932325523184E-002 -0.3710843881326126E-001  0.2172872996190203E-002  0.1003377402132640E-013  0.2541696725465790E-005  0.3144309091728190E+008  0.8969028353809802E+028  0.8809249628777154E+001  0.3897069119969658E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.2460909961742842E-002 -0.3710982576731011E-001  0.2172953757867365E-002 -0.3710856131675255E-001  0.2172880366002884E-002  0.3727544280571664E-014  0.3159974861964970E-005  0.3144279580832796E+008  0.1243325503153898E+029  0.8809098493133275E+001  0.3896962975940792E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.2780747079570460E-002 -0.3711034218274310E-001  0.2172984196080183E-002 -0.3710873370202969E-001  0.2172890967284065E-002  0.3747909947877029E-013  0.4034700799733766E-005  0.3144237812421418E+008  0.1793807443093998E+029  0.8808884623516668E+001  0.3896812737218206E+017  0.0000000000000000E+000  0.0000000000000000E+000
