                                                                                                                                                                                                                                                                
                        1                        2                        3                        4                        5                        6                        7                        8                        9                       10                       11
                        j                        l                     n_pg                      n_p                      n_g                      eta                 Re(freq)                 Im(freq)                      f_T                        H                   L_star
                       10                        2                      -20                        0                       20 -0.9999984986760077E+000  0.1588149165190258E+000 -0.1936787760881956E-002  0.1620626619323201E+002  0.1261108885447253E-001  0.2231040837440136E+038
                        1                        2                        3                        4                        5                        6                        7                        8                        9                       10                       11                       12                       13
                        x                 Re(xi_r)                 Im(xi_r)                 Re(xi_h)                 Im(xi_h)                    dW_dx                    dE_dx                        T                      M_r                      rho                        P            Re(prop_type)            Im(prop_type)
  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.3144428011617867E+008  0.0000000000000000E+000  0.8809858528928345E+001  0.3897496902307036E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1230439216380033E-002  0.4515327955471289E-003  0.1558393170418572E-003  0.2257643670147758E-003  0.7791895586914924E-004  0.7523602902048435E-019  0.1087088645428835E-009  0.3144393308720459E+008  0.1554156788989439E+028  0.8809680832282577E+001  0.3897372068094722E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1390349579094589E-002  0.5102161824320869E-003  0.1760929466970678E-003  0.2551056654635221E-003  0.8804563242387164E-004  0.4544631008941753E-018  0.1772228138847029E-009  0.3144382864427352E+008  0.2242254627296695E+028  0.8809627854432872E+001  0.3897334508263110E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1550259941809145E-002  0.5689003309026030E-003  0.1963468378857392E-003  0.2844471381919380E-003  0.9817236849882176E-004  0.3741160757856005E-018  0.2739308062966660E-009  0.3144370663705524E+008  0.3108313681728273E+028  0.8809564878275756E+001  0.3897290609147664E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1751736435659237E-002  0.6428395981607813E-003  0.2218657864393357E-003  0.3214156728982637E-003  0.1109314605315566E-003  0.1662419672785221E-017  0.4465775326494589E-009  0.3144354046079358E+008  0.4484511391965673E+028  0.8809479599835903E+001  0.3897230882699723E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1953212929509329E-002  0.7167801757057067E-003  0.2473851850191668E-003  0.3583844957510885E-003  0.1236906503338012E-003  0.1821649245455293E-017  0.6902701834189659E-009  0.3144335415775765E+008  0.6216627464998507E+028  0.8809384391867930E+001  0.3897163817095206E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.2207061445626085E-002  0.8099430061938995E-003  0.2795388310095336E-003  0.4049635295353574E-003  0.1397666459762885E-003  0.5988805139720918E-017  0.1125322369868670E-008  0.3144309091728190E+008  0.8969028353809802E+028  0.8809249628777154E+001  0.3897069119969658E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.2460909961742842E-002  0.9031083636493554E-003  0.3116933449221022E-003  0.4515431791109848E-003  0.1558428503445451E-003  0.8520185644382593E-017  0.1739404009497349E-008  0.3144279580832796E+008  0.1243325503153898E+029  0.8809098493133275E+001  0.3896962975940792E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.2780747079570460E-002  0.1020496350382662E-002  0.3522079003004633E-003  0.5102323349441568E-003  0.1760984478922637E-003  0.2167346568446084E-016  0.2835705649952031E-008  0.3144237812421418E+008  0.1793807443093998E+029  0.8808884623516668E+001  0.3896812737218206E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.3100584197398078E-002  0.1137889355584068E-002  0.3927241793763937E-003  0.5689227420236481E-003  0.1963544693453992E-003  0.3787616554204514E-016  0.4383152999493395E-008  0.3144190947360448E+008  0.2486651016682734E+029  0.8808644659577121E+001  0.3896644170446609E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.3503569740506772E-002  0.1285809219323982E-002  0.4437762919999967E-003  0.6428729683792497E-003  0.2218771549750610E-003  0.8030336081633966E-016  0.7145815540922459E-008  0.3144124652044245E+008  0.3587620517142375E+029  0.8808305211284477E+001  0.3896405724109603E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.3906555283615465E-002  0.1433739108226031E-002  0.4948318480345629E-003  0.7168257060933555E-003  0.2474006915335892E-003  0.1608939363193976E-015  0.1104537290987148E-007  0.3144050247934918E+008  0.4973302043740408E+029  0.8807924249878939E+001  0.3896138123471238E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.4414317287084366E-002  0.1620146971916932E-002  0.5591674145175644E-003  0.8100102246558300E-003  0.2795617324454662E-003  0.3068302111284760E-015  0.1800746642601755E-007  0.3143944759221375E+008  0.7175258917648111E+029  0.8807384140143281E+001  0.3895758744389098E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.4922079290553267E-002  0.1806574904382162E-002  0.6235098742944005E-003  0.9031998085449540E-003  0.3117244907098419E-003  0.6608303258972405E-015  0.2783467469574670E-007  0.3143826683672113E+008  0.9946604097855757E+029  0.8806779602486007E+001  0.3895334126635625E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.5561883397253933E-002  0.2041515119266575E-002  0.7045954778653927E-003  0.1020630886377890E-002  0.3522537371572209E-003  0.1204659719400440E-014  0.4538055102991047E-007  0.3143660148211733E+008  0.1435057250214402E+030  0.8805926983101799E+001  0.3894735290999813E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.6201687503954599E-002  0.2276495303836374E-002  0.7856948102351358E-003  0.1138072097778161E-002  0.3927864211781081E-003  0.2656018908073609E-014  0.7014740514772997E-007  0.3143475092046576E+008  0.1989320820586571E+030  0.8804979603809391E+001  0.3894069936848281E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.6816285248464634E-002  0.2502260075555806E-002  0.8636135337117443E-003  0.1250897144113314E-002  0.4317258672995180E-003  0.4050576060239517E-014  0.1023654252841805E-006  0.3143281927035194E+008  0.2641122530989594E+030  0.8803990801828681E+001  0.3893375526524989E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.7430882992974669E-002  0.2728070245734201E-002  0.9415478509940679E-003  0.1363733440568944E-002  0.4706691273501192E-003  0.7921274312874253E-014  0.1445817005657059E-006  0.3143071216614765E+008  0.3421638022472812E+030  0.8802912257907520E+001  0.3892618142316296E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.8349851357179238E-002  0.3065804047494273E-002  0.1058110441499354E-002  0.1532474653587959E-002  0.5289067658834364E-003  0.1364067102117400E-013  0.2304882744113390E-006  0.3142719912181407E+008  0.4853955224359053E+030  0.8801114198809492E+001  0.3891355618690693E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.9048273241770970E-002  0.3322566297507691E-002  0.1146727060775820E-002  0.1660739158414496E-002  0.5731745626966862E-003  0.2561034959232603E-013  0.3178193129792261E-006  0.3142420658273819E+008  0.6176062814628119E+030  0.8799582603740740E+001  0.3890280338247030E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.9746695126362705E-002  0.3579406421918454E-002  0.1235370429968181E-002  0.1789023303773079E-002  0.6174490398050626E-003  0.3439730255776557E-013  0.4278867224913667E-006  0.3142095492048138E+008  0.7718589628131536E+030  0.8797918483313302E+001  0.3889112151659474E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1073813355040159E-001  0.3944147688708229E-002  0.1361253540086103E-002  0.1971164172726757E-002  0.6803107823752027E-003  0.7084101901997140E-013  0.6303567592992416E-006  0.3141592673686557E+008  0.1031992241399242E+031  0.8795345446809778E+001  0.3887306190938873E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1172957197444048E-001  0.4309075170519202E-002  0.1487200616988592E-002  0.2153351676106177E-002  0.7431883795042259E-003  0.1049000681003639E-012  0.8973644084167548E-006  0.3141040489872044E+008  0.1344785843567650E+031  0.8792520121599235E+001  0.3885323526924107E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1306854365205059E-001  0.4802249849028731E-002  0.1657408998959705E-002  0.2399483459010915E-002  0.8281343385653949E-003  0.2261720277126788E-012  0.1382618703786486E-005  0.3140216578342090E+008  0.1859360405852860E+031  0.8788305148143580E+001  0.3882366429922671E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1440751532966070E-001  0.5295838061747498E-002  0.1827759440300031E-002  0.2645718936118067E-002  0.9131155508871483E-003  0.3613535669785705E-012  0.2042199640825717E-005  0.3139302975729479E+008  0.2490639605076643E+031  0.8783632215227446E+001  0.3879089059274745E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1616039198067824E-001  0.5942704289193039E-002  0.2051009094560222E-002  0.2968245311312439E-002  0.1024425465052650E-002  0.7907662355785734E-012  0.3232015162042374E-005  0.3137970331667398E+008  0.3513156272799137E+031  0.8776817582261671E+001  0.3874311625247094E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1791326863169577E-001  0.6590448664238367E-002  0.2274560436744536E-002  0.3290992666853251E-002  0.1135810528085439E-002  0.1329959389085050E-011  0.4878440955696519E-005  0.3136487240206400E+008  0.4782347128094629E+031  0.8769236277972498E+001  0.3868999300851417E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.2016840980679306E-001  0.7425246329151768E-002  0.2562665869311058E-002  0.3706571860810275E-002  0.1279231386368032E-002  0.2907171656930493E-011  0.7836983782978003E-005  0.3134366754122632E+008  0.6820356340110371E+031  0.8758402711821896E+001  0.3861412718746542E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.2242355098189034E-001  0.8261854967157449E-002  0.2851393518707485E-002  0.4122602923890926E-002  0.1422805952889482E-002  0.5044722479920539E-011  0.1197143493698512E-004  0.3131997569615312E+008  0.9365762174132809E+031  0.8746304777616952E+001  0.3852947508410007E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.2490033404304114E-001  0.9183036690482087E-002  0.3169305229065065E-002  0.4580144547467305E-002  0.1580703119224188E-002  0.9963522487159955E-011  0.1819643965239364E-004  0.3129091421931731E+008  0.1281171157781540E+032  0.8731465541670596E+001  0.3842579735883554E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.2737711710419195E-001  0.1010695782385603E-001  0.3488158348802132E-002  0.5038380441633385E-002  0.1738836725015424E-002  0.1625829163921789E-010  0.2657925616618319E-004  0.3125899479111049E+008  0.1700865699341081E+032  0.8715193520533274E+001  0.3831212615585796E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.3099852327334694E-001  0.1146331492433859E-001  0.3956240964254931E-002  0.5709509336949663E-002  0.1970431638456561E-002  0.3538256210958525E-010  0.4365837305455043E-004  0.3120767765398002E+008  0.2464471193081212E+032  0.8689077092961560E+001  0.3812991370632807E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.3461992944250194E-001  0.1282676943389276E-001  0.4426762878989759E-002  0.6382426453188882E-002  0.2202635864796576E-002  0.6316416460689730E-010  0.6787451466049576E-004  0.3115096956428050E+008  0.3425992184025560E+032  0.8660274811762854E+001  0.3792940157346141E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.3714789747025999E-001  0.1378331703847970E-001  0.4756856769401661E-002  0.6853570038380478E-002  0.2365208838377906E-002  0.9957044109508122E-010  0.8993847084451880E-004  0.3110832623757451E+008  0.4226215559665923E+032  0.8638675266306826E+001  0.3777917877174986E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.3937709683054759E-001  0.1463038404113393E-001  0.5049165608365267E-002  0.7269885997755291E-002  0.2508859637596659E-002  0.1306803461277749E-009  0.1134963532843444E-003  0.3106759887776568E+008  0.5026438935306287E+032  0.8618054239185760E+001  0.3763600690152378E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.4138341753795411E-001  0.1539578860978864E-001  0.5313290365129196E-002  0.7645331334842186E-002  0.2638405008289131E-002  0.1829494725327987E-009  0.1383959044749747E-003  0.3102900468508133E+008  0.5826662310946430E+032  0.8598540129594136E+001  0.3750069218093824E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.4321593657665807E-001  0.1609752931138755E-001  0.5555442932944034E-002  0.7988910717334716E-002  0.2756952976217799E-002  0.2187503891347777E-009  0.1645164683294237E-003  0.3099198693793378E+008  0.6626885686586793E+032  0.8579839282941284E+001  0.3737119771491416E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.4593711156760537E-001  0.1714449011054230E-001  0.5916716363275845E-002  0.8500302368460931E-002  0.2933398244096002E-002  0.3261542542672181E-009  0.2098931549200852E-003  0.3093407715466239E+008  0.7943025053765603E+032  0.8550624377478179E+001  0.3716922779554010E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.4837688031311878E-001  0.1808843755256891E-001  0.6242437285503756E-002  0.8960119552815619E-002  0.3092044776117849E-002  0.4047495750540234E-009  0.2580083033940140E-003  0.3087969074118688E+008  0.9259164420944411E+032  0.8523262173443401E+001  0.3698034704796883E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.4951216220910803E-001  0.1852945130367087E-001  0.6394612731305856E-002  0.9174531830652904E-002  0.3166020006579696E-002  0.4935840712622696E-009  0.2830109646481195E-003  0.3085342029276911E+008  0.9917234104535141E+032  0.8510060961777860E+001  0.3688934599056993E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.5059927652014702E-001  0.1895285024841394E-001  0.6540708910856441E-002  0.9380117669583778E-002  0.3236949377862901E-002  0.5088973666677920E-009  0.3086066444846295E-003  0.3082758010734437E+008  0.1057530378812565E+033  0.8497078084704299E+001  0.3679995223100930E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.5264788853012425E-001  0.1975373797618494E-001  0.6817056692080900E-002  0.9768276375308861E-002  0.3370866041822193E-002  0.6902542812185275E-009  0.3614882937292125E-003  0.3077707344579864E+008  0.1189144315530424E+033  0.8471706311407587E+001  0.3662555341778813E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.5713769892717446E-001  0.2152351004243027E-001  0.7427705977494476E-002  0.1062240166830776E-001  0.3665534477013581E-002  0.9680355282062419E-009  0.5008189118336998E-003  0.3066046485881656E+008  0.1513779653978692E+033  0.8413345146451565E+001  0.3622534156029461E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.5914950389796402E-001  0.2232327157546954E-001  0.7703652851595555E-002  0.1100688506793936E-001  0.3798175204051157E-002  0.1253882130430582E-008  0.5748242747549775E-003  0.3060565494455188E+008  0.1676097323202870E+033  0.8386022465927670E+001  0.3603842511874899E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.6103893703936696E-001  0.2307844056477300E-001  0.7964210292009314E-002  0.1136897051720692E-001  0.3923086704185934E-002  0.1369875056564297E-008  0.6514758697555828E-003  0.3055223772331221E+008  0.1838414992427026E+033  0.8359414588949594E+001  0.3585679970353480E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.6282354814504003E-001  0.2379544711919569E-001  0.8211597507082558E-002  0.1171188933525872E-001  0.4041384514256439E-002  0.1683904725100478E-008  0.7306485724441680E-003  0.3050034174632774E+008  0.2000732661651182E+033  0.8333610499833398E+001  0.3568096702666827E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.6451717915636790E-001  0.2447936343839635E-001  0.8447565045862623E-002  0.1203817790401106E-001  0.4153943572085461E-002  0.1824730486803290E-008  0.8122228151973926E-003  0.3044978274357085E+008  0.2163050330875338E+033  0.8308512801331551E+001  0.3551024300694311E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.6613096278999962E-001  0.2513426841546430E-001  0.8673520638396345E-002  0.1234987743118415E-001  0.4261468733547306E-002  0.2148608581036320E-008  0.8960955222605172E-003  0.3040043016356905E+008  0.2325368000099516E+033  0.8284053932310760E+001  0.3534414404370811E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.6767400211730763E-001  0.2576349708454402E-001  0.8890615286240964E-002  0.1264865818984824E-001  0.4364535994573111E-002  0.2326753228851997E-008  0.9821735740961710E-003  0.3035213997408783E+008  0.2487685669323695E+033  0.8260155741431308E+001  0.3518213068040260E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.6943354312073864E-001  0.2648473380188021E-001  0.9139451838047909E-002  0.1299026971204834E-001  0.4482377037433624E-002  0.2693458427184638E-008  0.1087690132197715E-002  0.3029579924137232E+008  0.2681421091008555E+033  0.8232320332228856E+001  0.3499376079460860E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.7111362314426474E-001  0.2717720113434855E-001  0.9378360182330172E-002  0.1331738667119728E-001  0.4595216633164669E-002  0.2970364708152691E-008  0.1196117964219822E-002  0.3024077856613654E+008  0.2875156512693395E+033  0.8205190853674264E+001  0.3481050204804040E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.7272299716370018E-001  0.2784410546495346E-001  0.9608446910103150E-002  0.1363161173769381E-001  0.4703608297787711E-002  0.3320295810916189E-008  0.1307347521596518E-002  0.3018693442117444E+008  0.3068891934378234E+033  0.8178689904947396E+001  0.3463181596746797E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.7426897398140106E-001  0.2848812388086139E-001  0.9830635939433199E-002  0.1393429138411344E-001  0.4808016280667894E-002  0.3663081911573811E-008  0.1421267200318652E-002  0.3013401862152865E+008  0.3262627356063095E+033  0.8152669392889498E+001  0.3445674824162889E+017  0.0000000000000000E+000  0.0000000000000000E+000
