                                                                                                                                                                                                                                                                
                        1                        2                        3                        4                        5                        6                        7                        8                        9
                        l                     n_pg                      n_p                      n_g                      eta                 Re(freq)                 Im(freq)                      f_T                   L_star
                        1                      -38                        0                       38 -0.3472573085201817E+000  0.1340829969392201E+000 -0.1023815788932035E-003  0.1131761490200896E+002  0.3468582503266850E+037
                        1                        2                        3                        4                        5                        6                        7                        8                        9                       10                       11
                        x                 Re(xi_r)                 Im(xi_r)                 Re(xi_h)                 Im(xi_h)                    dW_dx                    dE_dx                        T                      M_r                      rho                        P
  0.0000000000000000E+000  0.3405200838828065E-001 -0.9828979472398828E-002  0.3405200846271011E-001 -0.9828979502517366E-002  0.0000000000000000E+000  0.0000000000000000E+000  0.2876102716652680E+008  0.0000000000000000E+000  0.1862636270991221E+002  0.5387136505203119E+017
  0.7131660955467468E-003  0.3405258764560429E-001 -0.9829163907214451E-002  0.3405219083517398E-001 -0.9829057963899912E-002  0.2203737047983592E-013  0.1238560111127812E-005  0.2876060818475076E+008  0.7770847743775455E+027  0.1862590885332526E+002  0.5386923105948772E+017
  0.8058508145809187E-003  0.3405272464777685E-001 -0.9829203124215048E-002  0.3405226075648853E-001 -0.9829057897699552E-002 -0.2976324729081953E-012  0.1581408676508734E-005  0.2876048279073466E+008  0.1121136641265319E+028  0.1862577353917784E+002  0.5386859430843621E+017
  0.8985355336150906E-003  0.3405288704702245E-001 -0.9829250285616391E-002  0.3405234563066836E-001 -0.9829107867908644E-002  0.8436663562280412E-012  0.1966095102495511E-005  0.2876033478265307E+008  0.1554169538276145E+028  0.1862561269359125E+002  0.5386783855003132E+017
  0.1015312408327955E-002  0.3405312299361843E-001 -0.9829319720958825E-002  0.3405244597729902E-001 -0.9829121263978753E-002 -0.1389395424998864E-011  0.2510336624807371E-005  0.2876013370877169E+008  0.2242274499312868E+028  0.1862539488189105E+002  0.5386681443862390E+017
  0.1132089283040820E-002  0.3405339242226040E-001 -0.9829398887013398E-002  0.3405258234472298E-001 -0.9829180810854727E-002  0.2341769194401651E-011  0.3120994239818843E-005  0.2875990922259213E+008  0.3108339070467815E+028  0.1862515170867157E+002  0.5386567109403136E+017
  0.1279221756401245E-002  0.3405377478378339E-001 -0.9829512314875376E-002  0.3405271644878325E-001 -0.9829216019471110E-002 -0.3054701822214067E-011  0.3984930756634247E-005  0.2875959146971762E+008  0.4484552294169603E+028  0.1862480750535057E+002  0.5386405274870131E+017
  0.1426354229761671E-002  0.3405420534877136E-001 -0.9829639343450127E-002  0.3405292941889296E-001 -0.9829286935948763E-002  0.4307080814400640E-011  0.4954299118328278E-005  0.2875923511228897E+008  0.6216678134851152E+028  0.1862442148389292E+002  0.5386223781421155E+017
  0.1611735152971333E-002  0.3405481305845714E-001 -0.9829819955621953E-002  0.3405312962715305E-001 -0.9829360515816338E-002 -0.4524670134341925E-011  0.6325730833232492E-005  0.2875873083257475E+008  0.8969115223339720E+028  0.1862387522805677E+002  0.5385966956505478E+017
