                                                                                                                                                                                                                                                                
                        1                        2                        3                        4                        5                        6                        7                        8                        9
                        l                     n_pg                      n_p                      n_g                      eta                 Re(freq)                 Im(freq)                      f_T                   L_star
                        1                      -22                        0                       22  0.1426089863162561E+000  0.2261970846244274E+000  0.6789711685401493E-005  0.4023910659355817E+001  0.3468582503266850E+037
                        1                        2                        3                        4                        5                        6                        7                        8                        9                       10                       11
                        x                 Re(xi_r)                 Im(xi_r)                 Re(xi_h)                 Im(xi_h)                    dW_dx                    dE_dx                        T                      M_r                      rho                        P
  0.0000000000000000E+000  0.6158900386938861E-001 -0.1144252652628959E-001  0.6158900381365209E-001 -0.1144252651751318E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.2876102716652680E+008  0.0000000000000000E+000  0.1862636270991221E+002  0.5387136505203119E+017
  0.7131660955467468E-003  0.6158997793991868E-001 -0.1144271174785718E-001  0.6158922360790030E-001 -0.1144257372455665E-001  0.2724032556302820E-013  0.3869179291934556E-005  0.2876060818475076E+008  0.7770847743775455E+027  0.1862590885332526E+002  0.5386923105948772E+017
  0.8058508145809187E-003  0.6159021324220579E-001 -0.1144275558292458E-001  0.6158930846815869E-001 -0.1144258634270192E-001 -0.2450447149868140E-012  0.4940211249840445E-005  0.2876048279073466E+008  0.1121136641265319E+028  0.1862577353917784E+002  0.5386859430843621E+017
  0.8985355336150906E-003  0.6159049232531146E-001 -0.1144280757004316E-001  0.6158944408784688E-001 -0.1144261521346681E-001  0.6598565314121900E-012  0.6141940114782198E-005  0.2876033478265307E+008  0.1554169538276145E+028  0.1862561269359125E+002  0.5386783855003132E+017
  0.1015312408327955E-002  0.6159090082227368E-001 -0.1144288415292333E-001  0.6158959566652567E-001 -0.1144264491920277E-001 -0.6384898281072873E-012  0.7842106252669498E-005  0.2876013370877169E+008  0.2242274499312868E+028  0.1862539488189105E+002  0.5386681443862390E+017
  0.1132089283040820E-002  0.6159136705529901E-001 -0.1144297125039070E-001  0.6158978865665553E-001 -0.1144267914178327E-001  0.5832622013157219E-012  0.9749739825601231E-005  0.2875990922259213E+008  0.3108339070467815E+028  0.1862515170867157E+002  0.5386567109403136E+017
  0.1279221756401245E-002  0.6159203285545760E-001 -0.1144309617585221E-001  0.6159002063042616E-001 -0.1144273123037913E-001  0.9025059666975225E-012  0.1244860375687654E-004  0.2875959146971762E+008  0.4484552294169603E+028  0.1862480750535057E+002  0.5386405274870131E+017
  0.1426354229761671E-002  0.6159278291515782E-001 -0.1144323652159101E-001  0.6159030927576480E-001 -0.1144277719693025E-001 -0.2836813758520173E-011  0.1547679336314160E-004  0.2875923511228897E+008  0.6216678134851152E+028  0.1862442148389292E+002  0.5386223781421155E+017
  0.1611735152971333E-002  0.6159384635155361E-001 -0.1144343601089566E-001  0.6159067463013643E-001 -0.1144286215378754E-001  0.8532207912830319E-011  0.1976101639382180E-004  0.2875873083257475E+008  0.8969115223339720E+028  0.1862387522805677E+002  0.5385966956505478E+017
  0.1797116076180994E-002  0.6159503969560076E-001 -0.1144365950364871E-001  0.6159111425382342E-001 -0.1144293121471047E-001 -0.1506190068894661E-010  0.2456798909871677E-004  0.2875816502439198E+008  0.1243335626361783E+029  0.1862326232254691E+002  0.5385678802800110E+017
  0.2030692626033005E-002  0.6159672817264011E-001 -0.1144397614695397E-001  0.6159169381002286E-001 -0.1144306388102704E-001  0.3066663422716625E-010  0.3136887526206895E-004  0.2875736463048326E+008  0.1793826439101463E+029  0.1862239530891614E+002  0.5385271194137473E+017
  0.2264269175885016E-002  0.6159862089491590E-001 -0.1144433079194106E-001  0.6159237132708613E-001 -0.1144317424160706E-001 -0.4657701069141270E-010  0.3899951648512486E-004  0.2875646635293619E+008  0.2486671252004692E+029  0.1862142226591877E+002  0.5384813755207190E+017
  0.2558579621254718E-002  0.6160129777927299E-001 -0.1144483269220040E-001  0.6159329133346492E-001 -0.1144337798535571E-001  0.8354357573794065E-010  0.4979550076003771E-004  0.2875519284328865E+008  0.3587663675034425E+029  0.1862004276658983E+002  0.5384165268294292E+017
  0.2852890066624421E-002  0.6160429843253274E-001 -0.1144539506622339E-001  0.6159434890241253E-001 -0.1144355872071015E-001 -0.1165977214517637E-009  0.6190850444560179E-004  0.2875376733662423E+008  0.4973342503400933E+029  0.1861849863205892E+002  0.5383439430488799E+017
  0.3223742861706194E-002  0.6160854112425184E-001 -0.1144619046078820E-001  0.6159578971608109E-001 -0.1144386772969283E-001  0.1977432988363084E-009  0.7904670643504469E-004  0.2875175651204218E+008  0.7175360394011119E+029  0.1861632049671425E+002  0.5382415651015893E+017
  0.3594595656787967E-002  0.6161329315072659E-001 -0.1144708117760755E-001  0.6159743049736636E-001 -0.1144415986918380E-001 -0.2591646174182626E-009  0.9827529606819953E-004  0.2874952198787741E+008  0.9946685006303838E+029  0.1861390013131076E+002  0.5381278113970202E+017
  0.4310613271404873E-002  0.6162393403873274E-001 -0.1144907598948139E-001  0.6160105200493383E-001 -0.1144489741746294E-001  0.4691368938324206E-009  0.1413131776565501E-003  0.2874461921061195E+008  0.1715021622352510E+030  0.1860859000934351E+002  0.5378782775425434E+017
