                                                                                                                                                                                                                                                                
                        1                        2                        3                        4                        5                        6                        7                        8                        9
                        l                     n_pg                      n_p                      n_g                      eta                 Re(freq)                 Im(freq)                      f_T                   L_star
                        2                     -190                        0                      190 -0.9999976107731864E+000  0.4528324127026971E-001 -0.2831820961791495E-003  0.2430611817187560E+002  0.3468582503266850E+037
                        1                        2                        3                        4                        5                        6                        7                        8                        9                       10                       11
                        x                 Re(xi_r)                 Im(xi_r)                 Re(xi_h)                 Im(xi_h)                    dW_dx                    dE_dx                        T                      M_r                      rho                        P
  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.2876102716652680E+008  0.0000000000000000E+000  0.1862636270991221E+002  0.5387136505203119E+017
  0.7131660955467468E-003  0.2577668043502408E-004  0.3759442213687373E-005  0.1288835894278584E-004  0.1879687400995382E-005  0.1242657284095614E-019  0.5575482198933142E-012  0.2876060818475076E+008  0.7770847743775455E+027  0.1862590885332526E+002  0.5386923105948772E+017
  0.8058508145809187E-003  0.2912693572044935E-004  0.4248036885647318E-005  0.1456358577350166E-004  0.2123998139661071E-005  0.1001674239991808E-019  0.9089629442940410E-012  0.2876048279073466E+008  0.1121136641265319E+028  0.1862577353917784E+002  0.5386859430843621E+017
  0.8985355336150906E-003  0.3247732214770095E-004  0.4736618117596571E-005  0.1623883638611879E-004  0.2368198513919273E-005  0.2769734537522029E-018  0.1404996450939188E-011  0.2876033478265307E+008  0.1554169538276145E+028  0.1862561269359125E+002  0.5386783855003132E+017
  0.1015312408327955E-002  0.3669875067325570E-004  0.5352192615798286E-005  0.1834957342893482E-004  0.2676019663090689E-005 -0.3611983006789274E-018  0.2290556619027724E-011  0.2876013370877169E+008  0.2242274499312868E+028  0.1862539488189105E+002  0.5386681443862390E+017
  0.1132089283040820E-002  0.4092040133787002E-004  0.5967758225363044E-005  0.2046059046304837E-004  0.2983669594729711E-005  0.1603069099548703E-017  0.3540608624353463E-011  0.2875990922259213E+008  0.3108339070467815E+028  0.1862515170867157E+002  0.5386567109403136E+017
  0.1279221756401245E-002  0.4623971152314428E-004  0.6743294408948889E-005  0.2312007803837133E-004  0.3371372838061281E-005 -0.1601733780252310E-017  0.5772250125744429E-011  0.2875959146971762E+008  0.4484552294169603E+028  0.1862480750535057E+002  0.5386405274870131E+017
  0.1426354229761671E-002  0.5155940037501310E-004  0.7518841253685386E-005  0.2578034267409614E-004  0.3759116338439060E-005  0.4655281806024598E-017  0.8922611311681881E-011  0.2875923511228897E+008  0.6216678134851152E+028  0.1862442148389292E+002  0.5386223781421155E+017
  0.1611735152971333E-002  0.5826251202929026E-004  0.8495883843106629E-005  0.2913151646087749E-004  0.4247163407123334E-005  0.2596177184625618E-018  0.1454669212344316E-010  0.2875873083257475E+008  0.8969115223339720E+028  0.1862387522805677E+002  0.5385966956505478E+017
  0.1797116076180994E-002  0.6496627121705657E-004  0.9472941614138422E-005  0.3248395169889362E-004  0.4736000072298960E-005  0.1380191393303889E-017  0.2248643257153946E-010  0.2875816502439198E+008  0.1243335626361783E+029  0.1862326232254691E+002  0.5385678802800110E+017
  0.2030692626033005E-002  0.7341392264239729E-004  0.1070380661151789E-004  0.3670732603601584E-004  0.5350125733227456E-005  0.3784763859321507E-016  0.3666111133821210E-010  0.2875736463048326E+008  0.1793826439101463E+029  0.1862239530891614E+002  0.5385271194137473E+017
  0.2264269175885016E-002  0.8186273402945335E-004  0.1193463119802485E-004  0.4093207670576842E-004  0.5966338715841298E-005 -0.6099182625974123E-016  0.5667223628624173E-010  0.2875646635293619E+008  0.2486671252004692E+029  0.1862142226591877E+002  0.5384813755207190E+017
  0.2558579621254718E-002  0.9251037816388464E-004  0.1348514995818913E-004  0.4625563849817808E-004  0.6738990644819862E-005  0.2626026471636725E-015  0.9240130291647093E-010  0.2875519284328865E+008  0.3587663675034425E+029  0.1862004276658983E+002  0.5384165268294292E+017
  0.2852890066624421E-002  0.1031602026492988E-003  0.1503546024005041E-004  0.5158008884452014E-004  0.7515348957505577E-005 -0.3987337172988348E-015  0.1428408607574776E-009  0.2875376733662423E+008  0.4973342503400933E+029  0.1861849863205892E+002  0.5383439430488799E+017
