                                                                                                                                                                                                                                                                
                        1                        2                        3                        4                        5                        6                        7                        8                        9
                        l                     n_pg                      n_p                      n_g                      eta                 Re(freq)                 Im(freq)                      f_T                   L_star
                        2                      -98                        0                       98 -0.9999991077331901E+000  0.8966346390232556E-001 -0.6384670693092890E-003  0.2025648682503618E+002  0.3468582503266850E+037
                        1                        2                        3                        4                        5                        6                        7                        8                        9                       10                       11
                        x                 Re(xi_r)                 Im(xi_r)                 Re(xi_h)                 Im(xi_h)                    dW_dx                    dE_dx                        T                      M_r                      rho                        P
  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.2876102716652680E+008  0.0000000000000000E+000  0.1862636270991221E+002  0.5387136505203119E+017
  0.7131660955467468E-003  0.4429609147625032E-004  0.1851737806848143E-005  0.2214788132914344E-004  0.9258558476812288E-006  0.1613891713151534E-019  0.1614998173727021E-011  0.2876060818475076E+008  0.7770847743775455E+027  0.1862590885332526E+002  0.5386923105948772E+017
  0.8058508145809187E-003  0.5005312798977254E-004  0.2092394089965553E-005  0.2502636103309746E-004  0.1046171533267749E-005  0.1309555800589724E-018  0.2632861785726723E-011  0.2876048279073466E+008  0.1121136641265319E+028  0.1862577353917784E+002  0.5386859430843621E+017
  0.8985355336150906E-003  0.5581028661264116E-004  0.2333054779278469E-005  0.2790495705004596E-004  0.1166512601074411E-005 -0.2395435896292899E-018  0.4069605730095540E-011  0.2876033478265307E+008  0.1554169538276145E+028  0.1862561269359125E+002  0.5386783855003132E+017
  0.1015312408327955E-002  0.6306411964275065E-004  0.2636263681911532E-005  0.3153176836076756E-004  0.1318058368413287E-005  0.1715714567190362E-017  0.6634541443584412E-011  0.2876013370877169E+008  0.2242274499312868E+028  0.1862539488189105E+002  0.5386681443862390E+017
  0.1132089283040820E-002  0.7031814680369972E-004  0.2939481535951112E-005  0.3515869842670624E-004  0.1469727264027616E-005 -0.3991187407610426E-017  0.1025502353971673E-010  0.2875990922259213E+008  0.3108339070467815E+028  0.1862515170867157E+002  0.5386567109403136E+017
  0.1279221756401245E-002  0.7945814330799183E-004  0.3321508379418752E-005  0.3972851774673882E-004  0.1660595312500870E-005  0.1286477033023645E-016  0.1671857038191502E-010  0.2875959146971762E+008  0.4484552294169603E+028  0.1862480750535057E+002  0.5386405274870131E+017
  0.1426354229761671E-002  0.8859849774886953E-004  0.3703541871489950E-005  0.4429839773028445E-004  0.1851728844477626E-005 -0.2519017705828869E-016  0.2584201919280525E-010  0.2875923511228897E+008  0.6216678134851152E+028  0.1862442148389292E+002  0.5386223781421155E+017
  0.1611735152971333E-002  0.1001155787339165E-003  0.4184880552212208E-005  0.5005664109374895E-004  0.2092149716397935E-005  0.6331289551534884E-016  0.4213032464613793E-010  0.2875873083257475E+008  0.8969115223339720E+028  0.1862387522805677E+002  0.5385966956505478E+017
  0.1797116076180994E-002  0.1116333559628157E-003  0.4666216923210351E-005  0.5581480535429691E-004  0.2332956164626792E-005 -0.1084432009391210E-015  0.6512152503138627E-010  0.2875816502439198E+008  0.1243335626361783E+029  0.1862326232254691E+002  0.5385678802800110E+017
  0.2030692626033005E-002  0.1261467081352041E-003  0.5272689571602231E-005  0.6307090046270726E-004  0.2635839705328118E-005  0.2439910082994945E-015  0.1061698980801455E-009  0.2875736463048326E+008  0.1793826439101463E+029  0.1862239530891614E+002  0.5385271194137473E+017
  0.2264269175885016E-002  0.1406614335377906E-003  0.5879145217335613E-005  0.7032673848553675E-004  0.2939144346419873E-005 -0.3741406088399330E-015  0.1641101563847424E-009  0.2875646635293619E+008  0.2486671252004692E+029  0.1862142226591877E+002  0.5384813755207190E+017
  0.2558579621254718E-002  0.1589524882615048E-003  0.6643289642591570E-005  0.7947097607602854E-004  0.3320747669922124E-005  0.8062539026150681E-015  0.2675619679937055E-009  0.2875519284328865E+008  0.3587663675034425E+029  0.1862004276658983E+002  0.5384165268294292E+017
  0.2852890066624421E-002  0.1772462571596452E-003  0.7407396060565040E-005  0.8861485099876531E-004  0.3702676668342901E-005 -0.1106703951794089E-014  0.4135860117377252E-009  0.2875376733662423E+008  0.4973342503400933E+029  0.1861849863205892E+002  0.5383439430488799E+017
