                                                                                                                                                                                                                                                                
                        1                        2                        3                        4                        5                        6                        7                        8                        9                       10                       11                       12                       13
                        j                        l                     n_pg                      n_p                      n_g                      eta                Re(omega)                Im(omega)                 Re(freq)                 Im(freq)                      f_T                        H                   L_star
                       34                        1                      -34                        0                       34 -0.9999998816106195E+000  0.5394151225653231E-001 -0.1097725686328588E-002  0.2079950320606576E+001 -0.4232760257737720E-001  0.1803438366717408E+002  0.1454843372260809E-002  0.2231040837440136E+038
                        1                        2                        3                        4                        5                        6                        7                        8                        9                       10                       11                       12                       13                       14                       15
                        x                 Re(xi_r)                 Im(xi_r)                 Re(xi_h)                 Im(xi_h)                    dW_dx                    dE_dx                        T                      M_r                      rho                        P                Re(lag_L)                Im(lag_L)            Re(prop_type)            Im(prop_type)
  0.0000000000000000E+000  0.2766356613569743E-002  0.1565444049124815E-002  0.2766356614664066E-002  0.1565444048834237E-002  0.0000000000000000E+000  0.0000000000000000E+000  0.3144428011617867E+008  0.0000000000000000E+000  0.8809858528928345E+001  0.3897496902307036E+017  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.1230439216380033E-002  0.2766391969881380E-002  0.1565463049736818E-002  0.2766363420803404E-002  0.1565446381687060E-002  0.1008903805322785E-016  0.5776525603052151E-008  0.3144393308720459E+008  0.1554156788989439E+028  0.8809680832282577E+001  0.3897372068094722E+017  0.3014404608398228E-005  0.1706215388617222E-005  0.0000000000000000E+000  0.0000000000000000E+000
  0.1337046124856404E-002  0.2766397588645221E-002  0.1565466133533916E-002  0.2766365610967689E-002  0.1565447353703955E-002  0.3283025026284670E-016  0.6820850233095334E-008  0.3144386641740253E+008  0.1994125855637707E+028  0.8809647211143027E+001  0.3897348118804443E+017  0.3559297798928835E-005  0.2014559971327449E-005  0.0000000000000000E+000  0.0000000000000000E+000
  0.1443653033332775E-002  0.2766403938859601E-002  0.1565469607395587E-002  0.2766368341212245E-002  0.1565448536389703E-002  0.3713801222755409E-016  0.7951894781378017E-008  0.3144378891955710E+008  0.2510156879787455E+028  0.8809607386800369E+001  0.3897320193358576E+017  0.4149551585093256E-005  0.2348630402354292E-005  0.0000000000000000E+000  0.0000000000000000E+000
  0.1550259941809145E-002  0.2766411002876825E-002  0.1565473462856983E-002  0.2766371424862263E-002  0.1565449940798519E-002  0.4887933014537172E-016  0.9169660827998328E-008  0.3144370663705524E+008  0.3108313681728273E+028  0.8809564878275756E+001  0.3897290609147664E+017  0.4784949259776111E-005  0.2708303448455967E-005  0.0000000000000000E+000  0.0000000000000000E+000
  0.1684577604375873E-002  0.2766420855162223E-002  0.1565478834404963E-002  0.2766375455546464E-002  0.1565451747100293E-002  0.7198919793785342E-016  0.1082742887077478E-007  0.3144359807333241E+008  0.3988253537767832E+028  0.8809509078480742E+001  0.3897251612614787E+017  0.5649984867282394E-005  0.3197880040080161E-005  0.0000000000000000E+000  0.0000000000000000E+000
  0.1818895266942601E-002  0.2766431694294457E-002  0.1565484738683364E-002  0.2766379692902648E-002  0.1565453635515696E-002  0.9357730228606608E-016  0.1262285763862279E-007  0.3144348061194684E+008  0.5020315745604155E+028  0.8809449017910001E+001  0.3897209337322792E+017  0.6586815298009494E-005  0.3728147890800067E-005  0.0000000000000000E+000  0.0000000000000000E+000
  0.1953212929509329E-002  0.2766443476437195E-002  0.1565491153122907E-002  0.2766384206625493E-002  0.1565455645024029E-002  0.1289848020113501E-015  0.1455594517743107E-007  0.3144335415775765E+008  0.6216627464998507E+028  0.8809384391867930E+001  0.3897163817095206E+017  0.7595466159657235E-005  0.4299036399741528E-005  0.0000000000000000E+000  0.0000000000000000E+000
  0.2122445273587167E-002  0.2766459635753250E-002  0.1565499947479182E-002  0.2766390325738026E-002  0.1565458371086812E-002  0.1735324257286498E-015  0.1718750282198350E-007  0.3144318216967918E+008  0.7976511591553518E+028  0.8809296359082552E+001  0.3897101942661398E+017  0.8968528355257535E-005  0.5076179692604780E-005  0.0000000000000000E+000  0.0000000000000000E+000
