                                                                                                                                                                                                                                                                
                        1                        2                        3                        4                        5                        6                        7                        8                        9                       10                       11                       12                       13
                        j                        l                     n_pg                      n_p                      n_g                      eta                Re(omega)                Im(omega)                 Re(freq)                 Im(freq)                      f_T                        H                   L_star
                       59                        1                      -14                        0                       14 -0.9998950028446235E+000  0.1300659990508458E+000 -0.8647658982002433E-003  0.5015261995978990E+001 -0.3334482167754595E-001  0.1259121671935546E+002  0.8458582054547310E-002  0.2231040837440136E+038
                        1                        2                        3                        4                        5                        6                        7                        8                        9                       10                       11                       12                       13                       14                       15
                        x                 Re(xi_r)                 Im(xi_r)                 Re(xi_h)                 Im(xi_h)                    dW_dx                    dE_dx                        T                      M_r                      rho                        P                Re(lag_L)                Im(lag_L)            Re(prop_type)            Im(prop_type)
  0.0000000000000000E+000  0.2723413066767563E-001  0.3980088275883633E-002  0.2723413066833939E-001  0.3980088276016551E-002  0.0000000000000000E+000  0.0000000000000000E+000  0.3144428011617867E+008  0.0000000000000000E+000  0.8809858528928345E+001  0.3897496902307036E+017  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.1230439216380033E-002  0.2723446755329386E-001  0.3980136963568501E-002  0.2723418339384842E-001  0.3980095160001181E-002  0.3072120089735689E-015  0.4331180678303175E-006  0.3144393308720459E+008  0.1554156788989439E+028  0.8809680832282577E+001  0.3897372068094722E+017  0.2959124610099707E-004  0.4324968048167981E-005  0.0000000000000000E+000  0.0000000000000000E+000
  0.1337046124856404E-002  0.2723452138517939E-001  0.3980144777814735E-002  0.2723420262293487E-001  0.3980097819805275E-002  0.1048697460733492E-014  0.5114204317657307E-006  0.3144386641740253E+008  0.1994125855637707E+028  0.8809647211143027E+001  0.3897348118804443E+017  0.3494019645993500E-004  0.5106277396269947E-005  0.0000000000000000E+000  0.0000000000000000E+000
  0.1443653033332775E-002  0.2723458221865457E-001  0.3980153602006922E-002  0.2723422645521734E-001  0.3980101106001692E-002  0.1087084520191598E-014  0.5962249422775441E-006  0.3144378891955710E+008  0.2510156879787455E+028  0.8809607386800369E+001  0.3897320193358576E+017  0.4073440667098202E-004  0.5953243353466377E-005  0.0000000000000000E+000  0.0000000000000000E+000
  0.1550259941809145E-002  0.2723464986628933E-001  0.3980163410316480E-002  0.2723425362591743E-001  0.3980104896289378E-002  0.1491120111809875E-014  0.6875317138672116E-006  0.3144370663705524E+008  0.3108313681728273E+028  0.8809564878275756E+001  0.3897290609147664E+017  0.4697180936921225E-004  0.6864760857401531E-005  0.0000000000000000E+000  0.0000000000000000E+000
  0.1684577604375873E-002  0.2723474421094512E-001  0.3980177086512045E-002  0.2723428913822129E-001  0.3980109824675706E-002  0.2252551731980691E-014  0.8118293289078670E-006  0.3144359807333241E+008  0.3988253537767832E+028  0.8809509078480742E+001  0.3897251612614787E+017  0.5546353347231966E-004  0.8105897564423179E-005  0.0000000000000000E+000  0.0000000000000000E+000
  0.1818895266942601E-002  0.2723484799969334E-001  0.3980192128594400E-002  0.2723432623875051E-001  0.3980114969301312E-002  0.2808732690667760E-014  0.9464485444346447E-006  0.3144348061194684E+008  0.5020315745604155E+028  0.8809449017910001E+001  0.3897209337322792E+017  0.6466015090698791E-004  0.9449746147151156E-005  0.0000000000000000E+000  0.0000000000000000E+000
  0.1953212929509329E-002  0.2723496080989758E-001  0.3980208476808941E-002  0.2723436579259611E-001  0.3980120461089374E-002  0.3862062980901100E-014  0.1091389210741281E-005  0.3144335415775765E+008  0.6216627464998507E+028  0.8809384391867930E+001  0.3897163817095206E+017  0.7456111285761688E-004  0.1089706134912116E-004  0.0000000000000000E+000  0.0000000000000000E+000
  0.2122445273587167E-002  0.2723511552965697E-001  0.3980230896225390E-002  0.2723441940164723E-001  0.3980127881516305E-002  0.5675617397993346E-014  0.1288700272075223E-005  0.3144318216967918E+008  0.7976511591553518E+028  0.8809296359082552E+001  0.3897101942661398E+017  0.8804093858000872E-004  0.1286674117371828E-004  0.0000000000000000E+000  0.0000000000000000E+000
  0.2291677617665004E-002  0.2723528389809736E-001  0.3980255292605831E-002  0.2723447672452414E-001  0.3980135843990252E-002  0.6569420060333718E-014  0.1502395500915579E-005  0.3144299612394196E+008  0.1004063693012849E+029  0.8809201079298521E+001  0.3897035025398730E+017  0.1026369654279335E-003  0.1500011970673447E-004  0.0000000000000000E+000  0.0000000000000000E+000
  0.2460909961742842E-002  0.2723546570115266E-001  0.3980281634381077E-002  0.2723453824423458E-001  0.3980144345439729E-002  0.1139112038558288E-013  0.1732474528463102E-005  0.3144279580832796E+008  0.1243325503153898E+029  0.8809098493133275E+001  0.3896962975940792E+017  0.1183557553726154E-003  0.1729761878720225E-004  0.0000000000000000E+000  0.0000000000000000E+000
  0.2674134706961254E-002  0.2723571379835686E-001  0.3980317581132975E-002  0.2723462182317532E-001  0.3980155954057806E-002  0.1083334206249218E-013  0.2045688466782584E-005  0.3144252301525176E+008  0.1595303756197055E+029  0.8808958812791483E+001  0.3896864853290295E+017  0.1397472209347388E-003  0.2042281427023174E-004  0.0000000000000000E+000  0.0000000000000000E+000
  0.2887359452179666E-002  0.2723598287982076E-001  0.3980356567535560E-002  0.2723471202115175E-001  0.3980168421496871E-002  0.2290782356411198E-013  0.2384909806512150E-005  0.3144222757023057E+008  0.2008129109559131E+029  0.8808807534870580E+001  0.3896758584693793E+017  0.1629210862943788E-003  0.2381205640876258E-004  0.0000000000000000E+000  0.0000000000000000E+000
  0.3100584197398078E-002  0.2723627284355932E-001  0.3980398579212389E-002  0.2723480899567868E-001  0.3980181886296442E-002  0.1805337020231519E-013  0.2750137593587980E-005  0.3144190947360448E+008  0.2486651016682734E+029  0.8808644659577121E+001  0.3896644170446609E+017  0.1878622072197804E-003  0.2745258365752678E-004  0.0000000000000000E+000  0.0000000000000000E+000
  0.3369241226137207E-002  0.2723666794099593E-001  0.3980455822902505E-002  0.2723494099957492E-001  0.3980200146706929E-002  0.4342254334308912E-013  0.3247339152130593E-005  0.3144147648724234E+008  0.3190612081715379E+029  0.8808422959269384E+001  0.3896488435811735E+017  0.2218240373737798E-003  0.3242335938025967E-004  0.0000000000000000E+000  0.0000000000000000E+000
  0.3637898254876336E-002  0.2723709601300759E-001  0.3980517843696950E-002  0.2723508368205406E-001  0.3980219937669511E-002  0.3437915509620034E-013  0.3785822737605554E-005  0.3144100754386652E+008  0.4016263687822416E+029  0.8808182850725629E+001  0.3896319773033838E+017  0.2585945424277346E-003  0.3778623294477682E-004  0.0000000000000000E+000  0.0000000000000000E+000
  0.3906555283615465E-002  0.2723755701916736E-001  0.3980584636545144E-002  0.2723523739948318E-001  0.3980241216238026E-002  0.7747992011129640E-013  0.4365585932510870E-005  0.3144050247934918E+008  0.4973302043740408E+029  0.8807924249878939E+001  0.3896138123471238E+017  0.2981879688293133E-003  0.4358836460470707E-004  0.0000000000000000E+000  0.0000000000000000E+000
  0.4245063285928066E-002  0.2723818490606016E-001  0.3980675606902545E-002  0.2723544666054151E-001  0.3980270217600701E-002  0.6717552740955000E-013  0.5154857432307707E-005  0.3143981367224009E+008  0.6381238675858090E+029  0.8807571574178443E+001  0.3895890398393166E+017  0.3520811659974544E-003  0.5144324814870628E-004  0.0000000000000000E+000  0.0000000000000000E+000
  0.4583571288240667E-002  0.2723886506095221E-001  0.3980774151148473E-002  0.2723567401411646E-001  0.3980301723656754E-002  0.1396177405187929E-012  0.6009654719429430E-005  0.3143906752680356E+008  0.8032544736684277E+029  0.8807189547442213E+001  0.3895622063859650E+017  0.4104387069245886E-003  0.6000024203357509E-004  0.0000000000000000E+000  0.0000000000000000E+000
  0.4922079290553267E-002  0.2723959750897573E-001  0.3980880271384309E-002  0.2723591870522394E-001  0.3980335618997488E-002  0.1316334615087376E-012  0.6929972594292983E-005  0.3143826683672113E+008  0.9946604097855757E+029  0.8806779602486007E+001  0.3895334126635625E+017  0.4732761297555508E-003  0.6914764850398401E-004  0.0000000000000000E+000  0.0000000000000000E+000
  0.5348615361687045E-002  0.2724059487014808E-001  0.3981024774227811E-002  0.2723624824338489E-001  0.3980381281769461E-002  0.2430807561786110E-012  0.8182898484708679E-005  0.3143717860162770E+008  0.1276252231999001E+030  0.8806222449311248E+001  0.3894942806946046E+017  0.5587822031992495E-003  0.8168926620395170E-004  0.0000000000000000E+000  0.0000000000000000E+000
  0.5775151432820822E-002  0.2724167440941151E-001  0.3981181182301640E-002  0.2723660329707350E-001  0.3980430406520742E-002  0.2705665259015089E-012  0.9539827732685151E-005  0.3143600378406958E+008  0.1606514177920563E+030  0.8805620988038303E+001  0.3894520384137325E+017  0.6514159528779643E-003  0.9517170377223975E-004  0.0000000000000000E+000  0.0000000000000000E+000
  0.6201687503954599E-002  0.2724283642197140E-001  0.3981349540805232E-002  0.2723698954363781E-001  0.3980483966903968E-002  0.4114735146113152E-012  0.1100075405956895E-004  0.3143475092046576E+008  0.1989320820586571E+030  0.8804979603809391E+001  0.3894069936848281E+017  0.7510629325592314E-003  0.1098015112496321E-003  0.0000000000000000E+000  0.0000000000000000E+000
  0.6816285248464634E-002  0.2724465735390479E-001  0.3981613365455058E-002  0.2723759573526514E-001  0.3980567897190502E-002  0.5598208035185626E-012  0.1328867445681637E-004  0.3143281927035194E+008  0.2641122530989594E+030  0.8803990801828681E+001  0.3893375526524989E+017  0.9072049880361789E-003  0.1325405449189126E-003  0.0000000000000000E+000  0.0000000000000000E+000
  0.7430882992974669E-002  0.2724665011176814E-001  0.3981902088150199E-002  0.2723825690474257E-001  0.3980659570775500E-002  0.8048616117810591E-012  0.1579243168384377E-004  0.3143071216614765E+008  0.3421638022472812E+030  0.8802912257907520E+001  0.3892618142316296E+017  0.1077883380213521E-002  0.1575815392932138E-003  0.0000000000000000E+000  0.0000000000000000E+000
  0.7890367175076953E-002  0.2724825253981596E-001  0.3982134260009458E-002  0.2723879925531150E-001  0.3980734710941872E-002  0.1060448931115998E-011  0.1780525464289531E-004  0.3142901155229744E+008  0.4096175674987915E+030  0.8802041828980702E+001  0.3892006941962308E+017  0.1215222603479603E-002  0.1775413688008280E-003  0.0000000000000000E+000  0.0000000000000000E+000
