                                                                                                                                                                                                                                                                
                        1                        2                        3                        4                        5                        6                        7                        8                        9                       10                       11                       12                       13
                        j                        l                     n_pg                      n_p                      n_g                      eta                Re(omega)                Im(omega)                 Re(freq)                 Im(freq)                      f_T                        H                   L_star
                       79                        2                      -42                        0                       42 -0.1000000000000000E+001  0.2817492527471297E-001 -0.5956213290208995E-002  0.1086407154836650E+001 -0.2296677869106475E+000  0.2334898904797924E+002  0.3969132071178305E-003  0.2231040837440136E+038
                        1                        2                        3                        4                        5                        6                        7                        8                        9                       10                       11                       12                       13                       14                       15
                        x                 Re(xi_r)                 Im(xi_r)                 Re(xi_h)                 Im(xi_h)                    dW_dx                    dE_dx                        T                      M_r                      rho                        P                Re(lag_L)                Im(lag_L)            Re(prop_type)            Im(prop_type)
  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.3144428011617867E+008  0.0000000000000000E+000  0.8809858528928345E+001  0.3897496902307036E+017  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.1230439216380033E-002  0.2643766801130827E-012 -0.5440167890393951E-013  0.1322097443597949E-012 -0.2736060363946801E-013  0.1402097316394121E-034  0.3472784301381985E-028  0.3144393308720459E+008  0.1554156788989439E+028  0.8809680832282577E+001  0.3897372068094722E+017  0.1134402040160018E-015 -0.3647534871983796E-016  0.0000000000000000E+000  0.0000000000000000E+000
  0.1270416807058672E-002  0.2729736052486065E-012 -0.5619892093678653E-013  0.1365392902357201E-012 -0.2824413701658922E-013 -0.3006231693255733E-035  0.3947826715966796E-028  0.3144390973855364E+008  0.1710616600560200E+028  0.8809669174669139E+001  0.3897363700168143E+017  0.1326447974226653E-015 -0.3054056333792126E-016  0.0000000000000000E+000  0.0000000000000000E+000
  0.1310394397737311E-002  0.2815741012950831E-012 -0.5799192621331884E-013  0.1408458443351767E-012 -0.2911062364549531E-013 -0.7217023216728524E-035  0.4469078022319410E-028  0.3144388433605194E+008  0.1877239654746777E+028  0.8809656335440325E+001  0.3897354569415511E+017  0.1438350510548317E-015 -0.2677192173486687E-016  0.0000000000000000E+000  0.0000000000000000E+000
  0.1390349579094589E-002  0.2987732700919215E-012 -0.6156577750203073E-013  0.1494284998536420E-012 -0.3086049611953628E-013 -0.9499278874353471E-036  0.5663404968194549E-028  0.3144382864427352E+008  0.2242254627296695E+028  0.8809627854432872E+001  0.3897334508263110E+017  0.1657731277832147E-015 -0.3061805635768534E-016  0.0000000000000000E+000  0.0000000000000000E+000
  0.1470304760451867E-002  0.3159670979356651E-012 -0.6513098238203700E-013  0.1580113986258475E-012 -0.3263076920662437E-013  0.2864516146210758E-035  0.7082591329369500E-028  0.3144376856142339E+008  0.2651759927374977E+028  0.8809596873849895E+001  0.3897312862292914E+017  0.1959881898000829E-015 -0.3955704633106810E-016  0.0000000000000000E+000  0.0000000000000000E+000
  0.1550259941809145E-002  0.3331580714417051E-012 -0.6869249390059385E-013  0.1666036004704221E-012 -0.3440127095620622E-013 -0.3423677480414095E-036  0.8753629548075130E-028  0.3144370663705524E+008  0.3108313681728273E+028  0.8809564878275756E+001  0.3897290609147664E+017  0.2314688876621752E-015 -0.4609346891351411E-016  0.0000000000000000E+000  0.0000000000000000E+000
  0.1600629065271668E-002  0.3439872882280036E-012 -0.7093438299153461E-013  0.1720160297709232E-012 -0.3551469905158552E-013 -0.9109653540289412E-036  0.9947957042799922E-028  0.3144366696231511E+008  0.3421234094956921E+028  0.8809544433321081E+001  0.3897276371824376E+017  0.2545938140044860E-015 -0.5008577557749917E-016  0.0000000000000000E+000  0.0000000000000000E+000
  0.1650998188734191E-002  0.3548160334495214E-012 -0.7317498713441150E-013  0.1774274972233935E-012 -0.3662892008775988E-013 -0.2685473730033542E-036  0.1126044212938584E-027  0.3144362604470272E+008  0.3754480828278506E+028  0.8809523415974958E+001  0.3897261670452885E+017  0.2790394498341809E-015 -0.5493723749806016E-016  0.0000000000000000E+000  0.0000000000000000E+000
  0.1751736435659237E-002  0.3764721941070439E-012 -0.7765352226022147E-013  0.1882509925718827E-012 -0.3885948000307190E-013  0.3639249663555931E-036  0.1427056213550383E-027  0.3144354046079358E+008  0.4484511391965673E+028  0.8809479599835903E+001  0.3897230882699723E+017  0.3332108000176390E-015 -0.6591694241998354E-016  0.0000000000000000E+000  0.0000000000000000E+000
  0.1852474682584283E-002  0.3981270789555374E-012 -0.8212943635635748E-013  0.1990754888797157E-012 -0.4109100051184403E-013 -0.4771587547360348E-037  0.1784734375542679E-027  0.3144344984519152E+008  0.5303521574222735E+028  0.8809433301314513E+001  0.3897198260157369E+017  0.3942357209570441E-015 -0.7795958874785732E-016  0.0000000000000000E+000  0.0000000000000000E+000
  0.1953212929509329E-002  0.4197811337562232E-012 -0.8660346176693243E-013  0.2099001833223060E-012 -0.4332288375956896E-013 -0.4307214267133650E-037  0.2205772615697900E-027  0.3144335415775765E+008  0.6216627464998507E+028  0.8809384391867930E+001  0.3897163817095206E+017  0.4620658137541705E-015 -0.9132624706544209E-016  0.0000000000000000E+000  0.0000000000000000E+000
  0.2016675058538518E-002  0.4334222149385868E-012 -0.8942121241005155E-013  0.2167194685142593E-012 -0.4472922334804453E-013  0.1072288239177969E-036  0.2506712761100032E-027  0.3144329129613858E+008  0.6842470209668482E+028  0.8809352225060987E+001  0.3897141199465319E+017  0.5085629204345856E-015 -0.1005641664570997E-015  0.0000000000000000E+000  0.0000000000000000E+000
  0.2080137187567707E-002  0.4470630942760718E-012 -0.9223852308098311E-013  0.2235388710764367E-012 -0.4613573655052840E-013  0.9994962725334321E-037  0.2837444207582167E-027  0.3144322647631420E+008  0.7508965303799695E+028  0.8809319044365031E+001  0.3897117880543631E+017  0.5581172214019517E-015 -0.1103827816328630E-015  0.0000000000000000E+000  0.0000000000000000E+000
  0.2207061445626085E-002  0.4743444131466290E-012 -0.9787213627414133E-013  0.2371778634565017E-012 -0.4894906546240121E-013  0.6934359130638510E-037  0.3595953877339602E-027  0.3144309091728190E+008  0.8969028353809802E+028  0.8809249628777154E+001  0.3897069119969658E+017  0.6666499571417071E-015 -0.1318519713717500E-015  0.0000000000000000E+000  0.0000000000000000E+000
  0.2333985703684463E-002  0.5016252859399133E-012 -0.1035047055760356E-012  0.2508170149187453E-012 -0.5176274794013607E-013  0.1448642885252812E-036  0.4497238860855366E-027  0.3144294739112885E+008  0.1060704796444996E+029  0.8809176120049733E+001  0.3897017497667878E+017  0.7883902304427600E-015 -0.1559468042263723E-015  0.0000000000000000E+000  0.0000000000000000E+000
  0.2460909961742842E-002  0.5289058544479119E-012 -0.1091365376035809E-012  0.2644563038395366E-012 -0.5457670130042661E-013  0.1912811056990119E-036  0.5558181095535653E-027  0.3144279580832796E+008  0.1243325503153898E+029  0.8809098493133275E+001  0.3896962975940792E+017  0.9241260600661744E-015 -0.1828115823168350E-015  0.0000000000000000E+000  0.0000000000000000E+000
  0.2540869241199746E-002  0.5460918545838391E-012 -0.1126841724550976E-012  0.2730487910790933E-012 -0.5634952505018048E-013  0.2186519049193485E-036  0.6316504848982068E-027  0.3144269616546873E+008  0.1368494675077477E+029  0.8809047472107453E+001  0.3896927134566210E+017  0.1017156722687634E-014 -0.2012186455653866E-015  0.0000000000000000E+000  0.0000000000000000E+000
  0.2620828520656651E-002  0.5632777935275801E-012 -0.1162316379917110E-012  0.2816413094820012E-012 -0.5812241128804723E-013  0.2722587977874386E-036  0.7149895483631641E-027  0.3144259333715286E+008  0.1501794219641636E+029  0.8808994820156958E+001  0.3896890147645608E+017  0.1116226689934553E-014 -0.2208234630559676E-015  0.0000000000000000E+000  0.0000000000000000E+000
  0.2780747079570460E-002  0.5976495508270267E-012 -0.1233261868539594E-012  0.2988264293754879E-012 -0.6166833242642438E-013  0.3899141185717579E-036  0.9061214489776009E-027  0.3144237812421418E+008  0.1793807443093998E+029  0.8808884623516668E+001  0.3896812737218206E+017  0.1333253205819424E-014 -0.2637698320974755E-015  0.0000000000000000E+000  0.0000000000000000E+000
  0.2940665638484269E-002  0.6320212021634953E-012 -0.1304203475187948E-012  0.3160116447203319E-012 -0.6521440915397687E-013  0.5400306669569851E-036  0.1133229671888987E-026  0.3144215016964765E+008  0.2121411113446382E+029  0.8808767903291743E+001  0.3896730744773930E+017  0.1576723172350701E-014 -0.3119465087306721E-015  0.0000000000000000E+000  0.0000000000000000E+000
  0.3100584197398078E-002  0.6663928088377733E-012 -0.1375142419064962E-012  0.3331969381616786E-012 -0.6876060306805484E-013  0.7455804042152103E-036  0.1400567613671133E-026  0.3144190947360448E+008  0.2486651016682734E+029  0.8808644659577121E+001  0.3896644170446609E+017  0.1848154303661127E-014 -0.3656562531240394E-015  0.0000000000000000E+000  0.0000000000000000E+000
  0.3201330583175252E-002  0.6880464197176632E-012 -0.1419831928799235E-012  0.3440234619285990E-012 -0.7099470303568270E-013  0.9039332542220697E-036  0.1591653461595361E-026  0.3144175130700704E+008  0.2736991352368183E+029  0.8808563673834762E+001  0.3896587281246119E+017  0.2034192595364473E-014 -0.4024679928019757E-015  0.0000000000000000E+000  0.0000000000000000E+000
  0.3302076968952425E-002  0.7097000390873665E-012 -0.1464520877766989E-012  0.3548500097692904E-012 -0.7322883411575355E-013  0.1089326720187014E-035  0.1801654621276742E-026  0.3144158809838855E+008  0.3003592119640789E+029  0.8808480106831501E+001  0.3896528579189582E+017  0.2232310529727862E-014 -0.4416703532257027E-015  0.0000000000000000E+000  0.0000000000000000E+000
  0.3503569740506772E-002  0.7530073382695890E-012 -0.1553897613863098E-012  0.3765031703995040E-012 -0.7769717309819898E-013  0.1548699105584923E-035  0.2283274855010004E-026  0.3144124652044245E+008  0.3587620517142375E+029  0.8808305211284477E+001  0.3896405724109603E+017  0.2666302865125562E-014 -0.5275450427447464E-015  0.0000000000000000E+000  0.0000000000000000E+000
  0.3705062512061119E-002  0.7963147370917856E-012 -0.1643273280344023E-012  0.3981564171454239E-012 -0.8216560139461864E-013  0.2171364572594477E-035  0.2855546171971428E-026  0.3144088467050233E+008  0.4242827045871076E+029  0.8808119937448140E+001  0.3896275580441345E+017  0.3153165515986324E-014 -0.6238808456810412E-015  0.0000000000000000E+000  0.0000000000000000E+000
  0.3906555283615465E-002  0.8396222681361467E-012 -0.1732648385557970E-012  0.4198097464580557E-012 -0.8663410520477350E-013  0.2970797907193836E-035  0.3529184562368949E-026  0.3144050247934918E+008  0.4973302043740408E+029  0.8807924249878939E+001  0.3896138123471238E+017  0.3695930562676464E-014 -0.7312788286362614E-015  0.0000000000000000E+000  0.0000000000000000E+000
  0.4033495784482690E-002  0.8669060998811289E-012 -0.1788954586905639E-012  0.4334513940028930E-012 -0.8944929884599334E-013  0.3609042677719509E-035  0.4010691660791797E-026  0.3144025107334081E+008  0.5473989053652316E+029  0.8807795527007746E+001  0.3896047705636739E+017  0.4067940900002012E-014 -0.8048874943509537E-015  0.0000000000000000E+000  0.0000000000000000E+000
  0.4160436285349916E-002  0.8941900004602129E-012 -0.1845260779966870E-012  0.4470930740108672E-012 -0.9226451857694990E-013  0.4365010993676399E-035  0.4539860774268393E-026  0.3143999135860797E+008  0.6007195925795428E+029  0.8807662550728240E+001  0.3895954301122396E+017  0.4464102450052146E-014 -0.8832775013906613E-015  0.0000000000000000E+000  0.0000000000000000E+000
  0.4414317287084366E-002  0.9487580428265009E-012 -0.1957873401740110E-012  0.4743765297953569E-012 -0.9789502683340954E-013  0.6166915563278083E-035  0.5753459349566975E-026  0.3143944759221375E+008  0.7175258917648111E+029  0.8807384140143281E+001  0.3895758744389098E+017  0.5331901279005355E-014 -0.1054990298601654E-014  0.0000000000000000E+000  0.0000000000000000E+000
  0.4668198288818816E-002  0.1003326410603714E-011 -0.2070486530595757E-012  0.5016601233730438E-012 -0.1035256266310803E-012  0.8689036486112455E-035  0.7195470276156091E-026  0.3143887235870968E+008  0.8485669384517942E+029  0.8807089622562824E+001  0.3895551877975922E+017  0.6305386058472825E-014 -0.1247614040268251E-014  0.0000000000000000E+000  0.0000000000000000E+000
  0.4922079290553267E-002  0.1057895133678632E-011 -0.2183100422322692E-012  0.5289438517225235E-012 -0.1091563154117181E-012  0.1186310257772867E-034  0.8892889327300601E-026  0.3143826683672113E+008  0.9946604097855757E+029  0.8806779602486007E+001  0.3895334126635625E+017  0.7390611919666313E-014 -0.1462354910185584E-014  0.0000000000000000E+000  0.0000000000000000E+000
  0.5082030317228434E-002  0.1092274903332948E-011 -0.2254050291377502E-012  0.5461333074763825E-012 -0.1127038242582904E-012  0.1440801390840620E-034  0.1010621598307593E-025  0.3143786943682730E+008  0.1094799808281039E+030  0.8806576140776789E+001  0.3895191222097474E+017  0.8134428458632559E-014 -0.1609531374777487E-014  0.0000000000000000E+000  0.0000000000000000E+000
  0.5241981343903601E-002  0.1126654827616981E-011 -0.2325000576162940E-012  0.5633228023733213E-012 -0.1162513679488651E-012  0.1752395430726757E-034  0.1143963717947901E-025  0.3143745911097253E+008  0.1201442829589508E+030  0.8806366062795940E+001  0.3895043673060041E+017  0.8926524598636322E-014 -0.1766271084068078E-014  0.0000000000000000E+000  0.0000000000000000E+000
  0.5561883397253933E-002  0.1195415185817047E-011 -0.2466902586717531E-012  0.5977019326111917E-012 -0.1233465507160051E-012  0.2455614645660368E-034  0.1449768406080401E-025  0.3143660148211733E+008  0.1435057250214402E+030  0.8805926983101799E+001  0.3894735290999813E+017  0.1066154993923640E-013 -0.2109592913078438E-014  0.0000000000000000E+000  0.0000000000000000E+000
  0.5881785450604267E-002  0.1264176215320009E-011 -0.2608806597816835E-012  0.6320813199686846E-012 -0.1304418824269338E-012  0.3494564075085020E-034  0.1813124211190198E-025  0.3143569755154474E+008  0.1697138449384682E+030  0.8805464213477370E+001  0.3894410279367462E+017  0.1260779571470608E-013 -0.2494703501811588E-014  0.0000000000000000E+000  0.0000000000000000E+000
  0.6201687503954599E-002  0.1332937974880853E-011 -0.2750712847511057E-012  0.6664610197980798E-012 -0.1375373780096500E-012  0.4717756139915454E-034  0.2240831494495132E-025  0.3143475092046576E+008  0.1989320820586571E+030  0.8804979603809391E+001  0.3894069936848281E+017  0.1477732191857747E-013 -0.2924027823724849E-014  0.0000000000000000E+000  0.0000000000000000E+000
  0.6406553418791278E-002  0.1376973542971812E-011 -0.2841591141043988E-012  0.6884780208876639E-012 -0.1420814331051613E-012  0.5813692380610807E-034  0.2551840449379725E-025  0.3143412403898983E+008  0.2193001206650301E+030  0.8804658696914146E+001  0.3893844567589822E+017  0.1628956793491038E-013 -0.3223242491185191E-014  0.0000000000000000E+000  0.0000000000000000E+000
