                                                                                                                                                                                                                                                                
                        1                        2                        3                        4                        5                        6                        7                        8                        9                       10                       11                       12                       13
                        j                        l                     n_pg                      n_p                      n_g                      eta                Re(omega)                Im(omega)                 Re(freq)                 Im(freq)                      f_T                        H                   L_star
                       86                        2                     -108                        0                      108 -0.9999999849674646E+000  0.2836690923244872E-001 -0.5510582447884957E-003  0.1093809933841894E+001 -0.2124845457557462E-001  0.2332952928975121E+002  0.4023407697009919E-003  0.2231040837440136E+038
                        1                        2                        3                        4                        5                        6                        7                        8                        9                       10                       11                       12                       13                       14                       15
                        x                 Re(xi_r)                 Im(xi_r)                 Re(xi_h)                 Im(xi_h)                    dW_dx                    dE_dx                        T                      M_r                      rho                        P                Re(lag_L)                Im(lag_L)            Re(prop_type)            Im(prop_type)
  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.3144428011617867E+008  0.0000000000000000E+000  0.8809858528928345E+001  0.3897496902307036E+017  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.1230439216380033E-002  0.4277506717832615E-005  0.1332771841398004E-006  0.2138735265786647E-005  0.6663523440447363E-007  0.3507351885320019E-022  0.8725970748823173E-014  0.3144393308720459E+008  0.1554156788989439E+028  0.8809680832282577E+001  0.3897372068094722E+017  0.4657195965801634E-008  0.1452236493358328E-009  0.0000000000000000E+000  0.0000000000000000E+000
  0.1270416807058672E-002  0.4416487675132920E-005  0.1376069273068604E-006  0.2208225172789375E-005  0.6879970953000457E-007  0.7136349400975072E-022  0.9916489440220319E-014  0.3144390973855364E+008  0.1710616600560200E+028  0.8809669174669139E+001  0.3897363700168143E+017  0.5125923419127536E-008  0.1598026282176345E-009  0.0000000000000000E+000  0.0000000000000000E+000
  0.1310394397737311E-002  0.4555469101558098E-005  0.1419365859550695E-006  0.2277715135277326E-005  0.7096383965576515E-007  0.1020967167860862E-021  0.1122486262119279E-013  0.3144388433605194E+008  0.1877239654746777E+028  0.8809656335440325E+001  0.3897354569415511E+017  0.5625184766273747E-008  0.1753088445993261E-009  0.0000000000000000E+000  0.0000000000000000E+000
  0.1390349579094589E-002  0.4833433392286102E-005  0.1505955461362521E-006  0.2416695667690249E-005  0.7529171410623616E-007  0.1476544777928734E-021  0.1422553961883805E-013  0.3144382864427352E+008  0.2242254627296695E+028  0.8809627854432872E+001  0.3897334508263110E+017  0.6718966008046029E-008  0.2093542652044434E-009  0.0000000000000000E+000  0.0000000000000000E+000
  0.1470304760451867E-002  0.5111399676365179E-005  0.1592540344087246E-006  0.2555676889320546E-005  0.7961936159972563E-007  0.1975963596395645E-021  0.1779106602869627E-013  0.3144376856142339E+008  0.2651759927374977E+028  0.8809596873849895E+001  0.3897312862292914E+017  0.7946041003152310E-008  0.2476036774392263E-009  0.0000000000000000E+000  0.0000000000000000E+000
  0.1550259941809145E-002  0.5389368001105588E-005  0.1679120809450294E-006  0.2694658604001501E-005  0.8394674974615042E-007  0.2731093825254521E-021  0.2198823969920731E-013  0.3144370663705524E+008  0.3108313681728273E+028  0.8809564878275756E+001  0.3897290609147664E+017  0.9314065041823781E-008  0.2902333592699901E-009  0.0000000000000000E+000  0.0000000000000000E+000
  0.1600629065271668E-002  0.5564479915045297E-005  0.1733661407276431E-006  0.2782212720169157E-005  0.8667267636749574E-007  0.3326263241101960E-021  0.2498820604236957E-013  0.3144366696231511E+008  0.3421234094956921E+028  0.8809544433321081E+001  0.3897276371824376E+017  0.1025170495985299E-007  0.3194438781255874E-009  0.0000000000000000E+000  0.0000000000000000E+000
  0.1650998188734191E-002  0.5739592649239356E-005  0.1788200237148589E-006  0.2869767040662652E-005  0.8939845636874914E-007  0.4006397643656704E-021  0.2828515687389959E-013  0.3144362604470272E+008  0.3754480828278506E+028  0.8809523415974958E+001  0.3897261670452885E+017  0.1125025038949094E-007  0.3505531831706416E-009  0.0000000000000000E+000  0.0000000000000000E+000
  0.1751736435659237E-002  0.6089820633605595E-005  0.1897272468561463E-006  0.3044876330431236E-005  0.9484957305402783E-007  0.5706986812779833E-021  0.3584652810170904E-013  0.3144354046079358E+008  0.4484511391965673E+028  0.8809479599835903E+001  0.3897230882699723E+017  0.1343771222283999E-007  0.4187046476001752E-009  0.0000000000000000E+000  0.0000000000000000E+000
  0.1852474682584283E-002  0.6440052058809536E-005  0.2006337280521609E-006  0.3219986559856609E-005  0.1003000670198889E-006  0.7981155823457288E-021  0.4483126615279300E-013  0.3144344984519152E+008  0.5303521574222735E+028  0.8809433301314513E+001  0.3897198260157369E+017  0.1589176990671559E-007  0.4951588776606204E-009  0.0000000000000000E+000  0.0000000000000000E+000
  0.1953212929509329E-002  0.6790287070549995E-005  0.2115394387470024E-006  0.3395097843377494E-005  0.1057498937138785E-006  0.1097059677675093E-020  0.5540769314456947E-013  0.3144335415775765E+008  0.6216627464998507E+028  0.8809384391867930E+001  0.3897163817095206E+017  0.1862775025396985E-007  0.5803918830828533E-009  0.0000000000000000E+000  0.0000000000000000E+000
  0.2016675058538518E-002  0.7010926727923264E-005  0.2184093062531096E-006  0.3505413373712170E-005  0.1091827643212310E-006  0.1329433180115036E-020  0.6296733368076745E-013  0.3144329129613858E+008  0.6842470209668482E+028  0.8809352225060987E+001  0.3897141199465319E+017  0.2050297706929416E-007  0.6388081371095182E-009  0.0000000000000000E+000  0.0000000000000000E+000
  0.2080137187567707E-002  0.7231567917867308E-005  0.2252788462565091E-006  0.3615729347413637E-005  0.1126153441360089E-006  0.1600930993712866E-020  0.7127535540038808E-013  0.3144322647631420E+008  0.7508965303799695E+028  0.8809319044365031E+001  0.3897117880543631E+017  0.2250000013112237E-007  0.7010155976559921E-009  0.0000000000000000E+000  0.0000000000000000E+000
  0.2207061445626085E-002  0.7672855080480562E-005  0.2390169025780111E-006  0.3836362693410998E-005  0.1194795934417958E-006  0.2282666625809629E-020  0.9032935968341922E-013  0.3144309091728190E+008  0.8969028353809802E+028  0.8809249628777154E+001  0.3897069119969658E+017  0.2687475823406079E-007  0.8372855177063279E-009  0.0000000000000000E+000  0.0000000000000000E+000
  0.2333985703684463E-002  0.8114148880163173E-005  0.2527535384848483E-006  0.4056998026191027E-005  0.1263425730675549E-006  0.3191976996337499E-020  0.1129701591927408E-012  0.3144294739112885E+008  0.1060704796444996E+029  0.8809176120049733E+001  0.3897017497667878E+017  0.3178265642020513E-007  0.9901522249054173E-009  0.0000000000000000E+000  0.0000000000000000E+000
  0.2460909961742842E-002  0.8555449679070065E-005  0.2664886782892662E-006  0.4277635495949425E-005  0.1332042046189641E-006  0.4386646025577556E-020  0.1396219177309581E-012  0.3144279580832796E+008  0.1243325503153898E+029  0.8809098493133275E+001  0.3896962975940792E+017  0.3725433443709794E-007  0.1160567687891401E-008  0.0000000000000000E+000  0.0000000000000000E+000
  0.2540869241199746E-002  0.8833462493210885E-005  0.2751406907583856E-006  0.4416633038367572E-005  0.1375261442463710E-006  0.5316935817519129E-020  0.1586718139241079E-012  0.3144269616546873E+008  0.1368494675077477E+029  0.8809047472107453E+001  0.3896927134566210E+017  0.4100460644158601E-007  0.1277363698019544E-008  0.0000000000000000E+000  0.0000000000000000E+000
  0.2620828520656651E-002  0.9111478326705489E-005  0.2837920586192867E-006  0.4555631491009485E-005  0.1418474984940536E-006  0.6402441801784325E-020  0.1796076219537750E-012  0.3144259333715286E+008  0.1501794219641636E+029  0.8808994820156958E+001  0.3896890147645608E+017  0.4499844267387491E-007  0.1401734442767055E-008  0.0000000000000000E+000  0.0000000000000000E+000
  0.2780747079570460E-002  0.9667519457974884E-005  0.3010927713556174E-006  0.4833631254989587E-005  0.1504883826234490E-006  0.9126813443863157E-020  0.2276228771459565E-012  0.3144237812421418E+008  0.1793807443093998E+029  0.8808884623516668E+001  0.3896812737218206E+017  0.5374743566045811E-007  0.1674173919330079E-008  0.0000000000000000E+000  0.0000000000000000E+000
  0.2940665638484269E-002  0.1022357376920141E-004  0.3183906692891139E-006  0.5111635042600789E-005  0.1591267204935765E-006  0.1276489272265848E-019  0.2846768320948017E-012  0.3144215016964765E+008  0.2121411113446382E+029  0.8808767903291743E+001  0.3896730744773930E+017  0.6356253802317962E-007  0.1979777182857042E-008  0.0000000000000000E+000  0.0000000000000000E+000
  0.3100584197398078E-002  0.1077964201255449E-004  0.3356855941333073E-006  0.5389643107778174E-005  0.1677623584693662E-006  0.1753695995905747E-019  0.3518383855789760E-012  0.3144190947360448E+008  0.2486651016682734E+029  0.8808644659577121E+001  0.3896644170446609E+017  0.7450499385503131E-007  0.2320444634002636E-008  0.0000000000000000E+000  0.0000000000000000E+000
  0.3201330583175252E-002  0.1112996446119280E-004  0.3465795538030055E-006  0.5564786491918079E-005  0.1732012326952886E-006  0.2126064352065178E-019  0.3998443026132951E-012  0.3144175130700704E+008  0.2736991352368183E+029  0.8808563673834762E+001  0.3896587281246119E+017  0.8200495923427644E-007  0.2553923694891129E-008  0.0000000000000000E+000  0.0000000000000000E+000
  0.3302076968952425E-002  0.1148029293065121E-004  0.3574722288098613E-006  0.5739931706058108E-005  0.1786389327482410E-006  0.2560272957142682E-019  0.4526028577893795E-012  0.3144158809838855E+008  0.3003592119640789E+029  0.8808480106831501E+001  0.3896528579189582E+017  0.8999196718550628E-007  0.2802524763895068E-008  0.0000000000000000E+000  0.0000000000000000E+000
  0.3503569740506772E-002  0.1218096875943575E-004  0.3792535445250258E-006  0.6090227881335312E-005  0.1895106917150924E-006  0.3648008851341630E-019  0.5736024199569944E-012  0.3144124652044245E+008  0.3587620517142375E+029  0.8808305211284477E+001  0.3896405724109603E+017  0.1074882871943900E-006  0.3347083939082963E-008  0.0000000000000000E+000  0.0000000000000000E+000
  0.3705062512061119E-002  0.1288167091483777E-004  0.4010292443291726E-006  0.6440532124590620E-005  0.2003773565333609E-006  0.5104500264470825E-019  0.7173802443737880E-012  0.3144088467050233E+008  0.4242827045871076E+029  0.8808119937448140E+001  0.3896275580441345E+017  0.1271162895096172E-006  0.3957881676290996E-008  0.0000000000000000E+000  0.0000000000000000E+000
  0.3906555283615465E-002  0.1358240091119209E-004  0.4227990089464484E-006  0.6790844915504307E-005  0.2112386245362583E-006  0.7008986075074076E-019  0.8866300737465992E-012  0.3144050247934918E+008  0.4973302043740408E+029  0.8807924249878939E+001  0.3896138123471238E+017  0.1489983466371448E-006  0.4638692166123594E-008  0.0000000000000000E+000  0.0000000000000000E+000
  0.4033495784482690E-002  0.1402387593920389E-004  0.4365107849800695E-006  0.7011546701351059E-005  0.2180783281734202E-006  0.8498055702380518E-019  0.1007610139425652E-011  0.3144025107334081E+008  0.5473989053652316E+029  0.8807795527007746E+001  0.3896047705636739E+017  0.1639964253463722E-006  0.5105294576617912E-008  0.0000000000000000E+000  0.0000000000000000E+000
  0.4160436285349916E-002  0.1446536300620199E-004  0.4502199954847614E-006  0.7232252170701427E-005  0.2249156762045276E-006  0.1023737554296364E-018  0.1140567832290487E-011  0.3143999135860797E+008  0.6007195925795428E+029  0.8807662550728240E+001  0.3895954301122396E+017  0.1799683329357259E-006  0.5602057672880499E-008  0.0000000000000000E+000  0.0000000000000000E+000
  0.4414317287084366E-002  0.1534837493476101E-004  0.4776303604799757E-006  0.7673674695011388E-005  0.2385831214561211E-006  0.1457294098461908E-018  0.1445502317088318E-011  0.3143944759221375E+008  0.7175258917648111E+029  0.8807384140143281E+001  0.3895758744389098E+017  0.2149556412977074E-006  0.6690145317625954E-008  0.0000000000000000E+000  0.0000000000000000E+000
  0.4668198288818816E-002  0.1623143956543381E-004  0.5050295136427980E-006  0.8115113471584027E-005  0.2522403953478879E-006  0.2040566258430987E-018  0.1807843140864688E-011  0.3143887235870968E+008  0.8485669384517942E+029  0.8807089622562824E+001  0.3895551877975922E+017  0.2542045962291662E-006  0.7910462486054557E-008  0.0000000000000000E+000  0.0000000000000000E+000
  0.4922079290553267E-002  0.1711455993439000E-004  0.5324168147064537E-006  0.8556569316013094E-005  0.2658868761849430E-006  0.2800444606161908E-018  0.2234379453684285E-011  0.3143826683672113E+008  0.9946604097855757E+029  0.8806779602486007E+001  0.3895334126635625E+017  0.2979596798004612E-006  0.9270405075690665E-008  0.0000000000000000E+000  0.0000000000000000E+000
  0.5082030317228434E-002  0.1767097651176717E-004  0.5496651070278406E-006  0.8834705963323414E-005  0.2744787013634016E-006  0.3395284865919299E-018  0.2539281331345284E-011  0.3143786943682730E+008  0.1094799808281039E+030  0.8806576140776789E+001  0.3895191222097474E+017  0.3279499678841009E-006  0.1020248816937408E-007  0.0000000000000000E+000  0.0000000000000000E+000
  0.5241981343903601E-002  0.1822741711578975E-004  0.5669082722175069E-006  0.9112849668097640E-005  0.2830657777785611E-006  0.4093777663146596E-018  0.2874371888932525E-011  0.3143745911097253E+008  0.1201442829589508E+030  0.8806366062795940E+001  0.3895043673060041E+017  0.3598872262167879E-006  0.1119463788386307E-007  0.0000000000000000E+000  0.0000000000000000E+000
  0.5561883397253933E-002  0.1934037360989335E-004  0.6013785006033910E-006  0.9669159669422703E-005  0.3002254934924603E-006  0.5817936883546082E-018  0.3642898336925635E-011  0.3143660148211733E+008  0.1435057250214402E+030  0.8805926983101799E+001  0.3894735290999813E+017  0.4298451007966145E-006  0.1336752241640047E-007  0.0000000000000000E+000  0.0000000000000000E+000
  0.5881785450604267E-002  0.2045343508117823E-004  0.6358263220742460E-006  0.1022550214571268E-004  0.3173648668996686E-006  0.8160214331985406E-018  0.4556115655247376E-011  0.3143569755154474E+008  0.1697138449384682E+030  0.8805464213477370E+001  0.3894410279367462E+017  0.5083212401118444E-006  0.1580417757839883E-007  0.0000000000000000E+000  0.0000000000000000E+000
  0.6201687503954599E-002  0.2156660781620855E-004  0.6702504650815576E-006  0.1078187962159828E-004  0.3344827474567599E-006  0.1117720925957268E-017  0.5631138280058007E-011  0.3143475092046576E+008  0.1989320820586571E+030  0.8804979603809391E+001  0.3894069936848281E+017  0.5958034426489306E-006  0.1851863877509580E-007  0.0000000000000000E+000  0.0000000000000000E+000
  0.6406553418791278E-002  0.2227954714480125E-004  0.6922827769440410E-006  0.1113820418786544E-004  0.3454332994061944E-006  0.1361517944284552E-017  0.6412889397152031E-011  0.3143412403898983E+008  0.2193001206650301E+030  0.8804658696914146E+001  0.3893844567589822E+017  0.6567826098830933E-006  0.2041109670830043E-007  0.0000000000000000E+000  0.0000000000000000E+000
  0.6611419333627956E-002  0.2299253631103607E-004  0.7143045070629231E-006  0.1149454350859861E-004  0.3563740044258787E-006  0.1644880622022329E-017  0.7273343059247688E-011  0.3143348065424039E+008  0.2410125478630249E+030  0.8804329351797916E+001  0.3893613276779258E+017  0.7217848673967142E-006  0.2242601758481836E-007  0.0000000000000000E+000  0.0000000000000000E+000
