                                                                                                                                                                                                                                                                
                        1                        2                        3                        4                        5                        6                        7                        8                        9                       10                       11                       12                       13
                        j                        l                     n_pg                      n_p                      n_g                      eta                Re(omega)                Im(omega)                 Re(freq)                 Im(freq)                      f_T                        H                   L_star
                      180                        2                      -20                        0                       20 -0.9999985479341144E+000  0.1589286432490062E+000 -0.1932503473944258E-002  0.6128187154028245E+001 -0.7451610183058814E-001  0.1620062923001455E+002  0.1262915682248492E-001  0.2231040837440136E+038
                        1                        2                        3                        4                        5                        6                        7                        8                        9                       10                       11                       12                       13                       14                       15
                        x                 Re(xi_r)                 Im(xi_r)                 Re(xi_h)                 Im(xi_h)                    dW_dx                    dE_dx                        T                      M_r                      rho                        P                Re(lag_L)                Im(lag_L)            Re(prop_type)            Im(prop_type)
  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.3144428011617867E+008  0.0000000000000000E+000  0.8809858528928345E+001  0.3897496902307036E+017  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.1230439216380033E-002  0.4501194764092335E-003  0.1554109009968978E-003  0.2250577138062496E-003  0.7770474975460603E-004  0.7577592154095331E-019  0.1080381918638269E-009  0.3144393308720459E+008  0.1554156788989439E+028  0.8809680832282577E+001  0.3897372068094722E+017  0.4897982150524492E-006  0.1691229600684361E-006  0.0000000000000000E+000  0.0000000000000000E+000
  0.1270416807058672E-002  0.4647443338892814E-003  0.1604603650442395E-003  0.2323700656522587E-003  0.8022945490233678E-004  0.1994685713917473E-018  0.1227782493776783E-009  0.3144390973855364E+008  0.1710616600560200E+028  0.8809669174669139E+001  0.3897363700168143E+017  0.5391000677833941E-006  0.1861422257609684E-006  0.0000000000000000E+000  0.0000000000000000E+000
  0.1310394397737311E-002  0.4793692378408219E-003  0.1655098450568195E-003  0.2396824253154747E-003  0.8275416250247719E-004  0.2345940296973775E-018  0.1389774872181181E-009  0.3144388433605194E+008  0.1877239654746777E+028  0.8809656335440325E+001  0.3897354569415511E+017  0.5916141621305506E-006  0.2042716813435161E-006  0.0000000000000000E+000  0.0000000000000000E+000
  0.1390349579094589E-002  0.5086191847950385E-003  0.1756088528276214E-003  0.2543071749054063E-003  0.8780358813617678E-004  0.2997194630881284E-018  0.1761294514711166E-009  0.3144382864427352E+008  0.2242254627296695E+028  0.8809627854432872E+001  0.3897334508263110E+017  0.7066458284730446E-006  0.2439924029792159E-006  0.0000000000000000E+000  0.0000000000000000E+000
  0.1470304760451867E-002  0.5378693198584444E-003  0.1857079252220996E-003  0.2689319699619543E-003  0.9285302929783522E-004  0.4514467511259389E-018  0.2202748800451779E-009  0.3144376856142339E+008  0.2651759927374977E+028  0.8809596873849895E+001  0.3897312862292914E+017  0.8356972023324355E-006  0.2885500870222724E-006  0.0000000000000000E+000  0.0000000000000000E+000
  0.1550259941809145E-002  0.5671196466995171E-003  0.1958070635104263E-003  0.2835568070747169E-003  0.9790248473595785E-004  0.5983540527919947E-018  0.2722408096208178E-009  0.3144370663705524E+008  0.3108313681728273E+028  0.8809564878275756E+001  0.3897290609147664E+017  0.9795762076990805E-006  0.3382291770007985E-006  0.0000000000000000E+000  0.0000000000000000E+000
  0.1600629065271668E-002  0.5855464858349197E-003  0.2021692211987246E-003  0.2927699892555948E-003  0.1010834809442060E-003  0.7330451954645615E-018  0.3093838862339604E-009  0.3144366696231511E+008  0.3421234094956921E+028  0.8809544433321081E+001  0.3897276371824376E+017  0.1078188689572044E-005  0.3722784349048125E-006  0.0000000000000000E+000  0.0000000000000000E+000
  0.1650998188734191E-002  0.6039734027202181E-003  0.2085314056027667E-003  0.3019831863664836E-003  0.1042644822007616E-003  0.8860626428565782E-018  0.3502039540236294E-009  0.3144362604470272E+008  0.3754480828278506E+028  0.8809523415974958E+001  0.3897261670452885E+017  0.1183207383874765E-005  0.4085390040111712E-006  0.0000000000000000E+000  0.0000000000000000E+000
  0.1751736435659237E-002  0.6408274748423401E-003  0.2212558563084365E-003  0.3204096288709372E-003  0.1106265010868277E-003  0.1256365989056167E-017  0.4438224012369018E-009  0.3144354046079358E+008  0.4484511391965673E+028  0.8809479599835903E+001  0.3897230882699723E+017  0.1413265780766629E-005  0.4879740779885534E-006  0.0000000000000000E+000  0.0000000000000000E+000
  0.1852474682584283E-002  0.6776818729582523E-003  0.2339804190258576E-003  0.3388361430311691E-003  0.1169885442909215E-003  0.1764812364998121E-017  0.5550636302328661E-009  0.3144344984519152E+008  0.5303521574222735E+028  0.8809433301314513E+001  0.3897198260157369E+017  0.1671362477203428E-005  0.5770898599531389E-006  0.0000000000000000E+000  0.0000000000000000E+000
  0.1953212929509329E-002  0.7145366111311787E-003  0.2467050985888134E-003  0.3572627391060868E-003  0.1233506153233606E-003  0.2417723155298108E-017  0.6860116063976970E-009  0.3144335415775765E+008  0.6216627464998507E+028  0.8809384391867930E+001  0.3897163817095206E+017  0.1959109329669758E-005  0.6764433907944962E-006  0.0000000000000000E+000  0.0000000000000000E+000
  0.2016675058538518E-002  0.7377541924651834E-003  0.2547213343917813E-003  0.3688709971090065E-003  0.1273585480537345E-003  0.2934641127265073E-017  0.7796082983729448E-009  0.3144329129613858E+008  0.6842470209668482E+028  0.8809352225060987E+001  0.3897141199465319E+017  0.2156329140687093E-005  0.7445398266651207E-006  0.0000000000000000E+000  0.0000000000000000E+000
  0.2080137187567707E-002  0.7609719192588192E-003  0.2627376201767861E-003  0.3804792892302751E-003  0.1313664923638281E-003  0.3535707005367773E-017  0.8824706872338060E-009  0.3144322647631420E+008  0.7508965303799695E+028  0.8809319044365031E+001  0.3897117880543631E+017  0.2366358859816201E-005  0.8170588641108771E-006  0.0000000000000000E+000  0.0000000000000000E+000
  0.2207061445626085E-002  0.8074078267838264E-003  0.2787703477250943E-003  0.4036959807084629E-003  0.1393824173970242E-003  0.5032125412104609E-017  0.1118379762234101E-008  0.3144309091728190E+008  0.8969028353809802E+028  0.8809249628777154E+001  0.3897069119969658E+017  0.2826457179287290E-005  0.9759222747524441E-006  0.0000000000000000E+000  0.0000000000000000E+000
  0.2333985703684463E-002  0.8538443642556559E-003  0.2948032917308412E-003  0.4269128255721766E-003  0.1473983945263903E-003  0.7051971286313845E-017  0.1398696694378900E-008  0.3144294739112885E+008  0.1060704796444996E+029  0.8809176120049733E+001  0.3897017497667878E+017  0.3342626429453255E-005  0.1154145674017570E-005  0.0000000000000000E+000  0.0000000000000000E+000
  0.2460909961742842E-002  0.9002815661516188E-003  0.3108364640418705E-003  0.4501298362376865E-003  0.1554144279880948E-003  0.9670458580380360E-017  0.1728672865198366E-008  0.3144279580832796E+008  0.1243325503153898E+029  0.8809098493133275E+001  0.3896962975940792E+017  0.3918088420419014E-005  0.1352841670632621E-005  0.0000000000000000E+000  0.0000000000000000E+000
  0.2540869241199746E-002  0.9295362608796060E-003  0.3209371056623027E-003  0.4647560935047486E-003  0.1604643699444539E-003  0.1174134148813697E-016  0.1964529767939250E-008  0.3144269616546873E+008  0.1368494675077477E+029  0.8809047472107453E+001  0.3896927134566210E+017  0.4312507787549859E-005  0.1489027608715912E-005  0.0000000000000000E+000  0.0000000000000000E+000
  0.2620828520656651E-002  0.9587912423168153E-003  0.3310378458006049E-003  0.4793824213887412E-003  0.1655143358838654E-003  0.1412411264483668E-016  0.2223735807359081E-008  0.3144259333715286E+008  0.1501794219641636E+029  0.8808994820156958E+001  0.3896890147645608E+017  0.4732543499311653E-005  0.1634057189983422E-005  0.0000000000000000E+000  0.0000000000000000E+000
  0.2780747079570460E-002  0.1017302103811740E-002  0.3512396348554510E-003  0.5086352974355466E-003  0.1756143425825073E-003  0.2014831271675808E-016  0.2818210932546897E-008  0.3144237812421418E+008  0.1793807443093998E+029  0.8808884623516668E+001  0.3896812737218206E+017  0.5652681792929936E-005  0.1951764448478528E-005  0.0000000000000000E+000  0.0000000000000000E+000
  0.2940665638484269E-002  0.1075814216732792E-002  0.3714418539197549E-003  0.5378884852332359E-003  0.1857144551942339E-003  0.2815311947976074E-016  0.3524591763035938E-008  0.3144215016964765E+008  0.2121411113446382E+029  0.8808767903291743E+001  0.3896730744773930E+017  0.6684942380410161E-005  0.2308183131507668E-005  0.0000000000000000E+000  0.0000000000000000E+000
  0.3100584197398078E-002  0.1134327652597114E-002  0.3916445275690995E-003  0.5671420048046394E-003  0.1958146805200466E-003  0.3873527803945931E-016  0.4356111404938261E-008  0.3144190947360448E+008  0.2486651016682734E+029  0.8808644659577121E+001  0.3896644170446609E+017  0.7835766501565072E-005  0.2705542471681072E-005  0.0000000000000000E+000  0.0000000000000000E+000
  0.3201330583175252E-002  0.1171190983132409E-002  0.4043721645127064E-003  0.5855714794520962E-003  0.2021777377043104E-003  0.4685936909862492E-016  0.4950465675493590E-008  0.3144175130700704E+008  0.2736991352368183E+029  0.8808563673834762E+001  0.3896587281246119E+017  0.8624540763349727E-005  0.2977888870079358E-005  0.0000000000000000E+000  0.0000000000000000E+000
  0.3302076968952425E-002  0.1208054885443708E-002  0.4170999979289347E-003  0.6040010965960071E-003  0.2085408432956275E-003  0.5651810243975270E-016  0.5603660265037158E-008  0.3144158809838855E+008  0.3003592119640789E+029  0.8808480106831501E+001  0.3896528579189582E+017  0.9464534040829867E-005  0.3267925637136490E-005  0.0000000000000000E+000  0.0000000000000000E+000
  0.3503569740506772E-002  0.1281784483837836E-002  0.4425562811265180E-003  0.6408607741868118E-003  0.2212672050377069E-003  0.8057665258360923E-016  0.7101729848165650E-008  0.3144124652044245E+008  0.3587620517142375E+029  0.8808305211284477E+001  0.3896405724109603E+017  0.1130463176014313E-004  0.3903272238715207E-005  0.0000000000000000E+000  0.0000000000000000E+000
  0.3705062512061119E-002  0.1355516582195792E-002  0.4680134233564531E-003  0.6777210773572973E-003  0.2339937793651891E-003  0.1123488249891841E-015  0.8881803776259554E-008  0.3144088467050233E+008  0.4242827045871076E+029  0.8808119937448140E+001  0.3896275580441345E+017  0.1336889438633441E-004  0.4616026925044285E-005  0.0000000000000000E+000  0.0000000000000000E+000
  0.3906555283615465E-002  0.1429251324527479E-002  0.4934714741020363E-003  0.7145820437682356E-003  0.2467205789543335E-003  0.1554055838915161E-015  0.1097722914649972E-007  0.3144050247934918E+008  0.4973302043740408E+029  0.8807924249878939E+001  0.3896138123471238E+017  0.1567024355866049E-004  0.5410635484463730E-005  0.0000000000000000E+000  0.0000000000000000E+000
  0.4033495784482690E-002  0.1475705651036791E-002  0.5095105405200456E-003  0.7378048212792843E-003  0.2547385881040169E-003  0.1858227942763971E-015  0.1247503639243318E-007  0.3144025107334081E+008  0.5473989053652316E+029  0.8807795527007746E+001  0.3896047705636739E+017  0.1724755783759151E-004  0.5955249348495762E-005  0.0000000000000000E+000  0.0000000000000000E+000
  0.4160436285349916E-002  0.1522161120918282E-002  0.5255499998216991E-003  0.7610278865549219E-003  0.2627566948914680E-003  0.2289674754310233E-015  0.1412112839149189E-007  0.3143999135860797E+008  0.6007195925795428E+029  0.8807662550728240E+001  0.3895954301122396E+017  0.1892734042785192E-004  0.6535262984091723E-005  0.0000000000000000E+000  0.0000000000000000E+000
  0.4414317287084366E-002  0.1615075650212285E-002  0.5576301518530854E-003  0.8074749140512590E-003  0.2787932134226552E-003  0.3170276056834116E-015  0.1789637042685550E-007  0.3143944759221375E+008  0.7175258917648111E+029  0.8807384140143281E+001  0.3895758744389098E+017  0.2260690068703218E-004  0.7805707146351316E-005  0.0000000000000000E+000  0.0000000000000000E+000
  0.4668198288818816E-002  0.1707995185033367E-002  0.5897120238924416E-003  0.8539232043856651E-003  0.2948301609523054E-003  0.4567964643664830E-015  0.2238229804889753E-007  0.3143887235870968E+008  0.8485669384517942E+029  0.8807089622562824E+001  0.3895551877975922E+017  0.2673468247660071E-004  0.9231011838390157E-005  0.0000000000000000E+000  0.0000000000000000E+000
  0.4922079290553267E-002  0.1800920014216232E-002  0.6217957151905178E-003  0.9003728198497798E-003  0.3108675587882989E-003  0.6091473202682163E-015  0.2766295021136656E-007  0.3143826683672113E+008  0.9946604097855757E+029  0.8806779602486007E+001  0.3895334126635625E+017  0.3133632992875588E-004  0.1081977804220293E-004  0.0000000000000000E+000  0.0000000000000000E+000
  0.5082030317228434E-002  0.1859467689965540E-002  0.6420101738926009E-003  0.9296378676860072E-003  0.3209717335127654E-003  0.7601259501174802E-015  0.3143770475437200E-007  0.3143786943682730E+008  0.1094799808281039E+030  0.8806576140776789E+001  0.3895191222097474E+017  0.3449033107369532E-004  0.1190893242183360E-004  0.0000000000000000E+000  0.0000000000000000E+000
  0.5241981343903601E-002  0.1918017647123636E-002  0.6622254165210107E-003  0.9589034581373702E-003  0.3310760923816260E-003  0.8914105187044685E-015  0.3558617960753845E-007  0.3143745911097253E+008  0.1201442829589508E+030  0.8806366062795940E+001  0.3895043673060041E+017  0.3784917025301055E-004  0.1306847843011870E-004  0.0000000000000000E+000  0.0000000000000000E+000
  0.5561883397253933E-002  0.2035124709268229E-002  0.7026583578718831E-003  0.1017436375706806E-002  0.3512854000352862E-003  0.1297940934445874E-014  0.4510057793662753E-007  0.3143660148211733E+008  0.1435057250214402E+030  0.8805926983101799E+001  0.3894735290999813E+017  0.4520634304924260E-004  0.1560902474754818E-004  0.0000000000000000E+000  0.0000000000000000E+000
  0.5881785450604267E-002  0.2152241738190737E-002  0.7430947239621541E-003  0.1075971812988093E-002  0.3714955637084998E-003  0.1785606420809182E-014  0.5640612196044587E-007  0.3143569755154474E+008  0.1697138449384682E+030  0.8805464213477370E+001  0.3894410279367462E+017  0.5345962590050110E-004  0.1845839441478532E-004  0.0000000000000000E+000  0.0000000000000000E+000
  0.6201687503954599E-002  0.2269369334497575E-002  0.7835347212370095E-003  0.1134509998490606E-002  0.3917066619172747E-003  0.2480047200689322E-014  0.6971463342625684E-007  0.3143475092046576E+008  0.1989320820586571E+030  0.8804979603809391E+001  0.3894069936848281E+017  0.6265952637187603E-004  0.2163534337492445E-004  0.0000000000000000E+000  0.0000000000000000E+000
  0.6406553418791278E-002  0.2344383903574086E-002  0.8094345770183512E-003  0.1171999467484423E-002  0.4046503984481123E-003  0.3004568856052395E-014  0.7939241195688316E-007  0.3143412403898983E+008  0.2193001206650301E+030  0.8804658696914146E+001  0.3893844567589822E+017  0.6907290400908683E-004  0.2384928518815025E-004  0.0000000000000000E+000  0.0000000000000000E+000
  0.6611419333627956E-002  0.2419403207241214E-002  0.8353360597389958E-003  0.1209490088898746E-002  0.4175945269302947E-003  0.3599338040220663E-014  0.9004440612383465E-007  0.3143348065424039E+008  0.2410125478630249E+030  0.8804329351797916E+001  0.3893613276779258E+017  0.7590818453000101E-004  0.2620988129668280E-004  0.0000000000000000E+000  0.0000000000000000E+000
