                                                                                                                                                                                                                                                                
                        1                        2                        3                        4                        5                        6                        7                        8                        9                       10                       11                       12                       13
                        j                        l                     n_pg                      n_p                      n_g                      eta                Re(omega)                Im(omega)                 Re(freq)                 Im(freq)                      f_T                        H                   L_star
                      206                        3                      -52                        1                       53 -0.1000000000000000E+001  0.2795441601169315E-001 -0.5939461970108354E-002  0.1077904458246803E+001 -0.2290218666878660E+000  0.2527460516934879E+002  0.3907246872774051E-003  0.2231040837440136E+038
                        1                        2                        3                        4                        5                        6                        7                        8                        9                       10                       11                       12                       13                       14                       15
                        x                 Re(xi_r)                 Im(xi_r)                 Re(xi_h)                 Im(xi_h)                    dW_dx                    dE_dx                        T                      M_r                      rho                        P                Re(lag_L)                Im(lag_L)            Re(prop_type)            Im(prop_type)
  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.3144428011617867E+008  0.0000000000000000E+000  0.8809858528928345E+001  0.3897496902307036E+017  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.1230439216380033E-002  0.2414844052666077E-016 -0.1403341460183185E-016  0.8041699484101017E-017 -0.4676184908039656E-017 -0.9639853901090340E-043  0.3465703659743455E-036  0.3144393308720459E+008  0.1554156788989439E+028  0.8809680832282577E+001  0.3897372068094722E+017  0.4458301457233845E-020 -0.2253501659655263E-020  0.0000000000000000E+000  0.0000000000000000E+000
  0.1283742670618219E-002  0.2628238459358938E-016 -0.1527449428124112E-016  0.8754973600983329E-017 -0.5088802875878321E-017 -0.5821421181163142E-043  0.4469725220590764E-036  0.3144390148352072E+008  0.1765012577479551E+028  0.8809665017052637E+001  0.3897360735307414E+017  0.4900589179267311E-020 -0.2233304350328679E-020  0.0000000000000000E+000  0.0000000000000000E+000
  0.1337046124856404E-002  0.2850745543786305E-016 -0.1656793391441112E-016  0.9497162858594438E-017 -0.5520030726266946E-017  0.1375910100603765E-043  0.5704976402581960E-036  0.3144386641740253E+008  0.1994125855637707E+028  0.8809647211143027E+001  0.3897348118804443E+017  0.5484397214522286E-020 -0.2745703599842795E-020  0.0000000000000000E+000  0.0000000000000000E+000
  0.1390349579094589E-002  0.3082332152454184E-016 -0.1791416727545530E-016  0.1026978719622620E-016 -0.5969451088544278E-017  0.2569539551142443E-043  0.7212938040695792E-036  0.3144382864427352E+008  0.2242254627296695E+028  0.8809627854432872E+001  0.3897334508263110E+017  0.6424272832339296E-020 -0.3367219445051164E-020  0.0000000000000000E+000  0.0000000000000000E+000
  0.1443653033332775E-002  0.3323006680579747E-016 -0.1931329913311151E-016  0.1107289211193470E-016 -0.6436325307029500E-017  0.4642733156013741E-044  0.9039615081721811E-036  0.3144378891955710E+008  0.2510156879787455E+028  0.8809607386800369E+001  0.3897320193358576E+017  0.7545904403858749E-020 -0.3930783843252929E-020  0.0000000000000000E+000  0.0000000000000000E+000
  0.1496956487570960E-002  0.3572770460023717E-016 -0.2076523157670822E-016  0.1190615297508870E-016 -0.6920542265440892E-017 -0.6889077659537743E-044  0.1123647512395713E-035  0.3144374799867658E+008  0.2798590581902597E+028  0.8809586248122679E+001  0.3897305463763478E+017  0.8743066150812173E-020 -0.4505671264011475E-020  0.0000000000000000E+000  0.0000000000000000E+000
  0.1550259941809145E-002  0.3831615942091899E-016 -0.2226988893611917E-016  0.1276947804145655E-016 -0.7422250120273859E-017 -0.3649969035343962E-044  0.1386120488721521E-035  0.3144370663705524E+008  0.3108313681728273E+028  0.8809564878275756E+001  0.3897290609147664E+017  0.1003910629749332E-019 -0.5164596754709261E-020  0.0000000000000000E+000  0.0000000000000000E+000
  0.1617418773092509E-002  0.4170662853453236E-016 -0.2424069377864207E-016  0.1390010785554725E-016 -0.8079375870880687E-017  0.2414797394817349E-044  0.1787750213863480E-035  0.3144365346145564E+008  0.3530026277210077E+028  0.8809537491931581E+001  0.3897271522840045E+017  0.1188019047462373E-019 -0.6124560352907313E-020  0.0000000000000000E+000  0.0000000000000000E+000
  0.1684577604375873E-002  0.4524108373578877E-016 -0.2629515928275756E-016  0.1507863934846948E-016 -0.8764366539293055E-017  0.2298440965746967E-044  0.2282006977803469E-035  0.3144359807333241E+008  0.3988253537767832E+028  0.8809509078480742E+001  0.3897251612614787E+017  0.1398064383375131E-019 -0.7212478903248654E-020  0.0000000000000000E+000  0.0000000000000000E+000
  0.1751736435659237E-002  0.4891948456443869E-016 -0.2843327017557860E-016  0.1630508019371755E-016 -0.9477196867469866E-017  0.5679327481679520E-045  0.2885243080100931E-035  0.3144354046079358E+008  0.4484511391965673E+028  0.8809479599835903E+001  0.3897230882699723E+017  0.1634847173603946E-019 -0.8430920625190012E-020  0.0000000000000000E+000  0.0000000000000000E+000
  0.1818895266942601E-002  0.5274179851105716E-016 -0.3065500939755517E-016  0.1757942466278673E-016 -0.1021787234860823E-016  0.1065152748991872E-044  0.3615886477769502E-035  0.3144348061194684E+008  0.5020315745604155E+028  0.8809449017910001E+001  0.3897209337322792E+017  0.1900100679827173E-019 -0.9797642675143975E-020  0.0000000000000000E+000  0.0000000000000000E+000
  0.1886054098225965E-002  0.5670799903316943E-016 -0.3296036606031725E-016  0.1890168002313119E-016 -0.1098640261258345E-016  0.2277810019418283E-044  0.4494612193223136E-035  0.3144341851489935E+008  0.5597182482428124E+028  0.8809417294616214E+001  0.3897186980711968E+017  0.2196412479959972E-019 -0.1132651990594374E-019  0.0000000000000000E+000  0.0000000000000000E+000
  0.1953212929509329E-002  0.6081806727183337E-016 -0.3534933351549413E-016  0.2027185447079680E-016 -0.1178278938995794E-016  0.2935156891606347E-044  0.5544515511609422E-035  0.3144335415775765E+008  0.6216627464998507E+028  0.8809384391867930E+001  0.3897163817095206E+017  0.2526236483895698E-019 -0.1302785976461287E-019  0.0000000000000000E+000  0.0000000000000000E+000
  0.2037829101548248E-002  0.6620131389744516E-016 -0.3847831991027205E-016  0.2206642112233387E-016 -0.1282584914090713E-016  0.3793140877389942E-044  0.7151068478203569E-035  0.3144326990766152E+008  0.7060055154239611E+028  0.8809341277638028E+001  0.3897133504645533E+017  0.2993126669174124E-019 -0.1543549889458226E-019  0.0000000000000000E+000  0.0000000000000000E+000
  0.2122445273587167E-002  0.7181290306057020E-016 -0.4174001835282897E-016  0.2393706623746209E-016 -0.1391313191258341E-016  0.5343380048317022E-044  0.9128125869076928E-035  0.3144318216967918E+008  0.7976511591553518E+028  0.8809296359082552E+001  0.3897101942661398E+017  0.3521905656263127E-019 -0.1816244294186685E-019  0.0000000000000000E+000  0.0000000000000000E+000
  0.2207061445626085E-002  0.7765282037791475E-016 -0.4513442331845929E-016  0.2588379382212633E-016 -0.1504463994427951E-016  0.7396201618248053E-044  0.1154110318981796E-034  0.3144309091728190E+008  0.8969028353809802E+028  0.8809249628777154E+001  0.3897069119969658E+017  0.4117852027674832E-019 -0.2123592815002020E-019  0.0000000000000000E+000  0.0000000000000000E+000
  0.2291677617665004E-002  0.8372105573780698E-016 -0.4866153109206388E-016  0.2790660702998739E-016 -0.1622037444426496E-016  0.9931210043021008E-044  0.1446372016384366E-034  0.3144299612394196E+008  0.1004063693012849E+029  0.8809201079298521E+001  0.3897035025398730E+017  0.4786425773971580E-019 -0.2468386920014559E-019  0.0000000000000000E+000  0.0000000000000000E+000
  0.2376293789703923E-002  0.9001760200335903E-016 -0.5232133911169410E-016  0.3000550797567340E-016 -0.1744033637333489E-016  0.1326026129864022E-043  0.1797867542313486E-034  0.3144289776313261E+008  0.1119436871999502E+029  0.8809150703224345E+001  0.3896999647778596E+017  0.5533282871943137E-019 -0.2853550438665748E-019  0.0000000000000000E+000  0.0000000000000000E+000
  0.2460909961742842E-002  0.9654245410829446E-016 -0.5611384567367510E-016  0.3218049837260357E-016 -0.1870452665862475E-016  0.1756568524290226E-043  0.2217834784271163E-034  0.3144279580832796E+008  0.1243325503153898E+029  0.8809098493133275E+001  0.3896962975940792E+017  0.6364305995549838E-019 -0.3282122488178501E-019  0.0000000000000000E+000  0.0000000000000000E+000
  0.2567522334352048E-002  0.1050884963151219E-015 -0.6108114798639042E-016  0.3502921517016825E-016 -0.2036031627784322E-016  0.2464738879587357E-043  0.2860470956194267E-034  0.3144266224330232E+008  0.1412011851730605E+029  0.8809030102670745E+001  0.3896914932874966E+017  0.7540636661746409E-019 -0.3888773887403415E-019  0.0000000000000000E+000  0.0000000000000000E+000
  0.2674134706961254E-002  0.1139969594068250E-015 -0.6625910389048748E-016  0.3799872638240876E-016 -0.2208631966594942E-016  0.3412209345310543E-043  0.3651312867094655E-034  0.3144252301525176E+008  0.1595303756197055E+029  0.8808958812791483E+001  0.3896864853290295E+017  0.8872938734681956E-019 -0.4575860597007428E-019  0.0000000000000000E+000  0.0000000000000000E+000
  0.2780747079570460E-002  0.1232678404339254E-015 -0.7164771298124410E-016  0.4108903362521516E-016 -0.2388253783630724E-016  0.4666174895532463E-043  0.4616527104760461E-034  0.3144237812421418E+008  0.1793807443093998E+029  0.8808884623516668E+001  0.3896812737218206E+017  0.1037441528549276E-018 -0.5350194047585847E-019  0.0000000000000000E+000  0.0000000000000000E+000
  0.2887359452179666E-002  0.1329011378242844E-015 -0.7724697544974519E-016  0.4430013822191857E-016 -0.2574897169481593E-016  0.6303359803646704E-043  0.5785601857323181E-034  0.3144222757023057E+008  0.2008129109559131E+029  0.8808807534870580E+001  0.3896758584693793E+017  0.1205880510566503E-018 -0.6218858493708369E-019  0.0000000000000000E+000  0.0000000000000000E+000
  0.2993971824788872E-002  0.1428968509935380E-015 -0.8305689192020239E-016  0.4763204130824439E-016 -0.2768562208408220E-016  0.8424624236753951E-043  0.7191616791179850E-034  0.3144207135334498E+008  0.2238874922316570E+029  0.8808727546880593E+001  0.3896702395755802E+017  0.1394038090767568E-018 -0.7189214098730443E-019  0.0000000000000000E+000  0.0000000000000000E+000
  0.3100584197398078E-002  0.1532549800833228E-015 -0.8907746334668007E-016  0.5108474388537414E-016 -0.2969248981870477E-016  0.1114600611946644E-042  0.8871523459346704E-034  0.3144190947360448E+008  0.2486651016682734E+029  0.8808644659577121E+001  0.3896644170446609E+017  0.1603394948408550E-018 -0.8268899250058851E-019  0.0000000000000000E+000  0.0000000000000000E+000
  0.3234912711767643E-002  0.1668219147147209E-015 -0.9696313158589697E-016  0.5560703892408490E-016 -0.3232105825055091E-016  0.1564065102521237E-042  0.1144216399462333E-033  0.3144169746478659E+008  0.2824026305283064E+029  0.8808536105193095E+001  0.3896567915475565E+017  0.1899739925343138E-018 -0.9797195803853522E-019  0.0000000000000000E+000  0.0000000000000000E+000
  0.3369241226137207E-002  0.1809641978016697E-015 -0.1051832250392087E-015  0.6032110920381520E-016 -0.3506110119068880E-016  0.2165563555715239E-042  0.1460565250231587E-033  0.3144147648724234E+008  0.3190612081715379E+029  0.8808422959269384E+001  0.3896488435811735E+017  0.2235367931332602E-018 -0.1152808074374224E-018  0.0000000000000000E+000  0.0000000000000000E+000
  0.3503569740506772E-002  0.1956818322503561E-015 -0.1137377468864591E-015  0.6522695617366850E-016 -0.3791262013915212E-016  0.2961146470018134E-042  0.1846665794010465E-033  0.3144124652044245E+008  0.3587620517142375E+029  0.8808305211284477E+001  0.3896405724109603E+017  0.2613602751541185E-018 -0.1347869942476924E-018  0.0000000000000000E+000  0.0000000000000000E+000
  0.3637898254876336E-002  0.2109748215541434E-015 -0.1226267006293625E-015  0.7032458128534694E-016 -0.4087561658502585E-016  0.3999421977543929E-042  0.2314313508955566E-033  0.3144100754386652E+008  0.4016263687822416E+029  0.8808182850725629E+001  0.3896319773033838E+017  0.3037902051376475E-018 -0.1566688267094411E-018  0.0000000000000000E+000  0.0000000000000000E+000
  0.3772226769245901E-002  0.2268431696838294E-015 -0.1318500900409403E-015  0.7561398595847660E-016 -0.4395009206074920E-016  0.5345435212272655E-042  0.2876740376297757E-033  0.3144075953700300E+008  0.4477753571487944E+029  0.8808055867088855E+001  0.3896230575259333E+017  0.3511857981001734E-018 -0.1811115191917284E-018  0.0000000000000000E+000  0.0000000000000000E+000
  0.3906555283615465E-002  0.2432868810067456E-015 -0.1414079191479796E-015  0.8109517165569493E-016 -0.4713604819078483E-016  0.7073114577497263E-042  0.3548727011633383E-033  0.3144050247934918E+008  0.4973302043740408E+029  0.8807924249878939E+001  0.3896138123471238E+017  0.4039196787356644E-018 -0.2083073439162696E-018  0.0000000000000000E+000  0.0000000000000000E+000
  0.4075809284771766E-002  0.2648251770466851E-015 -0.1539269716978046E-015  0.8827452861301165E-016 -0.5130908323268408E-016  0.9922774466918066E-042  0.4577044054172711E-033  0.3144016541768035E+008  0.5648060866971838E+029  0.8807751670451458E+001  0.3896016900030646E+017  0.4785635528231327E-018 -0.2468025880475228E-018  0.0000000000000000E+000  0.0000000000000000E+000
  0.4245063285928066E-002  0.2872769379666042E-015 -0.1669769967949849E-015  0.9575836276891420E-016 -0.5565911099401273E-016  0.1373472623651726E-041  0.5842515972380553E-033  0.3143981367224009E+008  0.6381238675858090E+029  0.8807571574178443E+001  0.3895890398393166E+017  0.5630984344642470E-018 -0.2903988007049567E-018  0.0000000000000000E+000  0.0000000000000000E+000
  0.4414317287084366E-002  0.3106421745910732E-015 -0.1805580039006874E-015  0.1035466771815012E-015 -0.6018613506566875E-016  0.1878161301734725E-041  0.7387012065930551E-033  0.3143944759221375E+008  0.7175258917648111E+029  0.8807384140143281E+001  0.3895758744389098E+017  0.6583606218112107E-018 -0.3395274142631603E-018  0.0000000000000000E+000  0.0000000000000000E+000
  0.4583571288240667E-002  0.3349208983001773E-015 -0.1946700029222721E-015  0.1116394747973862E-015 -0.6489015889614705E-016  0.2535917178751730E-041  0.9257715700943667E-033  0.3143906752680356E+008  0.8032544736684277E+029  0.8807189547442213E+001  0.3895622063859650E+017  0.7652197795968831E-018 -0.3946369783056325E-018  0.0000000000000000E+000  0.0000000000000000E+000
  0.4752825289396967E-002  0.3601131209284358E-015 -0.2093130041123600E-015  0.1200367585113517E-015 -0.6977118595729340E-016  0.3389161868858478E-041  0.1150755587776700E-032  0.3143867382522798E+008  0.8955518962486862E+029  0.8806987975183398E+001  0.3895480482655536E+017  0.8845794138925559E-018 -0.4561931957744862E-018  0.0000000000000000E+000  0.0000000000000000E+000
  0.4922079290553267E-002  0.3862188546246042E-015 -0.2244870180548235E-015  0.1287385308289437E-015 -0.7482921984827658E-016  0.4485942865759407E-041  0.1419565557869694E-032  0.3143826683672113E+008  0.9946604097855757E+029  0.8806779602486007E+001  0.3895334126635625E+017  0.1017376940189728E-017 -0.5246800265664405E-018  0.0000000000000000E+000  0.0000000000000000E+000
