                                                                                                                                                                                                                                                                
                        1                        2                        3                        4                        5                        6                        7                        8                        9                       10                       11                       12                       13
                        j                        l                     n_pg                      n_p                      n_g                      eta                Re(omega)                Im(omega)                 Re(freq)                 Im(freq)                      f_T                        H                   L_star
                      211                        3                     -142                        0                      142 -0.9999998527034798E+000  0.3019462659942449E-001 -0.3844567063558344E-003  0.1164285550197257E+001 -0.1482440547534572E-001  0.2505725708264065E+002  0.4558577377393372E-003  0.2231040837440136E+038
                        1                        2                        3                        4                        5                        6                        7                        8                        9                       10                       11                       12                       13                       14                       15
                        x                 Re(xi_r)                 Im(xi_r)                 Re(xi_h)                 Im(xi_h)                    dW_dx                    dE_dx                        T                      M_r                      rho                        P                Re(lag_L)                Im(lag_L)            Re(prop_type)            Im(prop_type)
  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.3144428011617867E+008  0.0000000000000000E+000  0.8809858528928345E+001  0.3897496902307036E+017  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.1230439216380033E-002  0.4713617449748285E-007  0.8704579344726496E-007  0.1571197133911809E-007  0.2901501929562077E-007  0.1764334469763960E-025  0.4357332438989029E-017  0.3144393308720459E+008  0.1554156788989439E+028  0.8809680832282577E+001  0.3897372068094722E+017  0.5131782013335265E-010  0.9477373719263151E-010  0.0000000000000000E+000  0.0000000000000000E+000
  0.1283742670618219E-002  0.5130862780735924E-007  0.9475096024377658E-007  0.1710279678628212E-007  0.3158339761495740E-007  0.4584294328659728E-025  0.5619886528863659E-017  0.3144390148352072E+008  0.1765012577479551E+028  0.8809665017052637E+001  0.3897360735307414E+017  0.6080447134894261E-010  0.1122908147668925E-009  0.0000000000000000E+000  0.0000000000000000E+000
  0.1337046124856404E-002  0.5565802407637410E-007  0.1027828660551102E-006  0.1855260749652425E-007  0.3426067812050979E-007  0.7100526007179479E-025  0.7173613016222248E-017  0.3144386641740253E+008  0.1994125855637707E+028  0.8809647211143027E+001  0.3897348118804443E+017  0.7155119254407579E-010  0.1321338846276256E-009  0.0000000000000000E+000  0.0000000000000000E+000
  0.1390349579094589E-002  0.6018436651575179E-007  0.1111415112145775E-006  0.2006140045140411E-007  0.3704686851932468E-007  0.9354538909716191E-025  0.9069923161042782E-017  0.3144382864427352E+008  0.2242254627296695E+028  0.8809627854432872E+001  0.3897334508263110E+017  0.8366203972452230E-010  0.1544986173986390E-009  0.0000000000000000E+000  0.0000000000000000E+000
  0.1443653033332775E-002  0.6488765676722321E-007  0.1198268979891979E-006  0.2162917349397571E-007  0.3994196860727207E-007  0.1232636682889341E-024  0.1136675414143796E-016  0.3144378891955710E+008  0.2510156879787455E+028  0.8809607386800369E+001  0.3897320193358576E+017  0.9724817930999267E-010  0.1795886174290873E-009  0.0000000000000000E+000  0.0000000000000000E+000
  0.1496956487570960E-002  0.6976789604066485E-007  0.1288390282756243E-006  0.2325592748135471E-007  0.4294597733197849E-007  0.1647291542818049E-024  0.1412910075787931E-016  0.3144374799867658E+008  0.2798590581902597E+028  0.8809586248122679E+001  0.3897305463763478E+017  0.1124255154010757E-009  0.2076167190713245E-009  0.0000000000000000E+000  0.0000000000000000E+000
  0.1550259941809145E-002  0.7482508592147893E-007  0.1381779036780622E-006  0.2494166365892307E-007  0.4605889451343069E-007  0.2188081492831551E-024  0.1742956705933576E-016  0.3144370663705524E+008  0.3108313681728273E+028  0.8809564878275756E+001  0.3897290609147664E+017  0.1293138074540259E-009  0.2388040986848126E-009  0.0000000000000000E+000  0.0000000000000000E+000
  0.1617418773092509E-002  0.8144873574915667E-007  0.1504094540346359E-006  0.2714955314957694E-007  0.5013601618077124E-007  0.3075635935753610E-024  0.2247989795630869E-016  0.3144365346145564E+008  0.3530026277210077E+028  0.8809537491931581E+001  0.3897271522840045E+017  0.1532198792060575E-009  0.2829510253720607E-009  0.0000000000000000E+000  0.0000000000000000E+000
  0.1684577604375873E-002  0.8835329009271127E-007  0.1631596968876970E-006  0.2945107602423550E-007  0.5438602450143717E-007  0.4256965011691173E-024  0.2869495896092086E-016  0.3144359807333241E+008  0.3988253537767832E+028  0.8809509078480742E+001  0.3897251612614787E+017  0.1802966083104859E-009  0.3329531269169556E-009  0.0000000000000000E+000  0.0000000000000000E+000
  0.1751736435659237E-002  0.9553875354495617E-007  0.1764286365148430E-006  0.3184623410403248E-007  0.5880892051115027E-007  0.5819644858416360E-024  0.3628040012922349E-016  0.3144354046079358E+008  0.4484511391965673E+028  0.8809479599835903E+001  0.3897230882699723E+017  0.2108126720936974E-009  0.3893064649640309E-009  0.0000000000000000E+000  0.0000000000000000E+000
  0.1818895266942601E-002  0.1030051310823250E-006  0.1902162776054102E-006  0.3433502937713635E-007  0.6340470533995214E-007  0.7864288275537906E-024  0.4546798036668760E-016  0.3144348061194684E+008  0.5020315745604155E+028  0.8809449017910001E+001  0.3897209337322792E+017  0.2450476758990489E-009  0.4525273166408446E-009  0.0000000000000000E+000  0.0000000000000000E+000
  0.1886054098225965E-002  0.1107524280557450E-006  0.2045226252530320E-006  0.3691746393157578E-007  0.6817338027139626E-007  0.1051080124412538E-023  0.5651768960584116E-016  0.3144341851489935E+008  0.5597182482428124E+028  0.8809417294616214E+001  0.3897186980711968E+017  0.2832921257844140E-009  0.5231521240418826E-009  0.0000000000000000E+000  0.0000000000000000E+000
  0.1953212929509329E-002  0.1187806501695298E-006  0.2193476849607098E-006  0.3959353995556776E-007  0.7311494673335924E-007  0.1390414961239282E-023  0.6971995393159758E-016  0.3144335415775765E+008  0.6216627464998507E+028  0.8809384391867930E+001  0.3897163817095206E+017  0.3258474482057090E-009  0.6017374769582134E-009  0.0000000000000000E+000  0.0000000000000000E+000
  0.2037829101548248E-002  0.1292956987339283E-006  0.2387648847140752E-006  0.4309855821816389E-007  0.7958717590029573E-007  0.1951696453219885E-023  0.8992203740477415E-016  0.3144326990766152E+008  0.7060055154239611E+028  0.8809341277638028E+001  0.3897133504645533E+017  0.3860863411167929E-009  0.7129781150867872E-009  0.0000000000000000E+000  0.0000000000000000E+000
  0.2122445273587167E-002  0.1402567242781646E-006  0.2590055358586874E-006  0.4675223486558282E-007  0.8633386511736193E-007  0.2702467765082306E-023  0.1147832757343667E-015  0.3144318216967918E+008  0.7976511591553518E+028  0.8809296359082552E+001  0.3897101942661398E+017  0.4543146285848465E-009  0.8389720020509170E-009  0.0000000000000000E+000  0.0000000000000000E+000
  0.2207061445626085E-002  0.1516637397411841E-006  0.2800696507476118E-006  0.5055457437345445E-007  0.9335501673386336E-007  0.3694847681729861E-023  0.1451263208735381E-015  0.3144309091728190E+008  0.8969028353809802E+028  0.8809249628777154E+001  0.3897069119969658E+017  0.5312092645473440E-009  0.9809690756994770E-009  0.0000000000000000E+000  0.0000000000000000E+000
  0.2291677617665004E-002  0.1635167586829022E-006  0.3019572423593065E-006  0.5450558141251235E-007  0.1006506332813830E-006  0.4992248098996595E-023  0.1818782680663335E-015  0.3144299612394196E+008  0.1004063693012849E+029  0.8809201079298521E+001  0.3897035025398730E+017  0.6174746800856420E-009  0.1140270060411536E-008  0.0000000000000000E+000  0.0000000000000000E+000
  0.2376293789703923E-002  0.1758157952757371E-006  0.3246683243048912E-006  0.5860526086066636E-007  0.1082207174371196E-006  0.6672325951578866E-023  0.2260791451926248E-015  0.3144289776313261E+008  0.1119436871999502E+029  0.8809150703224345E+001  0.3896999647778596E+017  0.7138428327126208E-009  0.1318226459478497E-008  0.0000000000000000E+000  0.0000000000000000E+000
  0.2460909961742842E-002  0.1885608642997175E-006  0.3482029108275602E-006  0.6285361779789436E-007  0.1160652720322059E-006  0.8826935770964905E-023  0.2788907340141238E-015  0.3144279580832796E+008  0.1243325503153898E+029  0.8809098493133275E+001  0.3896962975940792E+017  0.8210732168441344E-009  0.1516240527826660E-008  0.0000000000000000E+000  0.0000000000000000E+000
  0.2567522334352048E-002  0.2052540960893642E-006  0.3790278367112032E-006  0.6841802892405932E-007  0.1263398116322184E-006  0.1238953124315168E-022  0.3597039168578127E-015  0.3144266224330232E+008  0.1412011851730605E+029  0.8809030102670745E+001  0.3896914932874966E+017  0.9728634067184688E-009  0.1796538467601020E-008  0.0000000000000000E+000  0.0000000000000000E+000
  0.2674134706961254E-002  0.2226554519585790E-006  0.4111601143517505E-006  0.7421848109442945E-007  0.1370500769184997E-006  0.1715499377463711E-022  0.4591552110764520E-015  0.3144252301525176E+008  0.1595303756197055E+029  0.8808958812791483E+001  0.3896864853290295E+017  0.1144784737480739E-008  0.2114009169734377E-008  0.0000000000000000E+000  0.0000000000000000E+000
  0.2780747079570460E-002  0.2407649650427945E-006  0.4445997755776795E-006  0.8025498545806954E-007  0.1481960736372197E-006  0.2345419316786326E-022  0.5805355519819185E-015  0.3144237812421418E+008  0.1793807443093998E+029  0.8808884623516668E+001  0.3896812737218206E+017  0.1338542846562677E-008  0.2471801595123891E-008  0.0000000000000000E+000  0.0000000000000000E+000
  0.2887359452179666E-002  0.2595826698783841E-006  0.4793468535771366E-006  0.8652755360143521E-007  0.1597778079293794E-006  0.3168742093847260E-022  0.7275536976847357E-015  0.3144222757023057E+008  0.2008129109559131E+029  0.8808807534870580E+001  0.3896758584693793E+017  0.1555912474658115E-008  0.2873192534980450E-008  0.0000000000000000E+000  0.0000000000000000E+000
  0.2993971824788872E-002  0.2791086023977354E-006  0.5154013829243111E-006  0.9303619760168075E-007  0.1717952861868467E-006  0.4235154906375117E-022  0.9043701909183147E-015  0.3144207135334498E+008  0.2238874922316570E+029  0.8808727546880593E+001  0.3896702395755802E+017  0.1798737695428099E-008  0.3321586652443725E-008  0.0000000000000000E+000  0.0000000000000000E+000
  0.3100584197398078E-002  0.2993427999287501E-006  0.5527633995591074E-006  0.9978092998564550E-007  0.1842485150016648E-006  0.5602872560451631E-022  0.1115632648316727E-014  0.3144190947360448E+008  0.2486651016682734E+029  0.8808644659577121E+001  0.3896644170446609E+017  0.2068932052468723E-008  0.3820516359820475E-008  0.0000000000000000E+000  0.0000000000000000E+000
  0.3234912711767643E-002  0.3258457576790544E-006  0.6017000554954933E-006  0.1086152486496647E-006  0.2005596337377922E-006  0.7863574452148788E-022  0.1438916230710187E-014  0.3144169746478659E+008  0.2824026305283064E+029  0.8808536105193095E+001  0.3896567915475565E+017  0.2451410081663562E-008  0.4526779285506120E-008  0.0000000000000000E+000  0.0000000000000000E+000
  0.3369241226137207E-002  0.3534732472419580E-006  0.6527125196953751E-006  0.1178244108881728E-006  0.2175625425905972E-006  0.1088792856053111E-021  0.1836761740387328E-014  0.3144147648724234E+008  0.3190612081715379E+029  0.8808422959269384E+001  0.3896488435811735E+017  0.2884611935557129E-008  0.5326699294324206E-008  0.0000000000000000E+000  0.0000000000000000E+000
  0.3503569740506772E-002  0.3822253523226036E-006  0.7058008727062204E-006  0.1274084447522085E-006  0.2352572558914741E-006  0.1488604041136212E-021  0.2322334995560592E-014  0.3144124652044245E+008  0.3587620517142375E+029  0.8808305211284477E+001  0.3896405724109603E+017  0.3372834837782547E-008  0.6228208663506272E-008  0.0000000000000000E+000  0.0000000000000000E+000
  0.3637898254876336E-002  0.4121021600714146E-006  0.7609651983748416E-006  0.1373673792483399E-006  0.2536437889541574E-006  0.2010946103598096E-021  0.2910473418000306E-014  0.3144100754386652E+008  0.4016263687822416E+029  0.8808182850725629E+001  0.3896319773033838E+017  0.3920549621360014E-008  0.7239560951701229E-008  0.0000000000000000E+000  0.0000000000000000E+000
  0.3772226769245901E-002  0.4431037610657683E-006  0.8182055839377679E-006  0.1477012446593631E-006  0.2727221577226024E-006  0.2687658510128581E-021  0.3617821909217665E-014  0.3144075953700300E+008  0.4477753571487944E+029  0.8808055867088855E+001  0.3896230575259333E+017  0.4532401563621016E-008  0.8369331665965632E-008  0.0000000000000000E+000  0.0000000000000000E+000
  0.3906555283615465E-002  0.4752302493468459E-006  0.8775221199503394E-006  0.1584100724569122E-006  0.2924923784386091E-006  0.3555701790916425E-021  0.4462974033828578E-014  0.3144050247934918E+008  0.4973302043740408E+029  0.8807924249878939E+001  0.3896138123471238E+017  0.5213211548623308E-008  0.9626417891615028E-008  0.0000000000000000E+000  0.0000000000000000E+000
  0.4075809284771766E-002  0.5173114106126592E-006  0.9552171602490615E-006  0.1724371230656804E-006  0.3183879530073618E-006  0.4989751191191363E-021  0.5756304243537536E-014  0.3144016541768035E+008  0.5648060866971838E+029  0.8807751670451458E+001  0.3896016900030646E+017  0.6176958492669165E-008  0.1140591422967712E-007  0.0000000000000000E+000  0.0000000000000000E+000
  0.4245063285928066E-002  0.5611788019178176E-006  0.1036208644522803E-005  0.1870595834501675E-006  0.3453819765703138E-006  0.6908055002950787E-021  0.7347942133659882E-014  0.3143981367224009E+008  0.6381238675858090E+029  0.8807571574178443E+001  0.3895890398393166E+017  0.7268507029627160E-008  0.1342136080978327E-007  0.0000000000000000E+000  0.0000000000000000E+000
  0.4414317287084366E-002  0.6068326346918769E-006  0.1120496776977114E-005  0.2022775248179730E-006  0.3734744859262539E-006  0.9444797746913159E-021  0.9290564244459882E-014  0.3143944759221375E+008  0.7175258917648111E+029  0.8807384140143281E+001  0.3895758744389098E+017  0.8498682594965046E-008  0.1569273599939087E-007  0.0000000000000000E+000  0.0000000000000000E+000
  0.4583571288240667E-002  0.6542731290044854E-006  0.1208081769997838E-005  0.2180910198851152E-006  0.4026655192983835E-006  0.1275715185248091E-020  0.1164353565000987E-013  0.3143906752680356E+008  0.8032544736684277E+029  0.8807189547442213E+001  0.3895622063859650E+017  0.9878746820359488E-008  0.1824082389226928E-007  0.0000000000000000E+000  0.0000000000000000E+000
  0.4752825289396967E-002  0.7035005132406932E-006  0.1298963844033359E-005  0.2345001441350220E-006  0.4329551157872807E-006  0.1704934050184888E-020  0.1447345372620657E-013  0.3143867382522798E+008  0.8955518962486862E+029  0.8806987975183398E+001  0.3895480482655536E+017  0.1142039874719982E-007  0.2108721918360044E-007  0.0000000000000000E+000  0.0000000000000000E+000
  0.4922079290553267E-002  0.7545150241246573E-006  0.1393143227009033E-005  0.2515049758403576E-006  0.4643433134337308E-006  0.2255784054792762E-020  0.1785471312592166E-013  0.3143826683672113E+008  0.9946604097855757E+029  0.8806779602486007E+001  0.3895334126635625E+017  0.1313578418234448E-007  0.2425432754660387E-007  0.0000000000000000E+000  0.0000000000000000E+000
  0.5135347326120156E-002  0.8213407600170039E-006  0.1516509048405328E-005  0.2737802004779934E-006  0.5054582528792059E-006  0.3165213705043628E-020  0.2302928128586215E-013  0.3143773407552872E+008  0.1129614763787195E+030  0.8806506838503454E+001  0.3895142547121498E+017  0.1556412776585783E-007  0.2873768398777676E-007  0.0000000000000000E+000  0.0000000000000000E+000
