                                                                                                                                                                                                                                                                
                        1                        2                        3                        4                        5                        6                        7                        8                        9                       10                       11                       12                       13
                        j                        l                     n_pg                      n_p                      n_g                      eta                Re(omega)                Im(omega)                 Re(freq)                 Im(freq)                      f_T                        H                   L_star
                      266                        3                      -96                        0                       96 -0.9999999992614433E+000  0.4554603550533182E-001 -0.8828081634503323E-003  0.1756226089864605E+001 -0.3404051992220996E-001  0.2397726735528462E+002  0.1037220675126475E-002  0.2231040837440136E+038
                        1                        2                        3                        4                        5                        6                        7                        8                        9                       10                       11                       12                       13                       14                       15
                        x                 Re(xi_r)                 Im(xi_r)                 Re(xi_h)                 Im(xi_h)                    dW_dx                    dE_dx                        T                      M_r                      rho                        P                Re(lag_L)                Im(lag_L)            Re(prop_type)            Im(prop_type)
  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.3144428011617867E+008  0.0000000000000000E+000  0.8809858528928345E+001  0.3897496902307036E+017  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.1230439216380033E-002  0.8264200683611553E-008  0.1471295408060315E-007  0.2754713039615342E-008  0.4904277478297824E-008  0.3369712707917248E-027  0.1266308072790750E-018  0.3144393308720459E+008  0.1554156788989439E+028  0.8809680832282577E+001  0.3897372068094722E+017  0.8997219332738497E-011  0.1601875903025877E-010  0.0000000000000000E+000  0.0000000000000000E+000
  0.1283742670618219E-002  0.8995737378986094E-008  0.1601532389915549E-007  0.2998558496001713E-008  0.5338399302643837E-008  0.9331214936787830E-027  0.1633225551793380E-018  0.3144390148352072E+008  0.1765012577479551E+028  0.8809665017052637E+001  0.3897360735307414E+017  0.1066046547001035E-010  0.1897956412544797E-010  0.0000000000000000E+000  0.0000000000000000E+000
  0.1337046124856404E-002  0.9758295678532921E-008  0.1737292125558415E-007  0.3252744272985426E-008  0.5790929012301772E-008  0.1381912297557060E-026  0.2084762116836955E-018  0.3144386641740253E+008  0.1994125855637707E+028  0.8809647211143027E+001  0.3897348118804443E+017  0.1254460008447159E-010  0.2233355345669536E-010  0.0000000000000000E+000  0.0000000000000000E+000
  0.1390349579094589E-002  0.1055187579220016E-007  0.1878574628333168E-007  0.3517270227467135E-008  0.6261867150017112E-008  0.1766413809677287E-026  0.2635858422559378E-018  0.3144382864427352E+008  0.2242254627296695E+028  0.8809627854432872E+001  0.3897334508263110E+017  0.1466783671563838E-010  0.2611370518102373E-010  0.0000000000000000E+000  0.0000000000000000E+000
  0.1443653033332775E-002  0.1137647787884190E-007  0.2025379926697428E-007  0.3792136324110507E-008  0.6751213734074171E-008  0.2359936252293555E-026  0.3303351846904565E-018  0.3144378891955710E+008  0.2510156879787455E+028  0.8809607386800369E+001  0.3897320193358576E+017  0.1704976561804841E-010  0.3035443307139345E-010  0.0000000000000000E+000  0.0000000000000000E+000
  0.1496956487570960E-002  0.1223210211465896E-007  0.2177708049693003E-007  0.4077342690168492E-008  0.7258968781549351E-008  0.3184626485397429E-026  0.4106130834733800E-018  0.3144374799867658E+008  0.2798590581902597E+028  0.8809586248122679E+001  0.3897305463763478E+017  0.1971070127306259E-010  0.3509178661767047E-010  0.0000000000000000E+000  0.0000000000000000E+000
  0.1550259941809145E-002  0.1311874871343466E-007  0.2335559027370138E-007  0.4372889393722320E-008  0.7785132329383043E-008  0.4221968698042635E-026  0.5065295116259091E-018  0.3144370663705524E+008  0.3108313681728273E+028  0.8809564878275756E+001  0.3897290609147664E+017  0.2267159154699246E-010  0.4036315255097918E-010  0.0000000000000000E+000  0.0000000000000000E+000
  0.1617418773092509E-002  0.1428003124272204E-007  0.2542303678911896E-007  0.4759980148744122E-008  0.8474271584292084E-008  0.5920211892255722E-026  0.6532995352261966E-018  0.3144365346145564E+008  0.3530026277210077E+028  0.8809537491931581E+001  0.3897271522840045E+017  0.2686282935950970E-010  0.4782496753279527E-010  0.0000000000000000E+000  0.0000000000000000E+000
  0.1684577604375873E-002  0.1549056055940462E-007  0.2757815613424470E-007  0.5163485738926797E-008  0.9192633378526200E-008  0.8197614114281910E-026  0.8339182436234790E-018  0.3144359807333241E+008  0.3988253537767832E+028  0.8809509078480742E+001  0.3897251612614787E+017  0.3160994534709861E-010  0.5627642879420206E-010  0.0000000000000000E+000  0.0000000000000000E+000
  0.1751736435659237E-002  0.1675033721016908E-007  0.2982094908230309E-007  0.5583406348382586E-008  0.9940217918228922E-008  0.1121093118961690E-025  0.1054362090313654E-017  0.3144354046079358E+008  0.4484511391965673E+028  0.8809479599835903E+001  0.3897230882699723E+017  0.3696004566277241E-010  0.6580139266698157E-010  0.0000000000000000E+000  0.0000000000000000E+000
  0.1818895266942601E-002  0.1805936179284300E-007  0.3215141648144384E-007  0.6019742170913077E-008  0.1071702542972460E-007  0.1514783527604792E-025  0.1321366278786934E-017  0.3144348061194684E+008  0.5020315745604155E+028  0.8809449017910001E+001  0.3897209337322792E+017  0.4296214284914652E-010  0.7648712278694246E-010  0.0000000000000000E+000  0.0000000000000000E+000
  0.1886054098225965E-002  0.1941763495287111E-007  0.3456955925209788E-007  0.6472493412753320E-008  0.1152305615941859E-007  0.2024500015899107E-025  0.1642486433267346E-017  0.3144341851489935E+008  0.5597182482428124E+028  0.8809417294616214E+001  0.3897186980711968E+017  0.4966716605271972E-010  0.8842428767791749E-010  0.0000000000000000E+000  0.0000000000000000E+000
  0.1953212929509329E-002  0.2082515738202762E-007  0.3707537838587906E-007  0.6941660296725142E-008  0.1235831037856660E-007  0.2678167678572407E-025  0.2026162680940770E-017  0.3144335415775765E+008  0.6216627464998507E+028  0.8809384391867930E+001  0.3897163817095206E+017  0.5712796050875369E-010  0.1017069640268771E-009  0.0000000000000000E+000  0.0000000000000000E+000
  0.2037829101548248E-002  0.2266866989920727E-007  0.4035738908304763E-007  0.7556154104606080E-008  0.1345228716703740E-007  0.3759151543666710E-025  0.2613263095881712E-017  0.3144326990766152E+008  0.7060055154239611E+028  0.8809341277638028E+001  0.3897133504645533E+017  0.6768901602191477E-010  0.1205091153352842E-009  0.0000000000000000E+000  0.0000000000000000E+000
  0.2122445273587167E-002  0.2459036590126792E-007  0.4377858556352565E-007  0.8196707578804989E-008  0.1459265547525946E-007  0.5205315235850428E-025  0.3335764472215582E-017  0.3144318216967918E+008  0.7976511591553518E+028  0.8809296359082552E+001  0.3897101942661398E+017  0.7965074126815550E-010  0.1418049002756089E-009  0.0000000000000000E+000  0.0000000000000000E+000
  0.2207061445626085E-002  0.2659024694852961E-007  0.4733897005450956E-007  0.8863321141948456E-008  0.1577941577286904E-007  0.7116912546390612E-025  0.4217573962161590E-017  0.3144309091728190E+008  0.8969028353809802E+028  0.8809249628777154E+001  0.3897069119969658E+017  0.9313181232236196E-010  0.1658055884227666E-009  0.0000000000000000E+000  0.0000000000000000E+000
  0.2291677617665004E-002  0.2866831467803951E-007  0.5103854489500928E-007  0.9555995237253070E-008  0.1701256855915033E-007  0.9615502508618507E-025  0.5285633910414589E-017  0.3144299612394196E+008  0.1004063693012849E+029  0.8809201079298521E+001  0.3897035025398730E+017  0.1082557194751335E-009  0.1927310320575336E-009  0.0000000000000000E+000  0.0000000000000000E+000
  0.2376293789703923E-002  0.3082457080321409E-007  0.5487731253643906E-007  0.1027473033109477E-007  0.1829211436246567E-007  0.1285175436455683E-024  0.6570168552894055E-017  0.3144289776313261E+008  0.1119436871999502E+029  0.8809150703224345E+001  0.3896999647778596E+017  0.1251507776306183E-009  0.2228096679166049E-009  0.0000000000000000E+000  0.0000000000000000E+000
  0.2460909961742842E-002  0.3305901711421681E-007  0.5885527554324001E-007  0.1101952691354619E-007  0.1961805374174207E-007  0.1700230169234423E-024  0.8104940358758594E-017  0.3144279580832796E+008  0.1243325503153898E+029  0.8809098493133275E+001  0.3896962975940792E+017  0.1439501308916831E-009  0.2562785121030100E-009  0.0000000000000000E+000  0.0000000000000000E+000
  0.2567522334352048E-002  0.3598563732854058E-007  0.6406549965394653E-007  0.1199504025672658E-007  0.2135472670041003E-007  0.2386329745351802E-024  0.1045347176103896E-016  0.3144266224330232E+008  0.1412011851730605E+029  0.8809030102670745E+001  0.3896914932874966E+017  0.1705615115391714E-009  0.3036552014588703E-009  0.0000000000000000E+000  0.0000000000000000E+000
  0.2674134706961254E-002  0.3903638975748869E-007  0.6949670346525667E-007  0.1301192740676879E-007  0.2316505040484988E-007  0.3304247650503032E-024  0.1334364660003266E-016  0.3144252301525176E+008  0.1595303756197055E+029  0.8808958812791483E+001  0.3896864853290295E+017  0.2007021121631174E-009  0.3573149472682053E-009  0.0000000000000000E+000  0.0000000000000000E+000
  0.2780747079570460E-002  0.4221127840726315E-007  0.7514889270891841E-007  0.1407018941164282E-007  0.2504902601047376E-007  0.4517697758435908E-024  0.1687110196445900E-016  0.3144237812421418E+008  0.1793807443093998E+029  0.8808884623516668E+001  0.3896812737218206E+017  0.2346709296987519E-009  0.4177900067263914E-009  0.0000000000000000E+000  0.0000000000000000E+000
  0.2887359452179666E-002  0.4551030745455107E-007  0.8102207336158104E-007  0.1516982736182786E-007  0.2700665473317111E-007  0.6103258008521788E-024  0.2114361692353154E-016  0.3144222757023057E+008  0.2008129109559131E+029  0.8808807534870580E+001  0.3896758584693793E+017  0.2727790675699006E-009  0.4856342336764006E-009  0.0000000000000000E+000  0.0000000000000000E+000
  0.2993971824788872E-002  0.4893348124644969E-007  0.8711625164707278E-007  0.1631084239652927E-007  0.2903793784294136E-007  0.8157372428998662E-024  0.2628209941489730E-016  0.3144207135334498E+008  0.2238874922316570E+029  0.8808727546880593E+001  0.3896702395755802E+017  0.3153497764689552E-009  0.5614231009298798E-009  0.0000000000000000E+000  0.0000000000000000E+000
  0.3100584197398078E-002  0.5248080430154068E-007  0.9343143403618063E-007  0.1749323570272810E-007  0.3114287666078870E-007  0.1079209692250151E-023  0.3242161170136687E-016  0.3144190947360448E+008  0.2486651016682734E+029  0.8808644659577121E+001  0.3896644170446609E+017  0.3627184886908547E-009  0.6457536838195900E-009  0.0000000000000000E+000  0.0000000000000000E+000
  0.3234912711767643E-002  0.5712709381076374E-007  0.1017030466652506E-006  0.1904193128019892E-007  0.3389990812610900E-007  0.1514594936218136E-023  0.4181656292839277E-016  0.3144169746478659E+008  0.2824026305283064E+029  0.8808536105193095E+001  0.3896567915475565E+017  0.4297717133489174E-009  0.7651284057591689E-009  0.0000000000000000E+000  0.0000000000000000E+000
  0.3369241226137207E-002  0.6197049082248711E-007  0.1103255339127207E-006  0.2065632036358973E-007  0.3677387485613787E-007  0.2097120873049072E-023  0.5337833954033777E-016  0.3144147648724234E+008  0.3190612081715379E+029  0.8808422959269384E+001  0.3896488435811735E+017  0.5057170349313457E-009  0.9003334077875850E-009  0.0000000000000000E+000  0.0000000000000000E+000
  0.3503569740506772E-002  0.6701100546502316E-007  0.1192989102793726E-006  0.2233640558299753E-007  0.3976477974061987E-007  0.2867297677277937E-023  0.6748954366039647E-016  0.3144124652044245E+008  0.3587620517142375E+029  0.8808305211284477E+001  0.3896405724109603E+017  0.5913076791748679E-009  0.1052709478522905E-008  0.0000000000000000E+000  0.0000000000000000E+000
  0.3637898254876336E-002  0.7224864828374906E-007  0.1286231908620228E-006  0.2408218966518842E-007  0.4287262581375775E-007  0.3873236807611368E-023  0.8458135294865161E-016  0.3144100754386652E+008  0.4016263687822416E+029  0.8808182850725629E+001  0.3896319773033838E+017  0.6873272956235884E-009  0.1223651667242484E-008  0.0000000000000000E+000  0.0000000000000000E+000
  0.3772226769245901E-002  0.7768343024095759E-007  0.1382983913609114E-006  0.2589367545799207E-007  0.4609741624062477E-007  0.5176718595922609E-023  0.1051374687433138E-015  0.3144075953700300E+008  0.4477753571487944E+029  0.8808055867088855E+001  0.3896230575259333E+017  0.7945900785817992E-009  0.1414609463004929E-008  0.0000000000000000E+000  0.0000000000000000E+000
  0.3906555283615465E-002  0.8331536272031412E-007  0.1483245280787695E-006  0.2777086592724477E-007  0.4943915429835478E-007  0.6848739667636451E-023  0.1296982184374588E-015  0.3144050247934918E+008  0.4973302043740408E+029  0.8807924249878939E+001  0.3896138123471238E+017  0.9139409995104359E-009  0.1627086739727671E-008  0.0000000000000000E+000  0.0000000000000000E+000
  0.4075809284771766E-002  0.9069232234944526E-007  0.1614571556973119E-006  0.3022968200237665E-007  0.5381626140911476E-007  0.9610783873505930E-023  0.1672832653973833E-015  0.3144016541768035E+008  0.5648060866971838E+029  0.8807751670451458E+001  0.3896016900030646E+017  0.1082891492869155E-008  0.1927863936205516E-008  0.0000000000000000E+000  0.0000000000000000E+000
  0.4245063285928066E-002  0.9838232170830995E-007  0.1751469921667673E-006  0.3279282215774128E-007  0.5837904733875840E-007  0.1330542635346982E-022  0.2135372049244524E-015  0.3143981367224009E+008  0.6381238675858090E+029  0.8807571574178443E+001  0.3895890398393166E+017  0.1274244673381570E-008  0.2268522618405882E-008  0.0000000000000000E+000  0.0000000000000000E+000
  0.4414317287084366E-002  0.1063853864229459E-006  0.1893940742279989E-006  0.3546029309187679E-007  0.6312751948874280E-007  0.1819190742257018E-022  0.2699907892083526E-015  0.3143944759221375E+008  0.7175258917648111E+029  0.8807384140143281E+001  0.3895758744389098E+017  0.1489897702258947E-008  0.2652439805696781E-008  0.0000000000000000E+000  0.0000000000000000E+000
  0.4583571288240667E-002  0.1147015431617929E-006  0.2041984401051255E-006  0.3823210164176821E-007  0.6806168545010567E-007  0.2457150084674210E-022  0.3383691249970400E-015  0.3143906752680356E+008  0.8032544736684277E+029  0.8807189547442213E+001  0.3895622063859650E+017  0.1731824305196135E-008  0.3083128567016270E-008  0.0000000000000000E+000  0.0000000000000000E+000
  0.4752825289396967E-002  0.1233308195936053E-006  0.2195601294582925E-006  0.4110825484804280E-007  0.7318155298735252E-007  0.3283781621730888E-022  0.4206074720054454E-015  0.3143867382522798E+008  0.8955518962486862E+029  0.8806987975183398E+001  0.3895480482655536E+017  0.2002074644835872E-008  0.3564238988692920E-008  0.0000000000000000E+000  0.0000000000000000E+000
  0.4922079290553267E-002  0.1322732443707154E-006  0.2354791833194913E-006  0.4408875996264547E-007  0.7848712991205119E-007  0.4344980080182859E-022  0.5188676583262186E-015  0.3143826683672113E+008  0.9946604097855757E+029  0.8806779602486007E+001  0.3895334126635625E+017  0.2302777159064858E-008  0.4099558466904061E-008  0.0000000000000000E+000  0.0000000000000000E+000
  0.5135347326120156E-002  0.1439870549321058E-006  0.2563316312720615E-006  0.4799293216272290E-007  0.8543684592457600E-007  0.6096334785848167E-022  0.6692412350090103E-015  0.3143773407552872E+008  0.1129614763787195E+030  0.8806506838503454E+001  0.3895142547121498E+017  0.2728454113946395E-008  0.4857357369058800E-008  0.0000000000000000E+000  0.0000000000000000E+000
