                                                                                                                                                                                                                                                                
                        1                        2                        3                        4                        5                        6                        7                        8                        9                       10                       11                       12                       13
                        j                        l                     n_pg                      n_p                      n_g                      eta                Re(omega)                Im(omega)                 Re(freq)                 Im(freq)                      f_T                        H                   L_star
                      316                        3                      -51                        0                       51 -0.9999999671776330E+000  0.8877152013122581E-001 -0.1806837176773354E-002  0.3422973217353881E+001 -0.6967048953393976E-001  0.2173624601978000E+002  0.3940191393204318E-002  0.2231040837440136E+038
                        1                        2                        3                        4                        5                        6                        7                        8                        9                       10                       11                       12                       13
                        x                 Re(xi_r)                 Im(xi_r)                 Re(xi_h)                 Im(xi_h)                    dW_dx                    dE_dx                        T                      M_r                      rho                        P            Re(prop_type)            Im(prop_type)
  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.3144428011617867E+008  0.0000000000000000E+000  0.8809858528928345E+001  0.3897496902307036E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1230439216380033E-002 -0.2203038110840032E-006  0.2330226788010713E-006 -0.7343399592674798E-007  0.7767359052091060E-007  0.6167567224917000E-025  0.4572797813282091E-016  0.3144393308720459E+008  0.1554156788989439E+028  0.8809680832282577E+001  0.3897372068094722E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1337046124856404E-002 -0.2601327166321587E-006  0.2751510494716165E-006 -0.8671023808052355E-007  0.9171632351619921E-007  0.2942455747856902E-024  0.7528336850735574E-016  0.3144386641740253E+008  0.1994125855637707E+028  0.8809647211143027E+001  0.3897348118804443E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1443653033332775E-002 -0.3032694252254817E-006  0.3207782016398832E-006 -0.1010890204197099E-006  0.1069252553869725E-006  0.4087245311931003E-024  0.1192881357019730E-015  0.3144378891955710E+008  0.2510156879787455E+028  0.8809607386800369E+001  0.3897320193358576E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1550259941809145E-002 -0.3497139655349669E-006  0.3699041667363803E-006 -0.1165703577421794E-006  0.1233003988649839E-006  0.7863923205979976E-024  0.1829140428910929E-015  0.3144370663705524E+008  0.3108313681728273E+028  0.8809564878275756E+001  0.3897290609147664E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1684577604375873E-002 -0.4129403822630260E-006  0.4367809028972387E-006 -0.1376455152315805E-006  0.1455923246742870E-006  0.1519603963916845E-023  0.3011380273395385E-015  0.3144359807333241E+008  0.3988253537767832E+028  0.8809509078480742E+001  0.3897251612614787E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1818895266942601E-002 -0.4814179076530262E-006  0.5092119304099131E-006 -0.1604709354751577E-006  0.1697355710173865E-006  0.2820235955985197E-023  0.4771612454519903E-015  0.3144348061194684E+008  0.5020315745604155E+028  0.8809449017910001E+001  0.3897209337322792E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1953212929509329E-002 -0.5551466473539751E-006  0.5871973639871718E-006 -0.1850466460214965E-006  0.1957301683773822E-006  0.4867532830480885E-023  0.7316713636955654E-015  0.3144335415775765E+008  0.6216627464998507E+028  0.8809384391867930E+001  0.3897163817095206E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.2122445273587167E-002 -0.6555168433754849E-006  0.6933624132334470E-006 -0.2185025173114743E-006  0.2311176397107637E-006  0.9846106083506457E-023  0.1204583354308413E-014  0.3144318216967918E+008  0.7976511591553518E+028  0.8809296359082552E+001  0.3897101942661398E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.2291677617665004E-002 -0.7642235425175323E-006  0.8083453076224664E-006 -0.2547369816958776E-006  0.2694441456880574E-006  0.1744051625551518E-022  0.1908702607072013E-014  0.3144299612394196E+008  0.1004063693012849E+029  0.8809201079298521E+001  0.3897035025398730E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.2460909961742842E-002 -0.8812670319187621E-006  0.9321463588664957E-006 -0.2937501031671392E-006  0.3107097577996579E-006  0.3168673855408405E-022  0.2926784175896405E-014  0.3144279580832796E+008  0.1243325503153898E+029  0.8809098493133275E+001  0.3896962975940792E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.2674134706961254E-002 -0.1040606009795652E-005  0.1100684918098533E-005 -0.3468609012091374E-006  0.3668870374482418E-006  0.6181335208197582E-022  0.4818534565059567E-014  0.3144252301525176E+008  0.1595303756197055E+029  0.8808958812791483E+001  0.3896864853290295E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.2887359452179666E-002 -0.1213180651311696E-005  0.1283223402667715E-005 -0.4043829977815920E-006  0.4277303518737539E-006  0.1088909771115789E-021  0.7635179799319367E-014  0.3144222757023057E+008  0.2008129109559131E+029  0.8808807534870580E+001  0.3896758584693793E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.3100584197398078E-002 -0.1398991686744932E-005  0.1479762607541597E-005 -0.4663165306676409E-006  0.4932398716994589E-006  0.2128982248293198E-021  0.1170776749897839E-013  0.3144190947360448E+008  0.2486651016682734E+029  0.8808644659577121E+001  0.3896644170446609E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.3369241226137207E-002 -0.1651954779862152E-005  0.1747331199824947E-005 -0.5506320317702108E-006  0.5824237452575140E-006  0.3538000237388623E-021  0.1927542100659305E-013  0.3144147648724234E+008  0.3190612081715379E+029  0.8808422959269384E+001  0.3896488435811735E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.3637898254876336E-002 -0.1925933963791500E-005  0.2037129528148619E-005 -0.6419513969083663E-006  0.6790160174957220E-006  0.7957337885046170E-021  0.3054307149254450E-013  0.3144100754386652E+008  0.4016263687822416E+029  0.8808182850725629E+001  0.3896319773033838E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.3906555283615465E-002 -0.2220931082311560E-005  0.2349159595134458E-005 -0.7402750120999708E-006  0.7830170794274143E-006  0.1100564148736173E-020  0.4683508367566085E-013  0.3144050247934918E+008  0.4973302043740408E+029  0.8807924249878939E+001  0.3896138123471238E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.4245063285928066E-002 -0.2622556099960780E-005  0.2773974625371515E-005 -0.8741360701075858E-006  0.9246078572437080E-006  0.2804956418692096E-020  0.7710983491420303E-013  0.3143981367224009E+008  0.6381238675858090E+029  0.8807571574178443E+001  0.3895890398393166E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.4583571288240667E-002 -0.3057556679579088E-005  0.3234092902719935E-005 -0.1019118584348660E-005  0.1077962535148419E-005  0.3882832241172295E-020  0.1221872190947604E-012  0.3143906752680356E+008  0.8032544736684277E+029  0.8807189547442213E+001  0.3895622063859650E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.4922079290553267E-002 -0.3525937485900676E-005  0.3729519495730948E-005 -0.1175223467703819E-005  0.1243082227639484E-005  0.9247204075082167E-020  0.1873658378871696E-012  0.3143826683672113E+008  0.9946604097855757E+029  0.8806779602486007E+001  0.3895334126635625E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.5348615361687045E-002 -0.4163656790634485E-005  0.4404063824946134E-005 -0.1387761275182238E-005  0.1467894249774489E-005  0.1338999939167422E-019  0.3084911944507444E-012  0.3143717860162770E+008  0.1276252231999001E+030  0.8806222449311248E+001  0.3894942806946046E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.5775151432820822E-002 -0.4854393057146104E-005  0.5134687993617183E-005 -0.1617961910756809E-005  0.1711389896665322E-005  0.3269714908323204E-019  0.4888440638712822E-012  0.3143600378406958E+008  0.1606514177920563E+030  0.8805620988038303E+001  0.3894520384137325E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.6201687503954599E-002 -0.5598158058027205E-005  0.5921404798880701E-005 -0.1865827927323638E-005  0.1973571957064747E-005  0.4466044985139600E-019  0.7496264165070275E-012  0.3143475092046576E+008  0.1989320820586571E+030  0.8804979603809391E+001  0.3894069936848281E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.6611419333627956E-002 -0.6362568982769093E-005  0.6729961591932471E-005 -0.2120566300922321E-005  0.2243024218507836E-005  0.9463329077233906E-019  0.1100397822539205E-011  0.3143348065424039E+008  0.2410125478630249E+030  0.8804329351797916E+001  0.3893613276779258E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.7021151163301312E-002 -0.7175936318146172E-005  0.7590304092233093E-005 -0.2391609809686033E-005  0.2529724404544534E-005  0.1238585457946823E-018  0.1578436919383000E-011  0.3143213839152167E+008  0.2886421172519391E+030  0.8803642280467818E+001  0.3893130779074725E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.7430882992974669E-002 -0.8038272749800049E-005  0.8502446072371519E-005 -0.2678961518247831E-005  0.2833675896826917E-005  0.2341006626297596E-018  0.2218274690016877E-011  0.3143071216614765E+008  0.3421638022472812E+030  0.8802912257907520E+001  0.3892618142316296E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.7890367175076953E-002 -0.9063586291902826E-005  0.9586981152633817E-005 -0.3020608049190348E-005  0.3195060315012044E-005  0.3271216085661494E-018  0.3179440768675176E-011  0.3142901155229744E+008  0.4096175674987915E+030  0.8802041828980702E+001  0.3892006941962308E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.8349851357179238E-002 -0.1015052136065757E-004  0.1073670051026116E-004 -0.3382771275510201E-005  0.3578148322264278E-005  0.5713601604699379E-018  0.4465129524186237E-011  0.3142719912181407E+008  0.4853955224359053E+030  0.8801114198809492E+001  0.3891355618690693E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.9048273241770970E-002 -0.1192074416230903E-004  0.1260918396213095E-004 -0.3972564830673465E-005  0.4202022725085598E-005  0.1016658194469346E-017  0.7230110552180747E-011  0.3142420658273819E+008  0.6176062814628119E+030  0.8799582603740740E+001  0.3890280338247030E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.9746695126362705E-002 -0.1383346767589201E-004  0.1463241076623950E-004 -0.4609786973211410E-005  0.4876071294896365E-005  0.1893652159931218E-017  0.1129491034378350E-010  0.3142095492048138E+008  0.7718589628131536E+030  0.8797918483313302E+001  0.3889112151659474E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1040765407572196E-001 -0.1577491288961488E-004  0.1668603006609881E-004 -0.5256524132415592E-005  0.5560191046863688E-005  0.3217945510962470E-017  0.1674338407907406E-010  0.3141765777339928E+008  0.9396685423673582E+030  0.8796231221761198E+001  0.3887927859430229E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1106861302508122E-001 -0.1784413895315786E-004  0.1887482587534649E-004 -0.5945769226896829E-005  0.6289281312214424E-005  0.5043593298560390E-017  0.2422546440499280E-010  0.3141414084964206E+008  0.1130167159530953E+031  0.8794431639595155E+001  0.3886664888531500E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1172957197444048E-001 -0.2004123013784912E-004  0.2119888976185081E-004 -0.6677537789192872E-005  0.7063361391724845E-005  0.8620027913311227E-017  0.3430770658177239E-010  0.3141040489872044E+008  0.1344785843567650E+031  0.8792520121599235E+001  0.3885323526924107E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1262221975951389E-001 -0.2321159237955057E-004  0.2455249715557383E-004 -0.7733344716481937E-005  0.8180227427012113E-005  0.1397995704967269E-016  0.5327121157081938E-010  0.3140501196376649E+008  0.1675453163342668E+031  0.8789761101335896E+001  0.3883387778278731E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1351486754458730E-001 -0.2661557235372795E-004  0.2815325911622913E-004 -0.8866791643119123E-005  0.9379241787453062E-005  0.2702798639584124E-016  0.8026508544814415E-010  0.3139921994564533E+008  0.2056235124982171E+031  0.8786798309913124E+001  0.3881309494849745E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1440751532966070E-001 -0.3025342341587752E-004  0.3200145065147034E-004 -0.1007793210100287E-004  0.1066046134417595E-004  0.3940100520468780E-016  0.1178057883091065E-009  0.3139302975729479E+008  0.2490639605076643E+031  0.8783632215227446E+001  0.3879089059274745E+017  0.0000000000000000E+000  0.0000000000000000E+000
  0.1557609976367239E-001 -0.3536976078513448E-004  0.3741368183059952E-004 -0.1178097790295809E-004  0.1246208471985464E-004  0.8417823200684293E-016  0.1880834523291044E-009  0.3138431682246921E+008  0.3146210934233061E+031  0.8779176505576375E+001  0.3875965084533008E+017  0.0000000000000000E+000  0.0000000000000000E+000
