                                                                                                                                                                                                                                                                
                        1                        2                        3                        4                        5                        6                        7                        8                        9                       10                       11                       12                       13
                        j                        l                     n_pg                      n_p                      n_g                      eta                Re(omega)                Im(omega)                 Re(freq)                 Im(freq)                      f_T                        H                   L_star
                      348                        3                      -30                        0                       30 -0.9999999849911944E+000  0.1530691918524183E+000 -0.2773104418027945E-002  0.5902250444042223E+001 -0.1069291382844804E+000  0.1930337063281143E+002  0.1171508874717619E-001  0.2231040837440136E+038
                        1                        2                        3                        4                        5                        6                        7                        8                        9                       10                       11                       12                       13                       14                       15
                        x                 Re(xi_r)                 Im(xi_r)                 Re(xi_h)                 Im(xi_h)                    dW_dx                    dE_dx                        T                      M_r                      rho                        P                Re(lag_L)                Im(lag_L)            Re(prop_type)            Im(prop_type)
  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.3144428011617867E+008  0.0000000000000000E+000  0.8809858528928345E+001  0.3897496902307036E+017  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.1230439216380033E-002  0.4127859836635107E-006  0.1529101550253073E-007  0.1375941911729389E-006  0.5096961856318359E-008  0.5929894471023430E-025  0.7587408582005491E-016  0.3144393308720459E+008  0.1554156788989439E+028  0.8809680832282577E+001  0.3897372068094722E+017  0.4492345582501195E-009  0.1665269074148710E-010  0.0000000000000000E+000  0.0000000000000000E+000
  0.1283742670618219E-002  0.4493252134018539E-006  0.1664455376475779E-007  0.1497738938893709E-006  0.5548139331403905E-008  0.1923868237519577E-024  0.9785887306410071E-016  0.3144390148352072E+008  0.1765012577479551E+028  0.8809665017052637E+001  0.3897360735307414E+017  0.5322755825269888E-009  0.1972622145625352E-010  0.0000000000000000E+000  0.0000000000000000E+000
  0.1337046124856404E-002  0.4874139057477616E-006  0.1805548914567617E-007  0.1624700530068367E-006  0.6018447776316577E-008  0.2332218886909006E-024  0.1249138216246834E-015  0.3144386641740253E+008  0.1994125855637707E+028  0.8809647211143027E+001  0.3897348118804443E+017  0.6263428174528603E-009  0.2321075657752908E-010  0.0000000000000000E+000  0.0000000000000000E+000
  0.1390349579094589E-002  0.5270520646768874E-006  0.1952382175126574E-007  0.1756826740756688E-006  0.6507887725381916E-008  0.3014991058349809E-024  0.1579341317095846E-015  0.3144382864427352E+008  0.2242254627296695E+028  0.8809627854432872E+001  0.3897334508263110E+017  0.7323524685115607E-009  0.2714194190288646E-010  0.0000000000000000E+000  0.0000000000000000E+000
  0.1443653033332775E-002  0.5682396968480215E-006  0.2104955184006737E-007  0.1894117608716709E-006  0.7016459180920622E-008  0.4342155126309994E-024  0.1979286566376422E-015  0.3144378891955710E+008  0.2510156879787455E+028  0.8809607386800369E+001  0.3897320193358576E+017  0.8512818243276421E-009  0.3154810334820411E-010  0.0000000000000000E+000  0.0000000000000000E+000
  0.1496956487570960E-002  0.6109768104081637E-006  0.2263267968769555E-007  0.2036573157343121E-006  0.7544162200447768E-008  0.5645234733949954E-024  0.2460291418867585E-015  0.3144374799867658E+008  0.2798590581902597E+028  0.8809586248122679E+001  0.3897305463763478E+017  0.9841411237902109E-009  0.3647207942933385E-010  0.0000000000000000E+000  0.0000000000000000E+000
  0.1550259941809145E-002  0.6552634140687352E-006  0.2427320559354082E-007  0.2184193391347597E-006  0.8090996824509590E-008  0.7497981031241830E-024  0.3034998247282431E-015  0.3144370663705524E+008  0.3108313681728273E+028  0.8809564878275756E+001  0.3897290609147664E+017  0.1131974970476790E-008  0.4195104978997967E-010  0.0000000000000000E+000  0.0000000000000000E+000
  0.1617418773092509E-002  0.7132676067796870E-006  0.2642187701928301E-007  0.2377538025973116E-006  0.8807209668058238E-008  0.1057285759086108E-023  0.3914406631742518E-015  0.3144365346145564E+008  0.3530026277210077E+028  0.8809537491931581E+001  0.3897271522840045E+017  0.1341239744874630E-008  0.4970607943047251E-010  0.0000000000000000E+000  0.0000000000000000E+000
  0.1684577604375873E-002  0.7737315453554661E-006  0.2866166518671337E-007  0.2579081328025899E-006  0.9553792841990132E-008  0.1458549044769567E-023  0.4996627319357120E-015  0.3144359807333241E+008  0.3988253537767832E+028  0.8809509078480742E+001  0.3897251612614787E+017  0.1578259046590583E-008  0.5849015506750249E-010  0.0000000000000000E+000  0.0000000000000000E+000
  0.1751736435659237E-002  0.8366552515841046E-006  0.3099257084271909E-007  0.2788823356406769E-006  0.1033074653173751E-007  0.1998345822570462E-023  0.6317469519374019E-015  0.3144354046079358E+008  0.4484511391965673E+028  0.8809479599835903E+001  0.3897230882699723E+017  0.1845384316587949E-008  0.6838972726523961E-010  0.0000000000000000E+000  0.0000000000000000E+000
  0.1818895266942601E-002  0.9020387493639772E-006  0.3341459480757391E-007  0.3006764174736655E-006  0.1113807093315272E-007  0.2698337816661524E-023  0.7917288625623065E-015  0.3144348061194684E+008  0.5020315745604155E+028  0.8809449017910001E+001  0.3897209337322792E+017  0.2145063149835465E-008  0.7949575620222077E-010  0.0000000000000000E+000  0.0000000000000000E+000
  0.1886054098225965E-002  0.9698820646131551E-006  0.3592773797232112E-007  0.3232903852565227E-006  0.1197576627031352E-007  0.3606362835328799E-023  0.9841355723920884E-015  0.3144341851489935E+008  0.5597182482428124E+028  0.8809417294616214E+001  0.3897186980711968E+017  0.2479838063219665E-008  0.9190251053968096E-010  0.0000000000000000E+000  0.0000000000000000E+000
  0.1953212929509329E-002  0.1040185225249749E-005  0.3853200129901844E-007  0.3467242466582145E-006  0.1284383278776961E-007  0.4772050312455465E-023  0.1214024154490591E-014  0.3144335415775765E+008  0.6216627464998507E+028  0.8809384391867930E+001  0.3897163817095206E+017  0.2852347607326927E-008  0.1057076042089558E-009  0.0000000000000000E+000  0.0000000000000000E+000
  0.2037829101548248E-002  0.1132265186513411E-005  0.4194294875744296E-007  0.3774168196210806E-006  0.1398078505666983E-007  0.6696272127079817E-023  0.1565798921258046E-014  0.3144326990766152E+008  0.7060055154239611E+028  0.8809341277638028E+001  0.3897133504645533E+017  0.3379649502529113E-008  0.1252493416676034E-009  0.0000000000000000E+000  0.0000000000000000E+000
  0.2122445273587167E-002  0.1228250140253875E-005  0.4549854874748980E-007  0.4094109522705057E-006  0.1516595063839511E-007  0.9273634318533697E-023  0.1998702080436799E-014  0.3144318216967918E+008  0.7976511591553518E+028  0.8809296359082552E+001  0.3897101942661398E+017  0.3976884703364222E-008  0.1473827741022676E-009  0.0000000000000000E+000  0.0000000000000000E+000
  0.2207061445626085E-002  0.1328140149172037E-005  0.4919880342609311E-007  0.4427066579340127E-006  0.1639932994028616E-007  0.1267970188843231E-022  0.2527058046476877E-014  0.3144309091728190E+008  0.8969028353809802E+028  0.8809249628777154E+001  0.3897069119969658E+017  0.4649978397557406E-008  0.1723274827850894E-009  0.0000000000000000E+000  0.0000000000000000E+000
  0.2291677617665004E-002  0.1431935279116456E-005  0.5304371505931157E-007  0.4773039507087916E-006  0.1768092339800731E-007  0.1712946719868955E-022  0.3167009807671514E-014  0.3144299612394196E+008  0.1004063693012849E+029  0.8809201079298521E+001  0.3897035025398730E+017  0.5405096127751926E-008  0.2003119781717308E-009  0.0000000000000000E+000  0.0000000000000000E+000
  0.2376293789703923E-002  0.1539635599089564E-005  0.5703328602315970E-007  0.5132028455355605E-006  0.1901073147384749E-007  0.2289576395750651E-022  0.3936666735401693E-014  0.3144289776313261E+008  0.1119436871999502E+029  0.8809150703224345E+001  0.3896999647778596E+017  0.6248644335041862E-008  0.2315737254970792E-009  0.0000000000000000E+000  0.0000000000000000E+000
  0.2460909961742842E-002  0.1651241181281021E-005  0.6116751880446304E-007  0.5504033582645879E-006  0.2038875465966666E-007  0.3029122710453008E-022  0.4856258170655181E-014  0.3144279580832796E+008  0.1243325503153898E+029  0.8809098493133275E+001  0.3896962975940792E+017  0.7187270299461097E-008  0.2663589328999036E-009  0.0000000000000000E+000  0.0000000000000000E+000
  0.2567522334352048E-002  0.1797419038736675E-005  0.6658241799044828E-007  0.5991274010159480E-006  0.2219364398377342E-007  0.4251314135834051E-022  0.6263430133376828E-014  0.3144266224330232E+008  0.1412011851730605E+029  0.8809030102670745E+001  0.3896914932874966E+017  0.8515938512435819E-008  0.3155990676894762E-009  0.0000000000000000E+000  0.0000000000000000E+000
  0.2674134706961254E-002  0.1949796698873089E-005  0.7222697446772969E-007  0.6499177890370052E-006  0.2407507543469023E-007  0.5886248795578264E-022  0.7995137755535248E-014  0.3144252301525176E+008  0.1595303756197055E+029  0.8808958812791483E+001  0.3896864853290295E+017  0.1002081336974634E-007  0.3713693335054632E-009  0.0000000000000000E+000  0.0000000000000000E+000
  0.2780747079570460E-002  0.2108374323028316E-005  0.7810119379153134E-007  0.7027745551384618E-006  0.2603305001153462E-007  0.8049297254550187E-022  0.1010868332563464E-013  0.3144237812421418E+008  0.1793807443093998E+029  0.8808884623516668E+001  0.3896812737218206E+017  0.1171682249164962E-007  0.4342230076383851E-009  0.0000000000000000E+000  0.0000000000000000E+000
  0.2887359452179666E-002  0.2273152079442848E-005  0.8420508175504232E-007  0.7576977336555076E-006  0.2806756876883349E-007  0.1087204057830089E-021  0.1266864405335818E-013  0.3144222757023057E+008  0.2008129109559131E+029  0.8808807534870580E+001  0.3896758584693793E+017  0.1361949811117006E-007  0.5047354071625828E-009  0.0000000000000000E+000  0.0000000000000000E+000
  0.2993971824788872E-002  0.2444130143290456E-005  0.9053864439179339E-007  0.8146873604990561E-006  0.3017863280824656E-007  0.1453324034222685E-021  0.1574746334557464E-013  0.3144207135334498E+008  0.2238874922316570E+029  0.8808727546880593E+001  0.3896702395755802E+017  0.1574497905346164E-007  0.5835054023860616E-009  0.0000000000000000E+000  0.0000000000000000E+000
  0.3100584197398078E-002  0.2621308696718417E-005  0.9710188797563650E-007  0.8737434731853650E-006  0.3236624327813343E-007  0.1922690201735764E-021  0.1942606518823230E-013  0.3144190947360448E+008  0.2486651016682734E+029  0.8808644659577121E+001  0.3896644170446609E+017  0.1811001120506940E-007  0.6711522332202758E-009  0.0000000000000000E+000  0.0000000000000000E+000
  0.3234912711767643E-002  0.2853376802782527E-005  0.1056984038873000E-006  0.9510946861809261E-006  0.3523155402236766E-007  0.2698091630173378E-021  0.2505521697946936E-013  0.3144169746478659E+008  0.2824026305283064E+029  0.8808536105193095E+001  0.3896567915475565E+017  0.2145784751897090E-007  0.7952222368061421E-009  0.0000000000000000E+000  0.0000000000000000E+000
  0.3369241226137207E-002  0.3095289046903649E-005  0.1146595683938293E-006  0.1031726637908335E-005  0.3821838846028127E-007  0.3736563386349885E-021  0.3198265182141618E-013  0.3144147648724234E+008  0.3190612081715379E+029  0.8808422959269384E+001  0.3896488435811735E+017  0.2524964107536441E-007  0.9357443616531642E-009  0.0000000000000000E+000  0.0000000000000000E+000
  0.3503569740506772E-002  0.3347045837229925E-005  0.1239853955528592E-006  0.1115639410425643E-005  0.4132674909675072E-007  0.5107036287289482E-021  0.4043760822521880E-013  0.3144124652044245E+008  0.3587620517142375E+029  0.8808305211284477E+001  0.3896405724109603E+017  0.2952299243589810E-007  0.1094113110692516E-008  0.0000000000000000E+000  0.0000000000000000E+000
  0.3637898254876336E-002  0.3608647598717083E-005  0.1336758999997959E-006  0.1202833089445340E-005  0.4455663854741703E-007  0.6902624913800926E-021  0.5067842832105818E-013  0.3144100754386652E+008  0.4016263687822416E+029  0.8808182850725629E+001  0.3896319773033838E+017  0.3431702894782941E-007  0.1271778146028832E-008  0.0000000000000000E+000  0.0000000000000000E+000
  0.3772226769245901E-002  0.3880094773236226E-005  0.1437310969557947E-006  0.1293307764384569E-005  0.4790805956456460E-007  0.9218111895291614E-021  0.6299492320243258E-013  0.3144075953700300E+008  0.4477753571487944E+029  0.8808055867088855E+001  0.3896230575259333E+017  0.3967239467046265E-007  0.1470244531572816E-008  0.0000000000000000E+000  0.0000000000000000E+000
  0.3906555283615465E-002  0.4161387819680932E-005  0.1541510022279604E-006  0.1387063528437187E-005  0.5138101497941550E-007  0.1220772823336209E-020  0.7771083068141283E-013  0.3144050247934918E+008  0.4973302043740408E+029  0.8807924249878939E+001  0.3896138123471238E+017  0.4563127420245944E-007  0.1691080028305617E-008  0.0000000000000000E+000  0.0000000000000000E+000
  0.4075809284771766E-002  0.4529836521148774E-005  0.1677993863639616E-006  0.1509867606336239E-005  0.5592998597232833E-007  0.1711318745723450E-020  0.1002303835294313E-012  0.3144016541768035E+008  0.5648060866971838E+029  0.8807751670451458E+001  0.3896016900030646E+017  0.5406650317971963E-007  0.2003680171024425E-008  0.0000000000000000E+000  0.0000000000000000E+000
  0.4245063285928066E-002  0.4913918288186730E-005  0.1820268420704300E-006  0.1637881101379610E-005  0.6067191609273721E-007  0.2371280008759711E-020  0.1279439561110646E-012  0.3143981367224009E+008  0.6381238675858090E+029  0.8807571574178443E+001  0.3895890398393166E+017  0.6362019726279937E-007  0.2357742080778017E-008  0.0000000000000000E+000  0.0000000000000000E+000
  0.4414317287084366E-002  0.5313634154811135E-005  0.1968334049771802E-006  0.1771104223463837E-005  0.6560681172638144E-007  0.3240405043241652E-020  0.1617686902350493E-012  0.3143944759221375E+008  0.7175258917648111E+029  0.8807384140143281E+001  0.3895758744389098E+017  0.7438707678860577E-007  0.2756745764364137E-008  0.0000000000000000E+000  0.0000000000000000E+000
  0.4583571288240667E-002  0.5728985196905579E-005  0.2122191121596701E-006  0.1909537187390457E-005  0.7073467950393678E-007  0.4376614907391007E-020  0.2027381696485626E-012  0.3143906752680356E+008  0.8032544736684277E+029  0.8807189547442213E+001  0.3895622063859650E+017  0.8646563540021821E-007  0.3204380740964607E-008  0.0000000000000000E+000  0.0000000000000000E+000
  0.4752825289396967E-002  0.6159972530601337E-005  0.2281840020712836E-006  0.2053180212097623E-005  0.7605552599375806E-007  0.5854085160293591E-020  0.2520118841077709E-012  0.3143867382522798E+008  0.8955518962486862E+029  0.8806987975183398E+001  0.3895480482655536E+017  0.9995829642315362E-007  0.3704397450086216E-008  0.0000000000000000E+000  0.0000000000000000E+000
  0.4922079290553267E-002  0.6606597310818391E-005  0.2447281145006414E-006  0.2202033520338058E-005  0.8156935807715947E-007  0.7730127109451904E-020  0.3108850633492782E-012  0.3143826683672113E+008  0.9946604097855757E+029  0.8806779602486007E+001  0.3895334126635625E+017  0.1149711731322602E-006  0.4260771042782544E-008  0.0000000000000000E+000  0.0000000000000000E+000
  0.5135347326120156E-002  0.7191633390927146E-005  0.2663992869754608E-006  0.2397014837430775E-005  0.8879184366151589E-007  0.1088184523921301E-019  0.4009820412197887E-012  0.3143773407552872E+008  0.1129614763787195E+030  0.8806506838503454E+001  0.3895142547121498E+017  0.1362235488118144E-006  0.5048366724291367E-008  0.0000000000000000E+000  0.0000000000000000E+000
