                                                                                                                                                                                                                                                                



                        1                        2                        3                        4                        5                        6                        7                        8                        9                       10                       11                       12                       13                       14                       15                       16                       17
                        j                        l                      n_p                      n_g                      eta                Re(omega)                Im(omega)                 Re(freq)                 Im(freq)                    x_ref             Re(xi_r_ref)             Im(xi_r_ref)             Re(xi_h_ref)             Im(xi_h_ref)                        H            Re(lag_L_ref)            Im(lag_L_ref)
                        2                        1                        0                       65 -0.9999997220881993E+000  0.2768327741177520E-001 -0.5779870373195841E-003  0.1067449526706395E+001 -0.2228681164632586E-001  0.9999729322471789E+000  0.8449076969087438E-001  0.2768957112670519E-019  0.1101124684847926E+003  0.4600537913242229E+001  0.3831819241286503E-003  0.6893959272753588E+001 -0.1311655313278413E+001
                        3                        1                        0                       67 -0.9999997420445852E+000  0.2691526272521014E-001 -0.5585180227504667E-003  0.1037835370062907E+001 -0.2153609885758632E-001  0.9999729322471789E+000  0.7056523728742770E-001 -0.1745083140735188E-017  0.9728921258641056E+002  0.4040122363763032E+001  0.3622156837835435E-003  0.5780616978891852E+001 -0.1102813397275239E+001
                        4                        1                        0                       66 -0.9999995332222803E+000  0.2728246866139667E-001 -0.5316998455271849E-003  0.1051994596839263E+001 -0.2050200704257804E-001  0.9999729322471789E+000  0.7334749428957030E-001 -0.3738286150874223E-017  0.9843787509285451E+002  0.3837320040893334E+001  0.3721665481300461E-003  0.5996843546904087E+001 -0.1143882052843533E+001
                        5                        1                        0                       62 -0.9999997654331586E+000  0.2916133333513331E-001 -0.6048865882576270E-003  0.1124442420732847E+001 -0.2332404117989311E-001  0.9999729322471789E+000  0.1144129415899230E+000  0.3756477374816437E-017  0.1343804148690452E+003  0.5576887528624824E+001  0.4251916809413786E-003  0.9266207791209636E+001 -0.1754038569656873E+001
                        6                        1                        0                       63 -0.9999998077743107E+000  0.2865700475953158E-001 -0.6160137367708333E-003  0.1104995832407233E+001 -0.2375309693211997E-001  0.9999729322471789E+000  0.1061191169356292E+000 -0.3053394911860276E-017  0.1290517593205558E+003  0.5551219534069854E+001  0.4106119608939075E-003  0.8616387629739984E+001 -0.1632958945296650E+001
                        7                        1                        0                       60 -0.9999997694964817E+000  0.3019892469754851E-001 -0.6099974325270937E-003  0.1164451282120540E+001 -0.2352111207635395E-001  0.9999729322471789E+000  0.1366210573418081E+000  0.6832990706512065E-017  0.1496371924637880E+003  0.6047458057779372E+001  0.4559875264441026E-003  0.1100839700649401E+002 -0.2076741536809632E+001
                        8                        1                        0                       57 -0.9999998412791109E+000  0.3140860835024115E-001 -0.6479013385931495E-003  0.1211095912498805E+001 -0.2498266252750555E-001  0.9999729322471789E+000  0.1710086902989241E+000  0.4875189806745013E-017  0.1731414339496060E+003  0.7146576240850313E+001  0.4932503392494192E-003  0.1369978958688640E+002 -0.2571519247657551E+001
                        9                        1                        0                       61 -0.9999997324061984E+000  0.2966608214071052E-001 -0.5969023249662337E-003  0.1143905212858386E+001 -0.2301617307798002E-001  0.9999729322471789E+000  0.1234301747454763E+000 -0.6004549763347567E-017  0.1400901880545532E+003  0.5640221931926962E+001  0.4400382147896910E-003  0.9971342001503634E+001 -0.1884917997534251E+001
                       10                        1                        0                       59 -0.9999998183651787E+000  0.3078197848188393E-001 -0.6311627823358943E-003  0.1186933464301342E+001 -0.2433723447038701E-001  0.9999729322471789E+000  0.1531080354825979E+000 -0.7749595233348059E-019  0.1613955635475710E+003  0.6621226992323771E+001  0.4737650996295834E-003  0.1230232782968129E+002 -0.2315114164621642E+001
