                                                                                                                                                                                                                                                                
                        1                        2                        3                        4                        5                        6                        7                        8                        9
                        l                     n_pg                      n_p                      n_g                      eta                 Re(freq)                 Im(freq)                      f_T                   L_star
                        1                      -76                        0                       76 -0.9998648813569739E+000  0.6671942021592256E-001 -0.2783228341782791E-003  0.1772853553333510E+002  0.3468582503266850E+037
                        1                        2                        3                        4                        5                        6                        7                        8                        9                       10                       11
                        x                 Re(xi_r)                 Im(xi_r)                 Re(xi_h)                 Im(xi_h)                    dW_dx                    dE_dx                        T                      M_r                      rho                        P
  0.0000000000000000E+000  0.2230499380845758E-001 -0.2294800336377938E-002  0.2230499406656177E-001 -0.2294800496978868E-002  0.0000000000000000E+000  0.0000000000000000E+000  0.2876102716652680E+008  0.0000000000000000E+000  0.1862636270991221E+002  0.5387136505203119E+017
  0.7131660955467468E-003  0.2230549436037778E-001 -0.2294870320691150E-002  0.2230529699722901E-001 -0.2294860095005632E-002  0.4323988121234887E-014  0.4957463554035669E-006  0.2876060818475076E+008  0.7770847743775455E+027  0.1862590885332526E+002  0.5386923105948772E+017
  0.8058508145809187E-003  0.2230560565335407E-001 -0.2294885311494249E-002  0.2230542585743427E-001 -0.2294890150800504E-002  0.3747929980521214E-013  0.6329787579293788E-006  0.2876048279073466E+008  0.1121136641265319E+028  0.1862577353917784E+002  0.5386859430843621E+017
  0.8985355336150906E-003  0.2230573508797199E-001 -0.2294905175066236E-002  0.2230548101009766E-001 -0.2294921435015439E-002  0.4126626613008202E-013  0.7869547987916199E-006  0.2876033478265307E+008  0.1554169538276145E+028  0.1862561269359125E+002  0.5386783855003132E+017
  0.1015312408327955E-002  0.2230592150624779E-001 -0.2294930498081485E-002  0.2230565448979117E-001 -0.2294917967542725E-002 -0.1072288903437524E-012  0.1004801926464501E-005  0.2876013370877169E+008  0.2242274499312868E+028  0.1862539488189105E+002  0.5386681443862390E+017
  0.1132089283040820E-002  0.2230613211071872E-001 -0.2294963241533983E-002  0.2230575878831425E-001 -0.2295020513023876E-002  0.5987522828664175E-012  0.1249230152203296E-005  0.2875990922259213E+008  0.3108339070467815E+028  0.1862515170867157E+002  0.5386567109403136E+017
  0.1279221756401245E-002  0.2230642571094502E-001 -0.2295005194800899E-002  0.2230595390454837E-001 -0.2294968341496178E-002 -0.1107894644271533E-011  0.1595046867549731E-005  0.2875959146971762E+008  0.4484552294169603E+028  0.1862480750535057E+002  0.5386405274870131E+017
  0.1426354229761671E-002  0.2230675591223909E-001 -0.2295055503924624E-002  0.2230617335299837E-001 -0.2295148026992753E-002  0.2635181733063179E-011  0.1983069710796661E-005  0.2875923511228897E+008  0.6216678134851152E+028  0.1862442148389292E+002  0.5386223781421155E+017
  0.1611735152971333E-002  0.2230721211932968E-001 -0.2295123655317902E-002  0.2230637263173986E-001 -0.2295076296345406E-002 -0.4039286376331688E-011  0.2532029083727346E-005  0.2875873083257475E+008  0.8969115223339720E+028  0.1862387522805677E+002  0.5385966956505478E+017
