                                                                                                                                                                                                                                                                
                        1                        2                        3                        4                        5                        6                        7                        8                        9
                        l                     n_pg                      n_p                      n_g                      eta                 Re(freq)                 Im(freq)                      f_T                   L_star
                        1                      -27                        0                       27  0.7581507891447305E-001  0.1877110963380233E+000  0.5892065925712071E-005  0.6419244447483409E+001  0.3468582503266850E+037
                        1                        2                        3                        4                        5                        6                        7                        8                        9                       10                       11
                        x                 Re(xi_r)                 Im(xi_r)                 Re(xi_h)                 Im(xi_h)                    dW_dx                    dE_dx                        T                      M_r                      rho                        P
  0.0000000000000000E+000 -0.6459692423716439E-001  0.1676227170943239E-001 -0.6459692423686474E-001  0.1676227170626863E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.2876102716652680E+008  0.0000000000000000E+000  0.1862636270991221E+002  0.5387136505203119E+017
  0.7131660955467468E-003 -0.6459796614559893E-001  0.1676255310371242E-001 -0.6459718607449040E-001  0.1676235619824262E-001  0.5150468419829825E-013  0.4391365917776395E-005  0.2876060818475076E+008  0.7770847743775455E+027  0.1862590885332526E+002  0.5386923105948772E+017
  0.8058508145809187E-003 -0.6459821549877633E-001  0.1676261771463454E-001 -0.6459728105576244E-001  0.1676236896604917E-001 -0.6514657417307931E-012  0.5606945526068860E-005  0.2876048279073466E+008  0.1121136641265319E+028  0.1862577353917784E+002  0.5386859430843621E+017
  0.8985355336150906E-003 -0.6459851137067403E-001  0.1676269458838299E-001 -0.6459743233134470E-001  0.1676242173522577E-001  0.1738886164587458E-011  0.6970862437260465E-005  0.2876033478265307E+008  0.1554169538276145E+028  0.1862561269359125E+002  0.5386783855003132E+017
  0.1015312408327955E-002 -0.6459894384470043E-001  0.1676280793237743E-001 -0.6459759494030208E-001  0.1676245994721966E-001 -0.2487137253747505E-011  0.8900485499386026E-005  0.2876013370877169E+008  0.2242274499312868E+028  0.1862539488189105E+002  0.5386681443862390E+017
  0.1132089283040820E-002 -0.6459943749763537E-001  0.1676293685660110E-001 -0.6459781407476037E-001  0.1676252113654038E-001  0.3606985226429719E-011  0.1106558006072093E-004  0.2875990922259213E+008  0.3108339070467815E+028  0.1862515170867157E+002  0.5386567109403136E+017
  0.1279221756401245E-002 -0.6460014156304006E-001  0.1676312179729542E-001 -0.6459805784374059E-001  0.1676259390747441E-001 -0.3289423820025565E-011  0.1412868811722788E-004  0.2875959146971762E+008  0.4484552294169603E+028  0.1862480750535057E+002  0.5386405274870131E+017
  0.1426354229761671E-002 -0.6460093453329901E-001  0.1676332938485018E-001 -0.6459838579400394E-001  0.1676267192881985E-001  0.3023679167519499E-011  0.1756557747436722E-004  0.2875923511228897E+008  0.6216678134851152E+028  0.1862442148389292E+002  0.5386223781421155E+017
  0.1611735152971333E-002 -0.6460205775891838E-001  0.1676362446130415E-001 -0.6459876840310082E-001  0.1676279652708031E-001  0.1465841097673679E-011  0.2242801225647993E-004  0.2875873083257475E+008  0.8969115223339720E+028  0.1862387522805677E+002  0.5385966956505478E+017
  0.1797116076180994E-002 -0.6460331764100742E-001  0.1676395470247857E-001 -0.6459926255901254E-001  0.1676290730851668E-001 -0.6151046006854032E-011  0.2788376640277921E-004  0.2875816502439198E+008  0.1243335626361783E+029  0.1862326232254691E+002  0.5385678802800110E+017
  0.2030692626033005E-002 -0.6460509903579427E-001  0.1676442254786546E-001 -0.6459987196556065E-001  0.1676310704732683E-001  0.2169516797665786E-010  0.3560253196611724E-004  0.2875736463048326E+008  0.1793826439101463E+029  0.1862239530891614E+002  0.5385271194137473E+017
  0.2264269175885016E-002 -0.6460709493744927E-001  0.1676494608165885E-001 -0.6460062292634103E-001  0.1676327743377634E-001 -0.3640197012151415E-010  0.4426307145554958E-004  0.2875646635293619E+008  0.2486671252004692E+029  0.1862142226591877E+002  0.5384813755207190E+017
  0.2558579621254718E-002 -0.6460991622791559E-001  0.1676568685053352E-001 -0.6460159491560441E-001  0.1676358770562375E-001  0.7734728506934656E-010  0.5651615782849014E-004  0.2875519284328865E+008  0.3587663675034425E+029  0.1862004276658983E+002  0.5384165268294292E+017
  0.2852890066624421E-002 -0.6461307727845086E-001  0.1676651630842545E-001 -0.6460275201618432E-001  0.1676386137691164E-001 -0.1113450983724488E-009  0.7026407017824230E-004  0.2875376733662423E+008  0.4973342503400933E+029  0.1861849863205892E+002  0.5383439430488799E+017
  0.3223742861706194E-002 -0.6461754477672733E-001  0.1676768914204095E-001 -0.6460427906157068E-001  0.1676433336336569E-001  0.2069629979053699E-009  0.8971542009569006E-004  0.2875175651204218E+008  0.7175360394011119E+029  0.1861632049671425E+002  0.5382415651015893E+017
  0.3594595656787967E-002 -0.6462254653516677E-001  0.1676900185057194E-001 -0.6460605663945523E-001  0.1676477231460236E-001 -0.2736451185661131E-009  0.1115393850327702E-003  0.2874952198787741E+008  0.9946685006303838E+029  0.1861390013131076E+002  0.5381278113970202E+017
  0.4310613271404873E-002 -0.6463374126359397E-001  0.1677194057676860E-001 -0.6460990869390128E-001  0.1676589310773925E-001  0.5240445101191870E-009  0.1603863327820751E-003  0.2874461921061195E+008  0.1715021622352510E+030  0.1860859000934351E+002  0.5378782775425434E+017
  0.4845359651442472E-002 -0.6464340876018999E-001  0.1677447799941914E-001 -0.6461333637348481E-001  0.1676678389183521E-001 -0.6328525690457971E-009  0.2026318082162600E-003  0.2874035792915859E+008  0.2435374744074636E+030  0.1860397488141863E+002  0.5376614453906494E+017
  0.5657696245502804E-002 -0.6466026624213260E-001  0.1677890286155460E-001 -0.6461910490469447E-001  0.1676843830374782E-001  0.1211075523497583E-008  0.2762300831271468E-003  0.2873278591664176E+008  0.3876080987507849E+030  0.1859577400939706E+002  0.5372762512998314E+017
  0.6810332129685205E-002 -0.6468864517865801E-001  0.1678635160183634E-001 -0.6462883285240877E-001  0.1677107131470796E-001 -0.1404463208185478E-008  0.4001467918133115E-003  0.2871999677652017E+008  0.6757493474374274E+030  0.1858192348120948E+002  0.5366259853276509E+017
  0.8366644057527611E-002 -0.6473526269216717E-001  0.1679858697555381E-001 -0.6464462210884722E-001  0.1677549932387633E-001  0.3373959842843553E-008  0.6036750044767388E-003  0.2869894012987757E+008  0.1252031844811817E+031  0.1855912140647547E+002  0.5355562538146252E+017
