                                                                                                                                                                                                                                                                
                        1                        2                        3                        4                        5                        6                        7                        8                        9
                        l                     n_pg                      n_p                      n_g                      eta                 Re(freq)                 Im(freq)                      f_T                   L_star
                        2                     -170                        0                      170 -0.9999983200461879E+000  0.5088718763275296E-001 -0.3436750827109617E-003  0.2362825204476244E+002  0.3468582503266850E+037
                        1                        2                        3                        4                        5                        6                        7                        8                        9                       10                       11
                        x                 Re(xi_r)                 Im(xi_r)                 Re(xi_h)                 Im(xi_h)                    dW_dx                    dE_dx                        T                      M_r                      rho                        P
  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.2876102716652680E+008  0.0000000000000000E+000  0.1862636270991221E+002  0.5387136505203119E+017
  0.7131660955467468E-003  0.2589948911154124E-004  0.6822704368049674E-006  0.1294972955468873E-004  0.3411066008014039E-006  0.1238744631531854E-019  0.5515308960410162E-012  0.2876060818475076E+008  0.7770847743775455E+027  0.1862590885332526E+002  0.5386923105948772E+017
  0.8058508145809187E-003  0.2926566572268972E-004  0.7709291505390743E-006  0.1463287918423797E-004  0.3854526100806824E-006 -0.2428036737033217E-019  0.8991482259059731E-012  0.2876048279073466E+008  0.1121136641265319E+028  0.1862577353917784E+002  0.5386859430843621E+017
  0.8985355336150906E-003  0.3263195687668069E-004  0.8595698169779173E-006  0.1631607266157522E-004  0.4296927782822872E-006  0.3239720165708303E-018  0.1389822840684771E-011  0.2876033478265307E+008  0.1554169538276145E+028  0.1862561269359125E+002  0.5386783855003132E+017
  0.1015312408327955E-002  0.3687340464753394E-004  0.9712277921773970E-006  0.1843677459360420E-004  0.4855383683018972E-006 -0.4303754373396976E-018  0.2265804817928833E-011  0.2876013370877169E+008  0.2242274499312868E+028  0.1862539488189105E+002  0.5386681443862390E+017
  0.1132089283040820E-002  0.4111504274539292E-004  0.1082870021936003E-005  0.2055773583600520E-004  0.5412803372986089E-006  0.1416191444648792E-017  0.3502330367954812E-011  0.2875990922259213E+008  0.3108339070467815E+028  0.1862515170867157E+002  0.5386567109403136E+017
  0.1279221756401245E-002  0.4645951104921059E-004  0.1223472241424394E-005  0.2322978674385290E-004  0.6114864056799471E-006 -0.9664652440251007E-018  0.5709818744173875E-011  0.2875959146971762E+008  0.4484552294169603E+028  0.1862480750535057E+002  0.5386405274870131E+017
  0.1426354229761671E-002  0.5180430162460836E-004  0.1364061462434702E-005  0.2590244265029562E-004  0.6818232612990474E-006  0.2329091546938250E-017  0.8826000470238686E-011  0.2875923511228897E+008  0.6216678134851152E+028  0.1862442148389292E+002  0.5386223781421155E+017
  0.1611735152971333E-002  0.5853899125297781E-004  0.1541070645951682E-005  0.2926944400436995E-004  0.7698969539904389E-006  0.4972635866625201E-017  0.1438916182995948E-010  0.2875873083257475E+008  0.8969115223339720E+028  0.1862387522805677E+002  0.5385966956505478E+017
  0.1797116076180994E-002  0.6527424265005033E-004  0.1718042562630704E-005  0.3263731043965168E-004  0.8587030496882409E-006 -0.9479848337861939E-017  0.2224248488060009E-010  0.2875816502439198E+008  0.1243335626361783E+029  0.1862326232254691E+002  0.5385678802800110E+017
  0.2030692626033005E-002  0.7376146363674098E-004  0.1940801708535895E-005  0.3688051002682647E-004  0.9690459137491932E-006  0.5535782913514450E-016  0.3626334525862287E-010  0.2875736463048326E+008  0.1793826439101463E+029  0.1862239530891614E+002  0.5385271194137473E+017
  0.2264269175885016E-002  0.8224971531498138E-004  0.2163434148428033E-005  0.4112452177985821E-004  0.1081038822322614E-005 -0.9447865190694153E-016  0.5605593633418743E-010  0.2875646635293619E+008  0.2486671252004692E+029  0.1862142226591877E+002  0.5384813755207190E+017
  0.2558579621254718E-002  0.9294683221714860E-004  0.2443581100612414E-005  0.4647270223109097E-004  0.1219191266505155E-005  0.3047978365680604E-015  0.9139595901852798E-010  0.2875519284328865E+008  0.3587663675034425E+029  0.1862004276658983E+002  0.5384165268294292E+017
  0.2852890066624421E-002  0.1036459153078863E-003  0.2723395431377700E-005  0.5182122285356969E-004  0.1360038346993552E-005 -0.4717418052931406E-015  0.1412826867494476E-009  0.2875376733662423E+008  0.4973342503400933E+029  0.1861849863205892E+002  0.5383439430488799E+017
