                                                                                                                                                                                                                                                                
                        1                        2                        3                        4                        5                        6                        7                        8                        9
                        l                     n_pg                      n_p                      n_g                      eta                 Re(freq)                 Im(freq)                      f_T                   L_star
                        2                      -66                        0                       66 -0.9932294997895323E+000  0.1338097148879440E+000 -0.3333918621166962E-003  0.1723860091814984E+002  0.3468582503266850E+037
                        1                        2                        3                        4                        5                        6                        7                        8                        9                       10                       11
                        x                 Re(xi_r)                 Im(xi_r)                 Re(xi_h)                 Im(xi_h)                    dW_dx                    dE_dx                        T                      M_r                      rho                        P
  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.2876102716652680E+008  0.0000000000000000E+000  0.1862636270991221E+002  0.5387136505203119E+017
  0.7131660955467468E-003  0.3685316363979123E-003 -0.6391032781553510E-004  0.1842640841155952E-003 -0.3195485374280410E-004 -0.3309084660982341E-018  0.1149476020607698E-009  0.2876060818475076E+008  0.7770847743775455E+027  0.1862590885332526E+002  0.5386923105948772E+017
  0.8058508145809187E-003  0.4164283606582106E-003 -0.7221657783960029E-004  0.2082121409203192E-003 -0.3610809829659337E-004  0.3625497988808549E-016  0.1873939746264705E-009  0.2876048279073466E+008  0.1121136641265319E+028  0.1862577353917784E+002  0.5386859430843621E+017
  0.8985355336150906E-003  0.4643259381928608E-003 -0.8052297466181198E-004  0.2321605531456636E-003 -0.4026103436026423E-004 -0.9950239273456264E-016  0.2896529746352337E-009  0.2876033478265307E+008  0.1554169538276145E+028  0.1862561269359125E+002  0.5386783855003132E+017
  0.1015312408327955E-002  0.5246751265114497E-003 -0.9098874526622206E-004  0.2623342912320277E-003 -0.4549403528796586E-004  0.2686529559636354E-015  0.4722107648663507E-009  0.2876013370877169E+008  0.2242274499312868E+028  0.1862539488189105E+002  0.5386681443862390E+017
  0.1132089283040820E-002  0.5850257333014491E-003 -0.1014547801365927E-003  0.2925082761166153E-003 -0.5072658389653726E-004 -0.5139629420142063E-015  0.7298933937217589E-009  0.2875990922259213E+008  0.3108339070467815E+028  0.1862515170867157E+002  0.5386567109403136E+017
  0.1279221756401245E-002  0.6610664967496405E-003 -0.1146418364272031E-003  0.3305269015846144E-003 -0.5732014794194330E-004  0.1125301722032932E-014  0.1189927129912746E-008  0.2875959146971762E+008  0.4484552294169603E+028  0.1862480750535057E+002  0.5386405274870131E+017
  0.1426354229761671E-002  0.7371099625531149E-003 -0.1278294191661899E-003  0.3685456182661253E-003 -0.6391321152031110E-004 -0.1844475543200451E-014  0.1839270004400646E-008  0.2875923511228897E+008  0.6216678134851152E+028  0.1862442148389292E+002  0.5386223781421155E+017
  0.1611735152971333E-002  0.8329260514962908E-003 -0.1444460439770103E-003  0.4164500864715850E-003 -0.7222124626290621E-004  0.3683599883761918E-014  0.2998546604475127E-008  0.2875873083257475E+008  0.8969115223339720E+028  0.1862387522805677E+002  0.5385966956505478E+017
  0.1797116076180994E-002  0.9287474692793280E-003 -0.1610637161283500E-003  0.4643545888790822E-003 -0.8052899935070657E-004 -0.5267548635381046E-014  0.4634880612475003E-008  0.2875816502439198E+008  0.1243335626361783E+029  0.1862326232254691E+002  0.5385678802800110E+017
  0.2030692626033005E-002  0.1049489331840315E-002 -0.1820032650547435E-003  0.5247180199609606E-003 -0.9099772510502437E-004  0.1010905241786966E-013  0.7556320076825772E-008  0.2875736463048326E+008  0.1793826439101463E+029  0.1862239530891614E+002  0.5385271194137473E+017
  0.2264269175885016E-002  0.1170241762244738E-002 -0.2029448772646701E-003  0.5850819202503570E-003 -0.1014668193845958E-003 -0.1210593045274822E-013  0.1167998806179717E-007  0.2875646635293619E+008  0.2486671252004692E+029  0.1862142226591877E+002  0.5384813755207190E+017
  0.2558579621254718E-002  0.1322408909105790E-002 -0.2293348311895400E-003  0.6611496556069265E-003 -0.1146591550771246E-003  0.2367520880446624E-013  0.1904249904420959E-007  0.2875519284328865E+008  0.3587663675034425E+029  0.1862004276658983E+002  0.5384165268294292E+017
  0.2852890066624421E-002  0.1474597042303418E-002 -0.2557288453165104E-003  0.7372195373608135E-003 -0.1278531383923676E-003 -0.1990959996106450E-013  0.2943492396037731E-007  0.2875376733662423E+008  0.4973342503400933E+029  0.1861849863205892E+002  0.5383439430488799E+017
